DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[PROCESSOR],com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,process,17,1,0,1,0,1868,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java
[PROCESSOR],com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,apply,3,1,1,1,0,2778,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testAlreadyLoaded,6,1,5,0,0,1459,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,setUp,3,1,1,0,0,1360,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testTimeout,10,2,6,0,0,1740,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testElementsLoaded,6,1,5,0,0,2138,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
UNDEFINED,com.cognifide.aet.executor.SuiteStatusHandler,handle,6,2,4,2,0,1018,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteStatusHandler.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,isPatternFromSameProject,12,2,4,1,0,2914,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,hasScreenCollector,8,3,4,1,0,3734,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,validateDatabase,7,2,3,1,0,5343,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,validateTestSuiteRun,16,6,4,1,0,1827,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,isDatabase,4,1,4,1,0,5687,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,hasScreenComparator,10,4,5,1,0,3982,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,isPatternInDatabase,27,6,8,1,0,4325,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java
[COLLECTORFACTORY],com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,createInstance,5,1,5,3,0,1243,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java
[COLLECTORFACTORY],com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,getName,3,1,1,0,0,1162,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,apply,3,1,2,1,0,3487,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,compare,3,1,0,2,0,2070,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,generate,6,1,3,2,0,1540,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,filterAndCount,13,2,7,2,0,2686,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,invoke,8,1,4,0,0,2240,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,sortIssues,8,1,0,1,0,1935,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setMessage,4,1,2,1,0,1464,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setAdditionalInfo,4,1,2,1,0,1928,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setLine,6,2,4,1,0,1082,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setColumn,6,2,4,1,0,1268,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setIssueType,4,1,2,1,0,2070,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,build,3,1,1,0,0,2203,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setCode2,4,1,2,1,0,1684,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setCode1,4,1,2,1,0,1578,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
