DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,6,1,9,0,0,6,23,6,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,25,1,6,200,0,25,38,39,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java,class,false
TEST,com.zegoggles.smssync.auth.XOAuthConsumerTest,2,1,5,1,0,2,11,2,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\XOAuthConsumerTest.java,class,false
ASYNCTASK,com.zegoggles.smssync.service.BackupTask,18,2,32,63,0,18,61,58,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\BackupTask.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,7,2,13,31,0,7,23,18,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\activity\auth\AccountManagerAuthActivity.java,class,false
TEST,com.zegoggles.smssync.service.BackupConfigTest,3,1,3,3,0,3,3,3,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\service\BackupConfigTest.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.RequiresWifiException,2,3,1,1,0,2,0,2,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\RequiresWifiException.java,class,false
SERVICE,com.zegoggles.smssync.service.ServiceBase,21,2,24,202,2,21,30,41,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\ServiceBase.java,class,false
TEST,com.zegoggles.smssync.service.CalendarSyncerTest,5,1,10,0,0,5,22,5,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\service\CalendarSyncerTest.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.ServerPreferences,4,1,2,0,0,4,4,4,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\ServerPreferences.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.ConnectivityException,1,2,1,0,2,1,0,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\ConnectivityException.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.Group,2,1,0,0,0,2,1,3,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\contacts\Group.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,9,1,11,0,0,9,28,28,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\MmsSupport.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.PersonRecord,10,1,2,5,0,10,13,19,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\PersonRecord.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.NoConnectionException,2,3,1,1,0,2,0,2,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\NoConnectionException.java,class,false
TEST,com.zegoggles.smssync.service.WhatsAppItemsFetcherTest,6,1,7,0,0,6,14,6,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\service\WhatsAppItemsFetcherTest.java,class,false
SERVICE,com.zegoggles.smssync.service.state.BackupState,5,2,6,0,0,5,2,11,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\state\BackupState.java,class,false
TEST,com.zegoggles.smssync.service.BackupQueryBuilderTest,9,1,10,0,0,9,11,9,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\service\BackupQueryBuilderTest.java,class,false
TEST,com.zegoggles.smssync.calendar.CalendarAccessorPost40Test,4,1,10,0,0,4,31,4,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\calendar\CalendarAccessorPost40Test.java,class,false
TEST,com.zegoggles.smssync.mail.AttachmentTest,1,1,2,0,0,1,3,1,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\mail\AttachmentTest.java,class,false
TEST,com.zegoggles.smssync.mail.MessageGeneratorTest,16,1,16,0,0,16,26,16,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\mail\MessageGeneratorTest.java,class,false
TEST,com.zegoggles.smssync.service.BackupTaskTest,16,1,30,0,0,16,49,19,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\service\BackupTaskTest.java,class,false
