DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,getMethodName,3,1,1,0,0,630,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,setName,3,1,2,1,0,566,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,createParameters,3,1,1,1,0,877,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,getName,3,1,1,0,0,516,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,validate,5,2,1,1,0,728,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupArchiveMethod,getMethodName,3,1,1,0,0,344,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupArchiveMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndSnoozeMethod,validate,2,1,1,1,0,457,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndSnoozeMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndSnoozeMethod,createParameters,2,1,1,1,0,543,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndSnoozeMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndSnoozeMethod,getMethodName,3,1,1,0,0,358,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndSnoozeMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupSetTopicMethod,getMethodName,3,1,1,0,0,369,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.im.ImHistoryMethod,getMethodName,3,1,1,0,0,327,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\im\ImHistoryMethod.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,setTeam_id,3,1,2,1,0,925,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,getScopes,6,2,5,0,0,580,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,setAccess_token,3,1,2,1,0,484,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,setScope,3,1,2,1,0,801,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,getTeam_name,3,1,1,0,0,1001,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,getScope,3,1,1,0,0,749,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,setTeam_name,3,1,2,1,0,1061,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,toString,3,1,1,0,0,1145,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,getAccess_token,3,1,1,0,0,418,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
UNDEFINED,flowctrl.integration.slack.type.OAuthAccessToken,getTeam_id,3,1,1,0,0,869,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\OAuthAccessToken.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,getSnooze_remaining,3,1,1,0,0,630,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,getSnooze_endtime,3,1,1,0,0,460,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,setSnooze_endtime,3,1,2,1,0,528,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,setSnooze_enabled,3,1,2,1,0,355,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,setSnooze_remaining,3,1,2,1,0,702,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
ENTITY,flowctrl.integration.slack.type.SetSnooze,getSnooze_enabled,3,1,1,0,0,284,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\SetSnooze.java
UNDEFINED,flowctrl.integration.slack.type.StarList,setPaging,3,1,2,1,0,558,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,getItems,6,2,2,0,0,300,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,toString,3,1,1,0,0,630,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,getPaging,3,1,1,0,0,504,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,setItems,3,1,2,1,0,428,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.Field,setValue,3,1,2,1,0,817,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,setTitle,3,1,2,1,0,697,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,getValue,3,1,1,0,0,765,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,set_short,3,1,2,1,0,940,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,toString,3,1,1,0,0,1013,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,get_short,3,1,1,0,0,885,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,getTitle,3,1,1,0,0,645,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
ENTITY,flowctrl.integration.slack.type.Reminder,getTime,3,1,1,0,0,1077,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,isRecurring,3,1,1,0,0,914,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setCreator,3,1,2,1,0,565,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,toString,3,1,1,0,0,1375,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,getCreator,3,1,1,0,0,500,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setComplete_ts,3,1,2,1,0,1276,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,getId,3,1,1,0,0,380,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,getUser,3,1,1,0,0,650,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setRecurring,3,1,2,1,0,983,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setUser,3,1,2,1,0,709,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setText,3,1,2,1,0,841,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,getComplete_ts,3,1,1,0,0,1205,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,getText,3,1,1,0,0,782,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setTime,3,1,2,1,0,1134,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ENTITY,flowctrl.integration.slack.type.Reminder,setId,3,1,2,1,0,435,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reminder.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,getUsers,3,1,1,0,0,522,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,createParameters,13,4,3,1,0,918,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,validate,5,3,2,1,0,748,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,setUsers,3,1,2,1,0,580,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,getMethodName,3,1,1,0,0,654,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,getPaging,3,1,1,0,0,526,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,getLogins,6,2,2,0,0,311,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,setPaging,3,1,2,1,0,580,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,setLogins,3,1,2,1,0,445,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,toString,3,1,1,0,0,652,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getLast_set,3,1,1,0,0,397,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setValue,3,1,2,1,0,589,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setCreator,3,1,2,1,0,321,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setLast_set,3,1,2,1,0,456,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getCreator,3,1,1,0,0,265,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getValue,3,1,1,0,0,537,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,toString,3,1,1,0,0,657,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,getMethodName,3,1,1,0,0,640,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,createParameters,5,2,1,1,0,821,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,validate,2,1,1,1,0,735,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,getPresence,3,1,1,0,0,502,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,setPresence,3,1,2,1,0,560,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,createParameters,6,2,1,1,0,1020,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getFoo,3,1,1,0,0,541,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,setFoo,3,1,2,1,0,589,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,isRequiredToken,3,1,1,0,0,769,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getError,3,1,1,0,0,649,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,setError,3,1,2,1,0,701,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,validate,2,1,1,1,0,934,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getMethodName,3,1,1,0,0,841,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,getName,3,1,1,0,0,553,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,setFull,3,1,2,1,0,717,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,createParameters,7,2,2,1,0,1056,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,isFull,3,1,1,0,0,667,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,setName,3,1,2,1,0,603,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,getMethodName,3,1,1,0,0,782,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,validate,6,2,1,1,0,880,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
UNDEFINED,flowctrl.integration.slack.validation.SlackFieldValidationUtils,validUrl,5,3,2,2,0,1724,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\validation\SlackFieldValidationUtils.java
UNDEFINED,flowctrl.integration.slack.validation.SlackFieldValidationUtils,validChannelName,15,7,5,1,0,792,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\validation\SlackFieldValidationUtils.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,validate,8,3,1,1,0,954,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,setTopic,3,1,2,1,0,783,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,createParameters,4,1,1,1,0,1187,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,setChannel,3,1,2,1,0,655,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getMethodName,3,1,1,0,0,851,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getChannel,3,1,1,0,0,599,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getTopic,3,1,1,0,0,731,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndDndMethod,getMethodName,3,1,1,0,0,355,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndDndMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndDndMethod,validate,2,1,1,1,0,451,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndDndMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.dnd.EndDndMethod,createParameters,2,1,1,1,0,537,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\dnd\EndDndMethod.java
