DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,com.zegoggles.smssync.preferences.Defaults,0,1,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\Defaults.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,24,1,6,242,0,24,38,38,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java,class,false
VIEW,com.zegoggles.smssync.preferences.PreferenceBackupAgent,3,2,6,3,0,3,3,7,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\PreferenceBackupAgent.java,class,false
ASYNCTASK,com.zegoggles.smssync.service.BackupTask,14,2,26,61,0,14,51,83,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\BackupTask.java,class,false
UNDEFINED,com.zegoggles.smssync.utils.Utils,2,1,2,3,0,2,18,14,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\utils\Utils.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,9,2,15,40,0,9,30,27,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\activity\auth\AccountManagerAuthActivity.java,class,false
[CONTACTACCESSOR],com.zegoggles.smssync.contacts.ContactAccessorPre20,3,1,6,3,0,3,1,3,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\contacts\ContactAccessorPre20.java,class,false
UNDEFINED,com.zegoggles.smssync.utils.AppLog,9,1,6,47,0,9,42,50,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\utils\AppLog.java,class,false
[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPre40,2,1,5,0,0,2,15,12,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\calendar\CalendarAccessorPre40.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.RequiresWifiException,2,3,2,1,0,2,0,2,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\RequiresWifiException.java,class,false
SERVICE,com.zegoggles.smssync.service.ServiceBase,19,2,26,163,2,19,31,41,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\ServiceBase.java,class,false
SERVICE,com.zegoggles.smssync.service.SmsRestoreService,9,3,13,31,0,9,32,29,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\SmsRestoreService.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,11,2,19,113,0,11,42,67,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\activity\donation\DonationActivity.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.ServerPreferences,3,1,1,0,0,3,4,3,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\ServerPreferences.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.ConnectivityException,1,2,0,0,1,1,0,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\ConnectivityException.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.RequiresLoginException,1,2,1,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\RequiresLoginException.java,class,false
APPLICATION,com.zegoggles.smssync.App,1,2,3,0,0,1,1,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\App.java,class,false
UNDEFINED,com.zegoggles.smssync.Consts,0,1,1,0,0,0,1,0,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\Consts.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.Group,2,1,0,0,0,2,1,3,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\contacts\Group.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.PersonRecord,6,1,2,5,0,6,6,15,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\PersonRecord.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.GroupContactIds,1,1,0,0,0,1,2,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\contacts\GroupContactIds.java,class,false
SERVICE,com.zegoggles.smssync.service.state.BackupState,5,2,6,0,0,5,2,11,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\state\BackupState.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.HeaderGenerator,8,1,4,26,0,8,30,15,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\HeaderGenerator.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.RequiresBackgroundDataException,1,2,1,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\exception\RequiresBackgroundDataException.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.Headers,1,1,2,0,0,1,1,4,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\Headers.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.BackupManagerWrapper,2,1,2,0,0,2,4,9,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\BackupManagerWrapper.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,9,1,22,0,0,9,66,77,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\MessageGenerator.java,class,false
SERVICE,com.zegoggles.smssync.service.SmsBackupService,13,3,15,38,0,13,47,51,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\SmsBackupService.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,3,1,1,1,0,3,3,9,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\CallFormatter.java,class,false
PREFERENCE,com.zegoggles.smssync.activity.StatusPreference,13,2,23,0,0,13,43,64,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\activity\StatusPreference.java,class,false
UNDEFINED,com.zegoggles.smssync.service.UserCanceled,0,1,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\UserCanceled.java,class,false
PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,7,2,13,22,0,7,35,38,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\mail\BackupImapStore.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.CalendarPreferences,0,1,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\CalendarPreferences.java,class,false
ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,17,2,21,82,0,17,51,74,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\service\RestoreTask.java,class,false
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.BackupBroadcastReceiver,2,2,5,1,0,2,7,8,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\receiver\BackupBroadcastReceiver.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.auth.AuthActivity,4,2,12,29,0,4,39,22,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\activity\auth\AuthActivity.java,class,false
[CONTACTACCESSOR],com.zegoggles.smssync.contacts.ContactAccessorPost20,3,1,9,3,0,3,12,11,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\contacts\ContactAccessorPost20.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.Preferences,32,1,8,494,0,32,25,49,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\Preferences.java,class,false
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,3,2,5,3,0,3,12,13,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java,class,false
ASYNCTASK,com.zegoggles.smssync.tasks.OAuthCallbackTask,5,2,10,2,0,5,19,14,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\tasks\OAuthCallbackTask.java,class,false
