DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauthTokenSecret,3,1,2,1,0,6285,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,hasOauthTokens,3,1,2,1,0,2253,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getUsername,3,1,2,1,0,2618,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauthToken,3,1,2,1,0,6425,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getUserEmail,8,2,2,1,0,4331,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauthUsername,3,1,2,1,0,6552,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getStoreUri,18,4,5,1,0,4986,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauth2Token,3,1,2,1,0,2125,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauth2Username,3,1,2,1,0,6672,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,encode,8,3,4,1,0,8633,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
