DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
BASICTOGGLEBUTTONUI,org.weasis.core.ui.util.VLButtonUI,2,2,1,1,0,2,13,10,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\VLButtonUI.java,class,false,57
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,23,3,13,211,0,23,28,33,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java,class,false,199
UNDEFINED,org.dcm4che2.imageio.ImageReaderWriterFactory,1,1,1,0,1,1,8,7,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\dcm4che2\imageio\ImageReaderWriterFactory.java,class,false,84
DEFAULTTREECELLRENDERER,org.weasis.base.explorer.TreeRenderer,1,2,1,0,0,1,5,4,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\TreeRenderer.java,class,false,34
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,9,2,1,36,0,9,5,15,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java,class,false,80
UNDEFINED,org.weasis.core.api.command.Util,1,1,0,0,0,1,7,4,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\command\Util.java,class,false,37
UNDEFINED,org.weasis.core.api.explorer.model.Tree,13,1,3,0,0,13,13,25,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java,class,false,122
JPANEL,org.weasis.core.ui.docking.PluginTool,18,2,7,130,4,18,21,33,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\docking\PluginTool.java,class,false,159
ENTITY,org.weasis.core.api.explorer.ObservableEvent,4,2,1,0,0,4,1,6,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\ObservableEvent.java,class,false,48
JPROGRESSBAR,org.weasis.core.ui.task.CircularProgressBar,9,2,1,30,0,9,26,15,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\task\CircularProgressBar.java,class,false,115
JLABEL,org.weasis.core.api.media.data.Thumbnail,31,2,14,421,0,31,109,105,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\Thumbnail.java,class,false,500
MODEL,org.weasis.core.ui.util.ArrayListComboBoxModel,13,2,1,0,0,13,16,28,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\ArrayListComboBoxModel.java,class,false,103
UNDEFINED,org.weasis.core.ui.util.ToolBarFactory,3,1,2,15,0,3,10,6,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\ToolBarFactory.java,class,false,64
UNDEFINED,org.weasis.dicom.codec.geometry.LocalizerPoster,26,1,11,309,1,26,39,78,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\geometry\LocalizerPoster.java,class,false,836
JPANEL,org.weasis.core.api.gui.InfoViewListPanel,5,2,1,10,1,5,10,10,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\InfoViewListPanel.java,class,false,64
[BUNDLEACTIVATOR],org.weasis.dicom.explorer.internal.Activator,2,1,7,0,0,2,7,4,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-explorer\src\main\java\org\weasis\dicom\explorer\internal\Activator.java,class,false,41
[MEDIASERIESGROUP],org.weasis.core.api.media.data.MediaSeriesGroupNode,14,1,4,3,1,14,17,35,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\MediaSeriesGroupNode.java,class,false,131
UNDEFINED,org.weasis.core.api.media.data.SeriesEvent,4,1,1,0,0,4,0,4,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\SeriesEvent.java,class,false,42
COLORMAPOPIMAGE,org.weasis.core.api.image.op.RectifySignedShortDataOpImage,4,2,8,4,0,4,19,14,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\image\op\RectifySignedShortDataOpImage.java,class,false,148
COLORMAPOPIMAGE,org.weasis.core.api.image.op.RectifyUShortToShortDataOpImage,4,2,8,6,0,4,19,12,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\image\op\RectifyUShortToShortDataOpImage.java,class,false,132
JPANEL,org.weasis.core.ui.editor.image.ImageViewerPlugin,23,3,17,59,1,23,80,117,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\editor\image\ImageViewerPlugin.java,class,false,439
JLABEL,org.weasis.core.api.gui.util.TableHaederRenderer,6,2,1,15,0,6,15,21,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\TableHaederRenderer.java,class,false,90
[FILENAMEFILTER],org.weasis.base.explorer.FolderFilter,1,1,0,0,0,1,2,5,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\FolderFilter.java,class,false,16
FILEFILTER,org.weasis.core.api.gui.util.FileFormatFilter,18,2,3,91,0,18,41,69,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\FileFormatFilter.java,class,false,263
JSLIDER,org.weasis.core.api.gui.util.JSliderW,9,2,0,32,0,9,0,9,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\JSliderW.java,class,false,56
JTOOLBAR,org.weasis.core.ui.util.WtoolBar,18,2,1,133,0,18,17,28,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\WtoolBar.java,class,false,213
UNDEFINED,org.weasis.base.explorer.JIUtility,10,1,4,43,0,10,30,37,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIUtility.java,class,false,189
BOX,org.weasis.core.ui.util.DropDownButton,30,2,3,339,0,30,35,45,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\DropDownButton.java,class,false,288
LOCALIZERPOSTER,org.weasis.dicom.codec.geometry.IntersectSlice,7,2,10,21,0,7,19,22,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\geometry\IntersectSlice.java,class,false,116
JPANEL,org.weasis.dicom.codec.InfoViewElementPanel,12,3,6,38,0,12,28,30,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\InfoViewElementPanel.java,class,false,151
[BUNDLEACTIVATOR],org.weasis.base.viewer2d.internal.Activator,2,1,7,1,0,2,12,9,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-viewer2d\src\main\java\org\weasis\base\viewer2d\internal\Activator.java,class,false,63
ENTITY,org.weasis.base.explorer.DiskObject,34,1,2,447,0,34,28,67,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\DiskObject.java,class,false,263
