DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
BASICTOGGLEBUTTONUI,org.weasis.core.ui.util.VLButtonUI,paint,23,6,5,2,0,1002,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\VLButtonUI.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,setSelected,2,1,1,1,0,4955,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getToolBar,3,1,1,0,0,4749,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,addSeries,2,1,1,1,0,5190,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getRendererComponent,4,2,3,0,0,4261,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getSelectedIndices,3,1,2,0,0,4167,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,setReloadContext,3,1,2,1,0,3325,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getOpenSeries,3,1,1,0,0,5423,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getFileListModel,3,1,2,0,0,3098,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getStatusBar,3,1,1,0,0,5068,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,loadDirectory,20,2,0,1,0,2033,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,fillSelectedPluginMenu,7,2,1,1,0,4553,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,hasChanged,3,1,2,0,0,3018,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,run,9,1,0,0,0,3751,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,run,3,1,0,0,0,3879,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getExportActions,3,1,1,0,0,5555,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,notifyObservers,3,1,1,0,0,2835,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,notifyObservers,3,1,2,1,0,2919,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,close,2,1,0,0,0,4462,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,valueChanged,15,1,0,1,0,3624,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getToolPanel,3,1,1,0,0,4829,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,getReloadContext,3,1,2,0,0,3199,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,removeSeries,2,1,1,1,0,5305,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
JPANEL,org.weasis.base.explorer.JIThumbnailListPane,run,10,2,0,0,0,2287,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\JIThumbnailListPane.java
DEFAULTTREECELLRENDERER,org.weasis.base.explorer.TreeRenderer,getTreeCellRendererComponent,14,4,9,7,0,297,D:\Projetos\_Web\Weasis\weasis-base\weasis-base-explorer\src\main\java\org\weasis\base\explorer\TreeRenderer.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,isTerminated,3,1,1,0,0,2184,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,instance,3,1,1,0,0,1109,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,isShutdown,3,1,1,0,0,2121,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,invokeAndWait,16,4,4,1,0,1374,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,shutdownNow,3,1,2,0,0,1868,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,shutdown,3,1,1,0,0,1781,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,execute,8,2,2,1,0,1184,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
SERVICE,org.weasis.core.api.gui.util.GuiExecutor,awaitTermination,3,1,4,2,0,1968,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\gui\util\GuiExecutor.java
UNDEFINED,org.weasis.core.api.command.Util,splitStringExceptQuotes,11,3,6,1,0,864,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\command\Util.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getSubTrees,3,1,1,0,0,2389,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getTree,3,1,3,1,0,1926,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getHead,3,1,1,0,0,1873,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,printTree,13,3,5,1,0,2822,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,addLeaf,8,2,2,2,0,974,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,addLeaf,8,1,4,1,0,1175,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getParent,3,1,1,0,0,2009,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,removeLeaf,8,2,3,1,0,1385,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getSuccessors,10,3,4,1,0,2072,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,getSuccessors,8,3,5,2,0,2465,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
UNDEFINED,org.weasis.core.api.explorer.model.Tree,toString,3,1,1,0,0,2741,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java
