DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,com.cognifide.aet.runner.util.MessagesHelper,4,1,1,6,0,4,8,8,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\util\MessagesHelper.java,class,false,80
ABSTRACTMODULE,com.cognifide.aet.runner.modules.SimpleRunnerModule,2,2,7,0,0,2,12,2,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\modules\SimpleRunnerModule.java,class,false,110
TEST,com.cognifide.aet.job.common.collectors.performance.clientside.ClientSidePerformanceCollectorTest,3,1,13,0,0,3,12,3,D:\Projetos\_Web\aet\aet-jobs\job-common\src\test\java\com\cognifide\aet\job\common\collectors\performance\clientside\ClientSidePerformanceCollectorTest.java,class,false,89
TEST,com.cognifide.aet.vs.gridfs.version.BasicArtifactsVersionManagerTest,10,2,8,0,0,10,26,14,D:\Projetos\_Web\aet\aet-core\datastorage-gridfs-impl\src\test\java\com\cognifide\aet\vs\gridfs\version\BasicArtifactsVersionManagerTest.java,class,false,156
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.jserrors.JsErrorsComparator,3,1,11,1,0,3,17,5,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\jserrors\JsErrorsComparator.java,class,false,100
TEST,com.cognifide.aet.report.html.freemarker.ReportResourceTemplateLoaderTest,9,1,9,2,0,9,23,9,D:\Projetos\_Web\aet\aet-report-engine\src\test\java\com\cognifide\aet\report\html\freemarker\ReportResourceTemplateLoaderTest.java,class,false,130
SERVICE,com.cognifide.aet.worker.drivers.FirefoxWebDriverFactory,6,1,20,7,0,6,28,10,D:\Projetos\_Web\aet\aet-core\worker\src\main\java\com\cognifide\aet\worker\drivers\FirefoxWebDriverFactory.java,class,true,152
UNDEFINED,com.cognifide.aet.job.common.comparators.source.visitors.NodeTraversor,2,1,2,0,0,2,3,3,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\source\visitors\NodeTraversor.java,class,false,37
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.w3c.W3cComparator,5,1,14,0,0,5,35,11,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\w3c\W3cComparator.java,class,false,154
COMPARATORRESULT,com.cognifide.aet.job.common.comparators.permormance.clientside.ClientSidePerformanceComparatorResult,2,2,4,0,0,2,2,2,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\permormance\clientside\ClientSidePerformanceComparatorResult.java,class,false,40
OBSERVABLE,com.cognifide.aet.runner.distribution.dispatch.CollectDispatcher,13,3,19,64,0,13,44,21,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\distribution\dispatch\CollectDispatcher.java,class,false,178
[REPORTGENERATOR],com.cognifide.aet.report.xml.XmlReportGenerator,7,1,7,15,0,7,21,12,D:\Projetos\_Web\aet\aet-report-engine\src\main\java\com\cognifide\aet\report\xml\XmlReportGenerator.java,class,false,106
SERVICE,com.cognifide.aet.worker.listeners.ComparatorMessageListenerImpl,7,2,18,19,0,7,23,11,D:\Projetos\_Web\aet\aet-core\worker\src\main\java\com\cognifide\aet\worker\listeners\ComparatorMessageListenerImpl.java,class,true,134
UNDEFINED,com.cognifide.aet.job.api.collector.ResponseObject,3,1,1,0,0,3,1,5,D:\Projetos\_Web\aet\aet-api\jobs-api\src\main\java\com\cognifide\aet\job\api\collector\ResponseObject.java,class,false,43
ENTITY,com.cognifide.aet.xmlparser.xml.models.Url,5,1,1,4,0,5,0,5,D:\Projetos\_Web\aet\aet-maven-plugin\src\main\java\com\cognifide\aet\xmlparser\xml\models\Url.java,class,false,57
ENTITY,com.cognifide.aet.job.common.comparators.permormance.clientside.report.Asset,4,1,1,2,0,4,0,4,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\permormance\clientside\report\Asset.java,class,false,45
SERVICE,com.cognifide.aet.worker.impl.JobRegistryImpl,14,1,10,19,0,14,25,27,D:\Projetos\_Web\aet\aet-core\worker\src\main\java\com\cognifide\aet\worker\impl\JobRegistryImpl.java,class,true,156
BASICPHASECONVERTER,com.cognifide.aet.xmlparser.xml.CollectConverter,2,2,6,1,0,2,8,3,D:\Projetos\_Web\aet\aet-maven-plugin\src\main\java\com\cognifide\aet\xmlparser\xml\CollectConverter.java,class,false,53
ENTITY,com.cognifide.aet.communication.api.job.ComparatorJobData,3,1,2,0,0,3,0,3,D:\Projetos\_Web\aet\aet-api\communication-api\src\main\java\com\cognifide\aet\communication\api\job\ComparatorJobData.java,class,false,59
EXCEPTION,com.cognifide.aet.report.html.FreemarkerRendererException,1,2,0,0,0,1,0,1,D:\Projetos\_Web\aet\aet-report-engine\src\main\java\com\cognifide\aet\report\html\FreemarkerRendererException.java,class,false,27
COLLECTORRESULT,com.cognifide.aet.job.common.collectors.cookie.CookieCollectorResult,2,2,2,0,0,2,0,2,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\collectors\cookie\CookieCollectorResult.java,class,false,45
COMPARATORRESULT,com.cognifide.aet.job.common.comparators.w3c.W3cComparatorResult,6,2,4,5,0,6,0,6,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\w3c\W3cComparatorResult.java,class,false,70
REPORTRESULT,com.cognifide.aet.worker.impl.reports.html.HtmlReportJob,16,2,10,52,0,16,32,30,D:\Projetos\_Web\aet\aet-core\worker\src\main\java\com\cognifide\aet\worker\impl\reports\html\HtmlReportJob.java,class,false,214
SERVICE,com.cognifide.aet.job.common.comparators.layout.LayoutComparatorFactory,4,1,8,6,0,4,1,4,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\layout\LayoutComparatorFactory.java,class,true,63
UNDEFINED,com.cognifide.aet.worker.impl.reports.ReporterHandlerWorkload,9,1,13,2,0,9,17,12,D:\Projetos\_Web\aet\aet-core\worker\src\main\java\com\cognifide\aet\worker\impl\reports\ReporterHandlerWorkload.java,class,false,128
TEST,com.cognifide.aet.job.common.comparators.statuscodes.StatusCodesFilterTest,12,1,6,0,0,12,15,13,D:\Projetos\_Web\aet\aet-jobs\job-common\src\test\java\com\cognifide\aet\job\common\comparators\statuscodes\StatusCodesFilterTest.java,class,false,157
[JSONDESERIALIZER],com.cognifide.aet.proxy.DateDeserializer,1,1,4,0,0,1,4,1,D:\Projetos\_Web\aet\aet-core\environment\proxy\src\main\java\com\cognifide\aet\proxy\DateDeserializer.java,class,false,40
EXCEPTION,com.cognifide.aet.vs.rest.exceptions.AetRestEndpointException,3,2,0,3,0,3,0,3,D:\Projetos\_Web\aet\aet-core\versionstorage\src\main\java\com\cognifide\aet\vs\rest\exceptions\AetRestEndpointException.java,class,false,39
[DATAMODIFIERJOB],com.cognifide.aet.job.common.datamodifiers.removelines.RemoveLinesDataModifier,7,1,3,5,0,7,27,21,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\datamodifiers\removelines\RemoveLinesDataModifier.java,class,false,130
ENTITY,com.cognifide.aet.report.api.communication.ComparatorStep,8,1,1,12,0,8,0,8,D:\Projetos\_Web\aet\aet-report-engine\src\main\java\com\cognifide\aet\report\api\communication\ComparatorStep.java,class,false,112
TEST,com.cognifide.aet.validation.impl.ValidationResultBuilderImplTest,4,1,5,0,0,4,13,4,D:\Projetos\_Web\aet\aet-core\validation\src\test\java\com\cognifide\aet\validation\impl\ValidationResultBuilderImplTest.java,class,false,99
SERVICE,com.cognifide.aet.report.ReportGeneratorFactory,1,1,9,0,0,1,4,5,D:\Projetos\_Web\aet\aet-report-engine\src\main\java\com\cognifide\aet\report\ReportGeneratorFactory.java,class,true,63
NODEMETADATA,com.cognifide.aet.communication.api.node.UrlNodeMetadata,12,2,5,50,0,12,12,16,D:\Projetos\_Web\aet\aet-api\communication-api\src\main\java\com\cognifide\aet\communication\api\node\UrlNodeMetadata.java,class,false,125
UNDEFINED,com.cognifide.aet.job.common.comparators.w3c.W3cIssueBuilder,9,1,3,20,0,9,2,13,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\w3c\W3cIssueBuilder.java,class,false,87
[OBSERVER],com.cognifide.aet.runner.distribution.ProgressMessageObserver,3,1,8,1,0,3,8,6,D:\Projetos\_Web\aet\aet-core\runner\src\main\java\com\cognifide\aet\runner\distribution\ProgressMessageObserver.java,class,false,68
COMPARATORRESULT,com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparatorResult,2,2,4,0,0,2,0,2,D:\Projetos\_Web\aet\aet-jobs\job-common\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparatorResult.java,class,false,41
