DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
SERVICE,com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,process,17,1,0,1,0,1754,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java
SERVICE,com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,apply,3,1,2,1,0,2620,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testAlreadyLoaded,6,1,5,0,0,1442,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,setUp,3,1,1,0,0,1348,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testTimeout,10,2,6,0,0,1713,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testElementsLoaded,6,1,5,0,0,2097,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java
SERVICE,com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,createInstance,5,1,5,3,0,1294,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java
SERVICE,com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,getName,3,1,1,0,0,1218,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,apply,3,1,2,1,0,3418,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,compare,3,1,0,2,0,2071,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,generate,6,1,3,2,0,1527,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,filterAndCount,13,2,7,2,0,2660,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,invoke,8,1,4,0,0,2234,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,sortIssues,8,1,0,1,0,1938,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setMessage,4,1,2,1,0,1443,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setAdditionalInfo,4,1,2,1,0,1887,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setLine,6,2,4,1,0,1075,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setColumn,6,2,4,1,0,1254,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setIssueType,4,1,2,1,0,2024,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,build,3,1,1,0,0,2152,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setCode2,4,1,2,1,0,1653,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setCode1,4,1,2,1,0,1552,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,setErrorPosition,4,1,2,1,0,1754,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenMessageMatch_issueIsRemoved,9,1,2,0,0,3729,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,setParameters_whenAllEmpty_thenValidationErrors,3,1,1,0,0,2180,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenPartiallyMatch_issueIsNotRemoved,9,1,2,0,0,5018,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenIssuesExcluded_expectTwoIssuesRemoved,8,1,5,0,0,4298,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,getParams,13,4,4,3,0,6896,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenLineMatch_issueIsRemoved,9,1,2,0,0,2630,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenManyCalls_excludedIssuesArePreserved,19,1,5,0,0,5590,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,setParameters_whenLineNonNumeric_thenValidationErrors,4,1,1,0,0,2359,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,setUp,4,1,2,0,0,1873,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,modifyData_whenColumnMatch_issueIsRemoved,9,1,2,0,0,3177,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,setParameters_whenAllCorect_thenNoValidationErrors,4,1,1,0,0,1983,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,prepareComparatorResult,6,1,7,4,0,7317,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,prepareComparatorResult,14,5,8,2,0,7759,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java
UNDEFINED,com.cognifide.aet.common.ReportWriter,write,12,2,6,3,0,895,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\ReportWriter.java
UNDEFINED,com.cognifide.aet.common.ReportWriter,getTargetPath,3,1,1,2,0,1448,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\ReportWriter.java
UNDEFINED,com.cognifide.aet.common.ReportWriter,tryCreateDirectory,8,2,3,1,0,1593,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\ReportWriter.java
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparator,compare,24,4,16,0,0,2727,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparator.java
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparator,getStatus,13,5,3,1,0,4170,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparator.java
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparator,setParameters,3,1,2,1,0,2559,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparator.java
SERVICE,com.cognifide.aet.rest.ArtifactServlet,stop,3,1,1,0,0,2559,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\ArtifactServlet.java
SERVICE,com.cognifide.aet.rest.ArtifactServlet,process,17,2,8,3,0,1678,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\ArtifactServlet.java
SERVICE,com.cognifide.aet.rest.ArtifactServlet,start,3,1,1,0,0,2477,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\ArtifactServlet.java
STEPPROPERTIES,com.cognifide.aet.job.api.collector.CollectorProperties,getUrl,3,1,1,0,0,1050,D:\Projetos\_Web\aet\api\jobs-api\src\main\java\com\cognifide\aet\job\api\collector\CollectorProperties.java
UNDEFINED,com.cognifide.aet.worker.results.FeedbackQueue,sendObjectMessageWithCorrelationID,14,2,7,2,0,1656,D:\Projetos\_Web\aet\core\worker\src\main\java\com\cognifide\aet\worker\results\FeedbackQueue.java
UNDEFINED,com.cognifide.aet.worker.results.FeedbackQueue,close,3,1,1,0,0,2116,D:\Projetos\_Web\aet\core\worker\src\main\java\com\cognifide\aet\worker\results\FeedbackQueue.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,setParametersTest_allEmpty,4,1,2,0,0,3334,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,initErrorLogs,10,1,4,0,0,5679,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,setParametersTest_onlyOneSet,6,1,3,0,0,2981,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,setUp,5,1,2,0,0,2307,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,setParametersTest,8,1,3,0,0,2445,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,modifyDataTest_filterByAll,10,1,4,0,0,5132,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,modifyDataTest_filterByLine,8,1,4,0,0,4672,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,setParametersTest_lineNotANumber,4,1,2,0,0,3552,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,modifyDataTest_filterByErrorMessage,8,1,4,0,0,3783,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,modifyDataTest_filterBySource,8,1,4,0,0,4249,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,getTests,3,1,1,0,0,3586,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,setFailures,3,1,2,1,0,4164,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,getFailures,3,1,1,0,0,3972,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,setTests,3,1,2,1,0,3769,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,setName,3,1,2,1,0,3386,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,getTestcase,6,2,3,0,0,2476,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ENTITY,com.cognifide.aet.xunit.model.Testsuite,getName,3,1,1,0,0,3206,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,removeIfMatches,0,1,1,0,0,3099,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,setParameters,5,1,1,1,0,1511,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,matchPattern,3,1,3,1,0,2759,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,getName,0,1,1,0,0,3059,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,validateParameters,13,5,4,2,0,1725,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,provided,3,1,3,1,0,3148,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,getInfo,3,1,1,0,0,2880,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,modifyData,11,6,2,1,0,2151,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,matchUrl,3,1,3,2,0,2612,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java
[CONVERTER],com.cognifide.aet.xmlparser.xml.BasicPhaseConverter,getParameters,13,3,6,1,0,1005,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\xmlparser\xml\BasicPhaseConverter.java
[PROXYSERVERWRAPPER],com.cognifide.aet.proxy.RestProxyServer,setCaptureContent,3,1,2,1,0,3067,D:\Projetos\_Web\aet\osgi-dependencies\proxy\src\main\java\com\cognifide\aet\proxy\RestProxyServer.java
