DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
SERVICE,com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,1,1,13,1,0,1,16,2,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java,class,true,72
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,4,1,7,0,0,4,11,5,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java,class,false,85
SERVICE,com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,2,1,7,1,0,2,1,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java,class,true,48
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,7,1,6,12,0,7,12,10,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java,class,false,106
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,9,1,3,20,0,9,2,13,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java,class,false,87
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,13,1,7,0,0,13,20,24,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java,class,false,222
UNDEFINED,com.cognifide.aet.common.ReportWriter,3,1,0,3,0,3,6,7,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\ReportWriter.java,class,false,57
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparator,4,1,14,0,0,4,16,12,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparator.java,class,false,114
[PARAMETRIZEDSTEP],com.cognifide.aet.executor.model.CollectorStep,4,1,1,0,0,4,0,4,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\model\CollectorStep.java,class,false,72
SERVICE,com.cognifide.aet.rest.ArtifactServlet,3,3,11,3,0,3,18,5,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\ArtifactServlet.java,class,true,77
STEPPROPERTIES,com.cognifide.aet.job.api.collector.CollectorProperties,2,2,1,0,0,2,0,2,D:\Projetos\_Web\aet\api\jobs-api\src\main\java\com\cognifide\aet\job\api\collector\CollectorProperties.java,class,false,37
EXCEPTION,com.cognifide.aet.job.api.exceptions.ProcessingException,2,3,1,1,0,2,0,2,D:\Projetos\_Web\aet\api\jobs-api\src\main\java\com\cognifide\aet\job\api\exceptions\ProcessingException.java,class,false,32
UNDEFINED,com.cognifide.aet.worker.results.FeedbackQueue,4,1,6,0,0,4,11,5,D:\Projetos\_Web\aet\core\worker\src\main\java\com\cognifide\aet\worker\results\FeedbackQueue.java,class,false,75
TEST,com.cognifide.aet.job.common.datafilters.jserrorsfilter.JsErrorsFilterTest,10,1,6,0,0,10,20,10,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\jserrorsfilter\JsErrorsFilterTest.java,class,false,180
ENTITY,com.cognifide.aet.xunit.model.Testsuite,7,1,1,15,0,7,0,9,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\xunit\model\Testsuite.java,class,false,177
ABSTRACTDATAMODIFIERJOB,com.cognifide.aet.job.common.datafilters.statuscodesfilter.StatusCodesFilter,9,2,3,20,0,9,15,19,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\statuscodesfilter\StatusCodesFilter.java,class,false,98
[CONVERTER],com.cognifide.aet.xmlparser.xml.BasicPhaseConverter,2,1,4,1,2,2,6,4,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\xmlparser\xml\BasicPhaseConverter.java,class,false,46
[PROXYSERVERWRAPPER],com.cognifide.aet.proxy.RestProxyServer,9,1,14,0,0,9,32,13,D:\Projetos\_Web\aet\osgi-dependencies\proxy\src\main\java\com\cognifide\aet\proxy\RestProxyServer.java,class,false,139
UNDEFINED,com.cognifide.aet.job.common.comparators.source.SourceComparatorRegExpTest,3,1,5,1,0,3,2,3,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\comparators\source\SourceComparatorRegExpTest.java,class,false,66
JOBDATA,com.cognifide.aet.communication.api.job.ComparatorJobData,3,2,2,0,0,3,0,3,D:\Projetos\_Web\aet\api\communication-api\src\main\java\com\cognifide\aet\communication\api\job\ComparatorJobData.java,class,false,54
TEST,com.cognifide.aet.xmlparser.xml.BasicPhaseConverterTest,2,1,6,0,0,2,17,2,D:\Projetos\_Web\aet\client\client-core\src\test\java\com\cognifide\aet\xmlparser\xml\BasicPhaseConverterTest.java,class,false,71
TEST,com.cognifide.aet.cleaner.processors.filters.DBKeyProjectCompanyPredicateTest,5,1,4,0,0,5,7,5,D:\Projetos\_Web\aet\core\cleaner\src\test\java\com\cognifide\aet\cleaner\processors\filters\DBKeyProjectCompanyPredicateTest.java,class,false,64
TEST,com.cognifide.aet.job.common.datafilters.extractelement.ExtractElementDataModifierTest,12,1,3,0,0,12,9,12,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\extractelement\ExtractElementDataModifierTest.java,class,false,144
W3CHTML5COMPARATORJOB,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5Comparator,3,2,11,0,0,3,17,6,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5Comparator.java,class,false,91
UNDEFINED,com.cognifide.aet.cleaner.processors.filters.SuiteRemoveConditionTest,13,1,9,19,0,13,24,14,D:\Projetos\_Web\aet\core\cleaner\src\test\java\com\cognifide\aet\cleaner\processors\filters\SuiteRemoveConditionTest.java,class,false,254
ASYNCTASK,com.cognifide.aet.common.LockClient,4,1,4,0,0,4,19,9,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\LockClient.java,class,false,78
[NODEVISITOR],com.cognifide.aet.job.common.comparators.source.visitors.MarkupVisitor,1,1,5,0,0,1,2,3,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\source\visitors\MarkupVisitor.java,class,false,33
[OBSERVER],com.cognifide.aet.runner.distribution.SuiteAgent,10,1,12,27,0,10,18,13,D:\Projetos\_Web\aet\core\runner\src\main\java\com\cognifide\aet\runner\distribution\SuiteAgent.java,class,false,125
[PARAMETRIZEDSTEP],com.cognifide.aet.executor.model.DataModifierStep,3,1,1,0,0,3,0,3,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\model\DataModifierStep.java,class,false,59
SERVICE,com.cognifide.aet.job.common.modifiers.replacetext.ReplaceTextFactory,2,1,7,1,0,2,2,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\replacetext\ReplaceTextFactory.java,class,true,47
ENTITY,com.cognifide.aet.xmlparser.xml.models.Url,5,1,1,4,0,5,0,5,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\xmlparser\xml\models\Url.java,class,false,58
OBSERVABLE,com.cognifide.aet.runner.distribution.dispatch.CollectionResultsRouter,14,3,18,55,0,14,67,31,D:\Projetos\_Web\aet\core\runner\src\main\java\com\cognifide\aet\runner\distribution\dispatch\CollectionResultsRouter.java,class,false,201
TEST,com.cognifide.aet.job.common.comparators.source.diff.DiffParserTest,5,1,6,0,0,5,7,5,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\comparators\source\diff\DiffParserTest.java,class,false,79
HTTPSERVLET,com.cognifide.aet.rest.BasicDataServlet,9,2,9,26,2,9,21,13,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\BasicDataServlet.java,class,false,124
UNDEFINED,com.cognifide.aet.runner.distribution.dispatch.ReceivedMessagesInfo,3,1,0,0,0,3,0,3,D:\Projetos\_Web\aet\core\runner\src\main\java\com\cognifide\aet\runner\distribution\dispatch\ReceivedMessagesInfo.java,class,false,42
SERVICE,com.cognifide.aet.runner.util.MessagesManager,7,1,6,5,0,7,17,15,D:\Projetos\_Web\aet\core\runner\src\main\java\com\cognifide\aet\runner\util\MessagesManager.java,class,true,137
TEST,com.cognifide.aet.runner.distribution.SuiteAgentTest,5,2,10,2,0,5,14,5,D:\Projetos\_Web\aet\core\runner\src\test\java\com\cognifide\aet\runner\distribution\SuiteAgentTest.java,class,false,86
[COLLECTORJOB],com.cognifide.aet.job.common.collectors.jserrors.JsErrorsCollector,3,1,7,1,0,3,3,3,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\collectors\jserrors\JsErrorsCollector.java,class,false,63
UNDEFINED,com.cognifide.aet.executor.SuiteExecutionResult,11,1,1,31,0,11,4,11,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteExecutionResult.java,class,false,80
SERVICE,com.cognifide.aet.job.common.collectors.statuscodes.StatusCodesCollectorFactory,2,1,9,1,0,2,1,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\collectors\statuscodes\StatusCodesCollectorFactory.java,class,true,53
WEBELEMENTSLOCATORPARAMS,com.cognifide.aet.job.common.modifiers.replacetext.ReplaceTextModifier,4,2,12,0,0,4,20,9,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\replacetext\ReplaceTextModifier.java,class,false,107
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.wrapper.NuValidatorWrapper,6,1,5,0,0,6,16,9,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\wrapper\NuValidatorWrapper.java,class,false,102
SERVICE,com.cognifide.aet.job.common.modifiers.hide.HideModifierFactory,2,1,7,1,0,2,2,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\hide\HideModifierFactory.java,class,true,46
UNDEFINED,org.browsermob.core.har.HarNameValuePair,9,1,1,14,0,9,5,9,D:\Projetos\_Web\aet\api\jobs-api\src\main\java\org\browsermob\core\har\HarNameValuePair.java,class,false,74
[COLLECTORJOB],com.cognifide.aet.job.common.modifiers.sleep.SleepModifier,3,1,3,1,0,3,10,4,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifier.java,class,false,66
UNDEFINED,com.cognifide.aet.xmlparser.xml.utils.EscapeUtils,3,1,0,3,0,3,15,13,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\xmlparser\xml\utils\EscapeUtils.java,class,false,81
[PARAMETRIZEDSTEP],com.cognifide.aet.executor.model.ComparatorStep,8,1,2,12,0,8,0,8,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\model\ComparatorStep.java,class,false,113
UNDEFINED,com.cognifide.aet.job.common.comparators.source.visitors.NodeTraversor,2,1,2,0,0,2,3,3,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\source\visitors\NodeTraversor.java,class,false,37
SERVICE,com.cognifide.aet.rest.ConfigsServlet,7,2,18,0,0,7,30,18,D:\Projetos\_Web\aet\rest-endpoint\src\main\java\com\cognifide\aet\rest\ConfigsServlet.java,class,true,163
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.jserrors.JsErrorsComparator,4,1,11,0,0,4,9,8,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\jserrors\JsErrorsComparator.java,class,false,95
JOBDATA,com.cognifide.aet.communication.api.job.CollectorJobData,2,2,2,0,0,2,1,2,D:\Projetos\_Web\aet\api\communication-api\src\main\java\com\cognifide\aet\communication\api\job\CollectorJobData.java,class,false,53
UNDEFINED,com.cognifide.aet.common.TestSuiteRunner,9,1,19,0,0,9,46,23,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\TestSuiteRunner.java,class,false,203
UNDEFINED,com.cognifide.aet.job.common.comparators.AbstractComparatorTest,3,1,5,1,5,3,5,3,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\comparators\AbstractComparatorTest.java,class,false,58
[SCOPE],com.cognifide.aet.runner.testsuitescope.TestSuiteScope,8,1,11,24,0,8,11,13,D:\Projetos\_Web\aet\core\runner\src\main\java\com\cognifide\aet\runner\testsuitescope\TestSuiteScope.java,class,false,129
FIREFOXDRIVER,com.cognifide.aet.worker.drivers.AetFirefoxDriver,4,2,6,6,0,4,1,4,D:\Projetos\_Web\aet\core\worker\src\main\java\com\cognifide\aet\worker\drivers\AetFirefoxDriver.java,class,false,44
SERVICE,com.cognifide.aet.job.common.datafilters.removenodes.RemoveNodesDataFilterFactory,2,1,5,1,0,2,1,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\datafilters\removenodes\RemoveNodesDataFilterFactory.java,class,true,45
UNDEFINED,com.cognifide.aet.cleaner.processors.filters.SuiteRemoveCondition,7,1,3,13,0,7,19,16,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\filters\SuiteRemoveCondition.java,class,false,97
ENTITY,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5Issue,9,1,1,20,0,9,0,9,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5Issue.java,class,false,86
SERVICE,com.cognifide.aet.job.common.comparators.jserrors.JsErrorsComparatorFactory,4,1,10,6,0,4,0,4,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\jserrors\JsErrorsComparatorFactory.java,class,true,62
[FUNCTION],com.cognifide.aet.job.common.comparators.w3chtml5.WarningNodeToW3cHtml5IssueFunction,1,1,7,0,0,1,7,3,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\WarningNodeToW3cHtml5IssueFunction.java,class,false,41
