DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[PROCESSOR],com.cognifide.aet.cleaner.processors.SuitesRemovePredicateProcessor,1,1,12,1,0,1,16,2,D:\Projetos\_Web\aet\core\cleaner\src\main\java\com\cognifide\aet\cleaner\processors\SuitesRemovePredicateProcessor.java,class,false,71
TEST,com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,4,1,7,0,0,4,11,5,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\modifiers\waitforpageloaded\WaitForPageLoadedModifierTest.java,class,false,83
UNDEFINED,com.cognifide.aet.executor.SuiteStatusHandler,2,1,3,0,0,2,2,4,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteStatusHandler.java,class,false,43
UNDEFINED,com.cognifide.aet.executor.SuiteValidator,7,1,11,17,0,7,25,30,D:\Projetos\_Web\aet\test-executor\src\main\java\com\cognifide\aet\executor\SuiteValidator.java,class,false,150
[COLLECTORFACTORY],com.cognifide.aet.job.common.modifiers.sleep.SleepModifierFactory,2,1,6,1,0,2,1,2,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\modifiers\sleep\SleepModifierFactory.java,class,false,42
UNDEFINED,com.cognifide.aet.job.common.comparators.accessibility.report.AccessibilityReportGenerator,7,1,6,12,0,7,12,10,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\report\AccessibilityReportGenerator.java,class,false,106
UNDEFINED,com.cognifide.aet.job.common.comparators.w3chtml5.W3cHtml5IssueBuilder,9,1,3,20,0,9,2,13,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\w3chtml5\W3cHtml5IssueBuilder.java,class,false,86
TEST,com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,13,1,7,0,0,13,20,26,D:\Projetos\_Web\aet\core\jobs\src\test\java\com\cognifide\aet\job\common\datafilters\w3chtml5filter\W3cHtml5IssuesFilterTest.java,class,false,231
UNDEFINED,com.cognifide.aet.common.ReportWriter,3,1,0,3,0,3,6,7,D:\Projetos\_Web\aet\client\client-core\src\main\java\com\cognifide\aet\common\ReportWriter.java,class,false,55
[COMPARATORJOB],com.cognifide.aet.job.common.comparators.accessibility.AccessibilityComparator,4,1,14,0,0,4,16,12,D:\Projetos\_Web\aet\core\jobs\src\main\java\com\cognifide\aet\job\common\comparators\accessibility\AccessibilityComparator.java,class,false,113
