DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
REPORT,org.archive.crawler.reporting.ToeThreadsReport,write,3,1,2,2,0,1055,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java
REPORT,org.archive.crawler.reporting.ToeThreadsReport,getFilename,3,1,1,0,0,1211,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java
SIMPLEHTTPCONNECTIONMANAGER,org.archive.httpclient.SingleHttpConnectionManager,releaseConnection,4,1,1,1,0,1754,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\httpclient\SingleHttpConnectionManager.java
SIMPLEHTTPCONNECTIONMANAGER,org.archive.httpclient.SingleHttpConnectionManager,finishLast,12,3,3,1,0,1905,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\httpclient\SingleHttpConnectionManager.java
SIMPLEHTTPCONNECTIONMANAGER,org.archive.httpclient.SingleHttpConnectionManager,getConnectionWithTimeout,6,1,3,2,0,1442,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\httpclient\SingleHttpConnectionManager.java
BASERULE,org.archive.modules.canonicalize.StripUserinfoRule,canonicalize,3,1,2,1,0,1686,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\canonicalize\StripUserinfoRule.java
LINEITERATOR,org.archive.util.IterableLineIterator,iterator,3,1,1,0,0,502,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\IterableLineIterator.java
TEST,org.archive.util.InterruptibleCharSequenceTest,testNoninterruptible,8,1,5,0,0,3738,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
TEST,org.archive.util.InterruptibleCharSequenceTest,xestOverhead,26,2,6,0,0,1270,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
TEST,org.archive.util.InterruptibleCharSequenceTest,run,11,2,0,0,0,3365,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
TEST,org.archive.util.InterruptibleCharSequenceTest,testInterruptibility,11,2,6,0,0,4106,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
TEST,org.archive.util.InterruptibleCharSequenceTest,tryMatch,3,1,4,2,0,3081,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
TEST,org.archive.util.InterruptibleCharSequenceTest,tryMatchInThread,18,1,0,3,0,3201,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\InterruptibleCharSequenceTest.java
UNDEFINED,org.archive.crawler.framework.Engine,deleteJob,3,1,2,1,0,9070,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,findJobConfigs,24,8,5,0,0,2473,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
