DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
COMPOSITE,org.jbei.ice.client.entry.view.view.EntryLoadingWidget,3,2,3,0,0,3,9,5,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\entry\view\view\EntryLoadingWidget.java,class,false,42
COMPOSITE,org.jbei.ice.client.collection.add.form.ArabidopsisForm,5,3,15,0,0,5,52,19,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\collection\add\form\ArabidopsisForm.java,class,false,240
ENTITY,org.jbei.ice.lib.entry.model.PartNumber,9,1,13,16,0,9,0,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\model\PartNumber.java,class,true,79
UNDEFINED,org.jbei.ice.lib.utils.FileUtils,6,1,2,15,0,6,19,24,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\utils\FileUtils.java,class,false,154
ADMINPANELPRESENTER,org.jbei.ice.client.admin.user.UserPresenter,3,2,7,0,0,3,2,3,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\admin\user\UserPresenter.java,class,false,29
UNDEFINED,org.jbei.ice.lib.composers.formatters.IceSequenceOntology,2,1,0,0,0,2,7,8,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\composers\formatters\IceSequenceOntology.java,class,false,115
ENTITY,org.jbei.ice.shared.dto.AccountInfo,28,1,1,344,0,28,0,28,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\shared\dto\AccountInfo.java,class,false,133
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,9,1,0,20,0,9,2,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java,class,false,52
COMPOSITE,org.jbei.ice.client.entry.view.detail.EntryInfoView,17,2,10,32,3,17,60,47,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\entry\view\detail\EntryInfoView.java,class,false,333
WIDGET,org.jbei.ice.client.collection.menu.CollectionEntryActionMenu,18,1,16,49,0,18,24,20,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\collection\menu\CollectionEntryActionMenu.java,class,false,156
COMPOSITE,org.jbei.ice.client.common.FeedbackPanel,9,2,11,27,0,9,17,11,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\common\FeedbackPanel.java,class,false,88
COMPOSITE,org.jbei.ice.client.entry.view.view.PagerWidget,9,2,6,10,0,9,11,13,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\client\entry\view\view\PagerWidget.java,class,false,98
