DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,9,1,0,20,0,9,2,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java,class,false,52
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,8,1,26,4,0,8,72,49,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java,class,false,252
MODEL,org.jbei.ice.lib.dto.History,12,1,3,54,0,12,0,12,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java,class,false,66
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,14,2,12,91,0,14,70,69,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java,class,false,359
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,6,1,3,15,0,6,6,11,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java,class,false,92
[HMACSIGNATURE],org.jbei.auth.hmac.DefaultHmacSignature,5,1,4,0,0,5,2,7,D:\Projetos\_Web\ice\src\main\java\org\jbei\auth\hmac\DefaultHmacSignature.java,class,false,54
MODEL,org.jbei.ice.lib.dto.Setting,5,1,1,0,0,5,0,5,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\Setting.java,class,false,35
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SampleDAO,5,2,7,10,0,5,15,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SampleDAO.java,class,false,80
HASENTRY,org.jbei.ice.lib.entry.EntryController,15,2,34,0,0,15,130,110,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\EntryController.java,class,false,434
EXCEPTION,org.jbei.ice.lib.search.blast.ProgramTookTooLongException,4,2,0,6,0,4,0,4,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\blast\ProgramTookTooLongException.java,class,false,26
