DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,org.libreplan.business.common.IntegrationEntity,13,2,8,34,20,13,22,25,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java,class,false
UNDEFINED,org.libreplan.business.BusinessGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\BusinessGlobalNames.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,124,2,95,8390,0,124,252,379,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.materials.MaterialAssignmentTemplateComponent,1,3,2,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\materials\MaterialAssignmentTemplateComponent.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.qualityforms.QualityFormCRUDController,36,3,24,377,0,36,60,74,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\qualityforms\QualityFormCRUDController.java,class,false
UNDEFINED,org.zkoss.ganttz.data.constraint.Constraint,27,1,10,252,1,27,22,50,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\data\constraint\Constraint.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.templates.EditTemplateWindowController,12,2,12,18,0,12,25,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\EditTemplateWindowController.java,class,false
UNDEFINED,org.libreplan.ws.common.api.WSCommonGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\WSCommonGlobalNames.java,class,false
UNDEFINED,org.libreplan.ws.resources.impl.ResourceConverter,25,1,22,298,0,25,78,76,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\resources\impl\ResourceConverter.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateValueTrueReportGlobalAdvanceException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateValueTrueReportGlobalAdvanceException.java,class,false
UNDEFINED,org.libreplan.web.planner.allocation.Row,187,2,76,19078,0,187,269,337,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\allocation\AdvancedAllocationController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.historicalAssignment.OrderElementHistoricalAssignmentComponent,11,2,21,55,0,11,50,24,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\historicalAssignment\OrderElementHistoricalAssignmentComponent.java,class,false
ENTITY,org.libreplan.ws.expensesheets.api.ExpenseSheetDTO,4,2,2,4,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\expensesheets\api\ExpenseSheetDTO.java,class,false
[ISCENARIOMANAGER],org.libreplan.business.scenarios.OnlyMainScenarioAwareManager,1,1,4,0,0,1,1,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\scenarios\OnlyMainScenarioAwareManager.java,class,false
TEST,org.libreplan.business.test.planner.entities.GenericResourceAllocationTest,60,1,33,625,0,60,139,71,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\planner\entities\GenericResourceAllocationTest.java,class,false
ENTITY,org.libreplan.business.users.entities.User,53,2,12,1096,0,53,26,74,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\users\entities\User.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.labels.AssignedLabelsController,18,2,16,137,2,18,29,34,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\labels\AssignedLabelsController.java,class,false
ENTITY,org.libreplan.business.reports.dtos.HoursWorkedPerResourceDTO,24,1,7,198,0,24,26,32,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\HoursWorkedPerResourceDTO.java,class,false
UNDEFINED,org.libreplan.web.templates.OrderElementsOnConversation,6,1,4,0,0,6,8,10,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\OrderElementsOnConversation.java,class,false
[IPREDICATE],org.libreplan.web.workreports.WorkReportLinePredicate,7,1,6,9,0,7,12,19,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\workreports\WorkReportLinePredicate.java,class,false
ENTITY,org.libreplan.business.planner.entities.SpecificDayAssignment,27,3,16,289,0,27,22,35,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\SpecificDayAssignment.java,class,false
UNDEFINED,org.libreplan.business.planner.entities.AggregateOfDayAssignments,4,1,4,0,0,4,7,5,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\AggregateOfDayAssignments.java,class,false
TEST,org.libreplan.business.test.materials.daos.MaterialCategoryDAOTest,8,1,7,0,0,8,19,13,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\materials\daos\MaterialCategoryDAOTest.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateAdvanceAssignmentForOrderElementException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateAdvanceAssignmentForOrderElementException.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.externalcompanies.ExternalCompanyCRUDController,18,3,12,75,0,18,30,27,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\externalcompanies\ExternalCompanyCRUDController.java,class,false
[ISUMEXPENSESRECALCULATOR],org.libreplan.business.orders.entities.SumExpensesRecalculator,2,1,7,8,0,2,10,9,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\SumExpensesRecalculator.java,class,false
TEST,org.libreplan.business.test.resources.daos.CriterionDAOTest,21,1,18,353,0,21,39,37,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\resources\daos\CriterionDAOTest.java,class,false
[IEDITTASKUTILITIES],org.libreplan.web.planner.order.EditTaskUtilities,5,1,15,10,0,5,24,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\EditTaskUtilities.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.reports.WorkingProgressPerTaskController,18,3,13,0,0,18,28,30,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\WorkingProgressPerTaskController.java,class,false
SERVICE,org.libreplan.ws.typeofworkhours.impl.TypeOfWorkHoursServiceREST,7,2,19,21,0,7,6,7,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\typeofworkhours\impl\TypeOfWorkHoursServiceREST.java,class,true
UNDEFINED,org.libreplan.business.test.qualityforms.daos.AbstractQualityFormTest,2,1,4,1,2,2,4,2,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\qualityforms\daos\AbstractQualityFormTest.java,class,false
