DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,org.libreplan.business.common.IntegrationEntity,create,5,1,3,2,0,1979,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,create,5,1,2,1,0,2408,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,isCodeAutogenerated,3,1,1,0,0,6343,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,checkConstraintUniqueCode,18,4,4,0,0,3392,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getFirstRepeatedCode,15,4,6,1,0,4534,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCodeAutogenerated,3,1,1,0,0,1895,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCodeAutogenerated,3,1,2,1,0,6218,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,generateCode,3,1,2,0,0,2880,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getIntegrationEntityDAO,0,1,1,0,0,5348,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCode,3,1,2,1,0,1823,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,iCodeSpecified,3,1,2,0,0,6129,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,findIntegrationEntityDAO,9,2,2,0,0,5516,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getCode,3,1,1,0,0,1721,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,confirmLastTab,12,5,2,0,0,18498,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,goToEditForm,5,1,2,1,0,35034,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getCreationPopup,6,2,1,0,0,40431,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,appendButtonPlan,14,1,0,2,0,46560,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,goToCreateForm,4,1,0,0,0,39858,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setBaseCalendar,3,1,2,1,0,41971,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,updateDisabilitiesOnInterface,11,2,6,0,0,53562,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,doAfterCompose,13,1,7,1,0,7057,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,createFromTemplate,3,1,2,1,0,34874,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,listenToChangeOfMode,13,1,0,0,0,12819,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,createCombo,7,1,3,3,0,13548,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,isCodeAutogenerated,3,1,2,0,0,42077,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,sortOrders,13,4,2,0,0,54317,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getOrders,3,1,2,0,0,25960,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getCurrencySymbol,3,1,2,0,0,61968,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getDeleteButton,15,1,0,1,0,60609,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setConstraintsFor,28,1,0,1,0,13858,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,bindListOrderStatusSelectToOnStatusChange,9,1,0,0,0,16037,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,refreshOrderWindow,8,2,1,0,0,27591,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,showOrderElementFilter,8,3,2,0,0,51105,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setupAssignedMaterialsToOrderElementController,12,3,4,0,0,22833,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,appendOperations,8,1,3,2,0,44963,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
