DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,org.libreplan.business.common.IntegrationEntity,13,2,8,20,18,13,21,25,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java,class,false
UNDEFINED,org.libreplan.business.BusinessGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\BusinessGlobalNames.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,110,2,94,6428,0,110,230,334,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.materials.MaterialAssignmentTemplateComponent,1,3,2,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\materials\MaterialAssignmentTemplateComponent.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.qualityforms.QualityFormCRUDController,36,3,24,377,0,36,62,74,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\qualityforms\QualityFormCRUDController.java,class,false
UNDEFINED,org.zkoss.ganttz.data.constraint.Constraint,27,1,10,252,1,27,22,50,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\data\constraint\Constraint.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.templates.EditTemplateWindowController,12,2,12,18,0,12,25,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\EditTemplateWindowController.java,class,false
UNDEFINED,org.libreplan.ws.common.api.WSCommonGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\WSCommonGlobalNames.java,class,false
UNDEFINED,org.libreplan.ws.resources.impl.ResourceConverter,25,1,22,298,0,25,79,76,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\resources\impl\ResourceConverter.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateValueTrueReportGlobalAdvanceException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateValueTrueReportGlobalAdvanceException.java,class,false
UNDEFINED,org.libreplan.web.planner.allocation.Row,186,2,77,18974,0,186,267,336,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\allocation\AdvancedAllocationController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.historicalAssignment.OrderElementHistoricalAssignmentComponent,10,2,18,36,0,10,39,19,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\historicalAssignment\OrderElementHistoricalAssignmentComponent.java,class,false
[ISCENARIOMANAGER],org.libreplan.business.scenarios.OnlyMainScenarioAwareManager,1,1,4,0,0,1,1,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\scenarios\OnlyMainScenarioAwareManager.java,class,false
TEST,org.libreplan.business.test.planner.entities.GenericResourceAllocationTest,58,1,33,590,0,58,137,69,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\planner\entities\GenericResourceAllocationTest.java,class,false
ENTITY,org.libreplan.business.users.entities.User,42,2,10,719,0,42,18,53,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\users\entities\User.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.labels.AssignedLabelsController,18,2,14,137,2,18,28,32,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\labels\AssignedLabelsController.java,class,false
ENTITY,org.libreplan.business.reports.dtos.HoursWorkedPerResourceDTO,24,1,7,198,0,24,25,30,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\HoursWorkedPerResourceDTO.java,class,false
UNDEFINED,org.libreplan.web.templates.OrderElementsOnConversation,6,1,4,0,0,6,8,10,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\OrderElementsOnConversation.java,class,false
[IPREDICATE],org.libreplan.web.workreports.WorkReportLinePredicate,7,1,6,9,0,7,12,19,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\workreports\WorkReportLinePredicate.java,class,false
ENTITY,org.libreplan.business.planner.entities.SpecificDayAssignment,27,3,16,289,0,27,22,35,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\SpecificDayAssignment.java,class,false
TEST,org.libreplan.business.test.materials.daos.MaterialCategoryDAOTest,8,1,7,0,0,8,19,13,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\materials\daos\MaterialCategoryDAOTest.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateAdvanceAssignmentForOrderElementException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateAdvanceAssignmentForOrderElementException.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.externalcompanies.ExternalCompanyCRUDController,19,3,13,93,0,19,34,34,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\externalcompanies\ExternalCompanyCRUDController.java,class,false
TEST,org.libreplan.business.test.resources.daos.CriterionDAOTest,21,1,18,353,0,21,39,37,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\resources\daos\CriterionDAOTest.java,class,false
[IEDITTASKUTILITIES],org.libreplan.web.planner.order.EditTaskUtilities,5,1,15,10,0,5,24,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\EditTaskUtilities.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.reports.WorkingProgressPerTaskController,18,3,13,0,0,18,28,30,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\WorkingProgressPerTaskController.java,class,false
SERVICE,org.libreplan.ws.typeofworkhours.impl.TypeOfWorkHoursServiceREST,7,2,19,21,0,7,6,7,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\typeofworkhours\impl\TypeOfWorkHoursServiceREST.java,class,true
UNDEFINED,org.libreplan.business.test.qualityforms.daos.AbstractQualityFormTest,2,1,4,1,2,2,4,2,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\qualityforms\daos\AbstractQualityFormTest.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.planner.allocation.streches.StretchesFunctionController,44,2,33,806,0,44,66,78,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\allocation\streches\StretchesFunctionController.java,class,false
ENTITY,org.libreplan.business.orders.entities.TaskSource,48,2,26,842,0,48,43,66,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\TaskSource.java,class,false
UNDEFINED,org.libreplan.ws.common.api.AdvanceMeasurementDTO,2,1,0,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\AdvanceMeasurementDTO.java,class,false
UNDEFINED,org.libreplan.business.common.VersionInformation,5,1,1,6,0,5,1,5,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\VersionInformation.java,class,false
UNDEFINED,org.libreplan.business.planner.limiting.entities.LimitingResourceAllocator,22,1,22,221,0,22,70,71,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\limiting\entities\LimitingResourceAllocator.java,class,false
TEST,org.libreplan.business.test.workreports.daos.WorkReportDAOTest,4,2,8,0,0,4,11,4,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\workreports\daos\WorkReportDAOTest.java,class,false
ENTITY,org.libreplan.business.workreports.entities.WorkReport,42,3,15,429,0,42,64,113,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\workreports\entities\WorkReport.java,class,false
TEST,org.libreplan.web.planner.chart.ChartFillerTest,3,1,5,0,0,3,8,3,D:\Projetos\_Web\libreplan\libreplan-webapp\src\test\java\org\libreplan\web\planner\chart\ChartFillerTest.java,class,false
ENTITY,org.libreplan.business.common.entities.ConfigurationRolesLDAP,4,1,1,2,0,4,0,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\entities\ConfigurationRolesLDAP.java,class,false
PERSISTENCE,org.libreplan.business.planner.daos.DependencyDAO,1,2,7,0,0,1,8,2,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\daos\DependencyDAO.java,class,true
UNDEFINED,org.libreplan.web.planner.tabs.OrdersTabCreator,7,1,12,0,0,7,26,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\tabs\OrdersTabCreator.java,class,false
PERSISTENCE,org.libreplan.business.orders.daos.HoursGroupDAO,7,3,9,21,0,7,20,15,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\daos\HoursGroupDAO.java,class,true
ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,73,4,29,2410,0,73,195,255,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\OrderLineGroup.java,class,false
[TYPECONVERTER],org.libreplan.web.common.typeconverters.DateConverter,2,1,3,1,0,2,1,3,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\typeconverters\DateConverter.java,class,false
SERVICE,org.libreplan.web.costcategories.CostCategoryModel,18,2,16,31,0,18,33,25,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\costcategories\CostCategoryModel.java,class,true
DIV,org.zkoss.ganttz.TaskComponent,50,2,30,1371,1,50,125,128,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\TaskComponent.java,class,false
UNDEFINED,org.libreplan.business.reports.dtos.HoursWorkedPerWorkerInAMonthDTO,8,1,3,14,0,8,4,8,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\HoursWorkedPerWorkerInAMonthDTO.java,class,false
SERVICE,org.libreplan.web.reports.HoursWorkedPerWorkerModel,23,1,18,189,0,23,42,52,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\HoursWorkedPerWorkerModel.java,class,true
UNDEFINED,org.libreplan.web.common.entrypoints.EntryPointsHandler,24,1,17,208,0,24,75,61,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\entrypoints\EntryPointsHandler.java,class,false
SERVICE,org.libreplan.web.materials.MaterialsModel,29,2,21,324,0,29,70,73,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\materials\MaterialsModel.java,class,true
GENERICFORWARDCOMPOSER,org.libreplan.web.planner.order.SubcontractController,10,2,15,0,0,10,12,12,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\SubcontractController.java,class,false
