DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,org.libreplan.business.common.IntegrationEntity,create,5,1,3,2,0,1979,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,create,5,1,2,1,0,2406,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,isCodeAutogenerated,3,1,1,0,0,6339,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,checkConstraintUniqueCode,18,4,4,0,0,3388,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getFirstRepeatedCode,15,4,6,1,0,4530,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCodeAutogenerated,3,1,1,0,0,1895,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCodeAutogenerated,3,1,2,1,0,6214,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,generateCode,3,1,2,0,0,2876,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getIntegrationEntityDAO,0,1,1,0,0,5344,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,setCode,3,1,2,1,0,1823,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,iCodeSpecified,3,1,2,0,0,6125,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,findIntegrationEntityDAO,9,2,2,0,0,5512,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
ENTITY,org.libreplan.business.common.IntegrationEntity,getCode,3,1,1,0,0,1721,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,confirmLastTab,12,5,2,0,0,18184,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,goToEditForm,5,1,2,1,0,34808,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getCreationPopup,6,2,1,0,0,40234,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,appendButtonPlan,14,1,0,2,0,46365,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,goToCreateForm,4,1,0,0,0,39635,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setBaseCalendar,3,1,2,1,0,41774,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,updateDisabilitiesOnInterface,12,2,6,0,0,53138,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,createFromTemplate,3,1,2,1,0,34648,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,listenToChangeOfMode,13,1,0,0,0,14179,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,createCombo,7,1,3,3,0,14908,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,isCodeAutogenerated,3,1,2,0,0,41880,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,sortOrders,13,4,2,0,0,53890,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getOrders,3,1,2,0,0,25631,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setupGlobalButtons,27,1,0,0,0,9432,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getParentName,3,2,2,1,0,6390,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setConstraintsFor,4,3,2,1,0,15218,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,bindListOrderStatusSelectToOnStatusChange,9,1,0,0,0,15723,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,refreshOrderWindow,8,2,1,0,0,27278,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,showOrderElementFilter,8,3,2,0,0,50669,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,doAfterCompose,13,1,6,1,0,8412,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setupAssignedMaterialsToOrderElementController,12,3,4,0,0,22354,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,appendOperations,8,1,3,2,0,44768,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setupManageOrderElementAdvancesController,17,3,4,0,0,19688,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,appendButtonEdit,14,1,0,2,0,45066,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,chekValidProjectName,19,1,0,0,0,54477,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,loadComponents,6,1,1,0,0,30068,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,goToList,4,1,0,0,0,29974,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getOrderStatus,3,1,2,0,0,42594,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,selectDefaultTab,3,1,0,0,0,29356,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getVisibility,6,2,1,0,0,25714,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,getCurrentTab,3,1,1,0,0,29729,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java
