DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
VAADINSERVLET,org.jumpmind.metl.ui.init.AppServlet,2,2,5,1,0,2,3,2,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\init\AppServlet.java,class,false,54
MODEL,org.jumpmind.metl.core.model.AuditEvent,6,3,2,3,0,6,1,6,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\AuditEvent.java,class,false,40
TABLE,org.jumpmind.metl.ui.common.Table,1,2,3,0,0,1,3,5,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\common\Table.java,class,false,42
EXCEPTION,org.jumpmind.metl.ui.api.FailureException,2,2,1,0,0,2,0,2,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\api\FailureException.java,class,false,18
MODEL,org.jumpmind.metl.core.model.FlowParameter,8,3,1,20,0,8,0,8,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\FlowParameter.java,class,false,66
ABSTRACTJAVASCRIPTCOMPONENT,org.jumpmind.metl.ui.diagram.RunDiagram,7,2,5,21,0,7,15,14,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\diagram\RunDiagram.java,class,false,92
ASYNCTASK,org.jumpmind.metl.core.runtime.flow.AsyncRecorder,5,1,6,0,0,5,33,26,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\flow\AsyncRecorder.java,class,false,162
DEFINITIONFACTORY,org.jumpmind.metl.ui.definition.DefinitionPlusUIFactory,5,2,10,4,0,5,21,23,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\definition\DefinitionPlusUIFactory.java,class,false,130
MODEL,org.jumpmind.metl.core.model.ExecutionStepLog,10,2,3,29,0,10,2,13,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ExecutionStepLog.java,class,false,84
VIEW,org.jumpmind.metl.ui.views.design.EditExcelWriterPanel,27,3,27,222,0,27,75,76,D:\Projetos\_Web\metl\comp-excel\src\main\java\org\jumpmind\metl\ui\views\design\EditExcelWriterPanel.java,class,false,365
