DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
VAADINSERVLET,org.jumpmind.metl.ui.init.AppServlet,1,2,3,0,0,1,3,1,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\init\AppServlet.java,class,false,44
UNDEFINED,org.jumpmind.metl.ui.common.AppConstants,1,1,0,0,0,1,0,1,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\common\AppConstants.java,class,false,31
TEST,org.jumpmind.metl.core.runtime.flow.BinaryFileWriterFlowTest,3,1,5,0,0,3,2,3,D:\Projetos\_Web\metl\metl-core\src\test\java\org\jumpmind\metl\core\runtime\flow\BinaryFileWriterFlowTest.java,class,false,54
TABLE,org.jumpmind.metl.ui.common.Table,1,2,3,0,0,1,3,5,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\common\Table.java,class,false,42
UNDEFINED,org.jumpmind.metl.core.runtime.component.AbstractComponentRuntimeTestSupport,24,1,18,112,16,24,65,36,D:\Projetos\_Web\metl\metl-core\src\test\java\org\jumpmind\metl\core\runtime\component\AbstractComponentRuntimeTestSupport.java,class,false,270
JAVASCRIPTCOMPONENTSTATE,org.jumpmind.metl.ui.mapping.MappingDiagramState,0,2,3,0,0,0,0,0,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\mapping\MappingDiagramState.java,class,false,41
MODEL,org.jumpmind.metl.core.model.FlowParameter,8,2,1,20,0,8,0,8,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\FlowParameter.java,class,false,66
ABSTRACTRUNTIMEOBJECT,org.jumpmind.metl.core.runtime.component.UnZip,5,3,11,4,0,5,39,30,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\UnZip.java,class,false,210
ASYNCTASK,org.jumpmind.metl.core.runtime.flow.AsyncRecorder,4,1,6,0,0,4,23,16,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\flow\AsyncRecorder.java,class,false,119
EXCEPTION,org.jumpmind.metl.ui.api.CouldNotFindDeploymentException,1,2,1,0,0,1,0,1,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\api\CouldNotFindDeploymentException.java,class,false,34
