DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,9,1,5,0,0,9,13,24,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java,class,false,116
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,21,1,3,186,0,21,18,23,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java,class,false,200
ENTITY,org.mitre.mpf.mvc.model.PropertyModel,8,1,0,10,0,8,0,8,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java,class,false,76
ENTITY,org.mitre.mpf.rest.api.node.EnvironmentVariableModel,6,1,1,1,0,6,3,6,D:\Projetos\_Web\openmpf\trunk\mpf-rest-api\src\main\java\org\mitre\mpf\rest\api\node\EnvironmentVariableModel.java,class,false,61
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,20,1,8,52,0,20,5,34,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java,class,false,192
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,5,2,5,0,0,5,12,13,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java,class,false,90
ROUTEBUILDER,org.mitre.mpf.wfm.camel.routes.JobCompletedRouteBuilder,3,2,6,1,0,3,18,3,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\routes\JobCompletedRouteBuilder.java,class,false,90
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinitionCollection,4,1,4,0,0,4,1,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinitionCollection.java,class,false,59
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PropertyDefinitionRef,7,1,5,0,0,7,12,18,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PropertyDefinitionRef.java,class,false,98
TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionProcessor,6,1,18,0,0,6,30,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\camelOps\TestMediaInspectionProcessor.java,class,false,257
WFMPROCESSOR,org.mitre.mpf.wfm.camel.EndOfStageProcessor,1,2,11,0,0,1,24,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\EndOfStageProcessor.java,class,false,89
[APPLICATIONCONTEXTINITIALIZER],org.mitre.mpf.mvc.CustomApplicationContextInitializer,1,1,5,0,0,1,5,2,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\CustomApplicationContextInitializer.java,class,false,52
ENTITY,org.mitre.mpf.wfm.data.entities.transients.TransientStreamingJob,28,1,4,228,0,28,2,28,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\data\entities\transients\TransientStreamingJob.java,class,false,143
ENTITY,org.mitre.mpf.wfm.data.entities.persistent.MarkupResult,23,1,8,185,0,23,13,24,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\data\entities\persistent\MarkupResult.java,class,true,105
TEST,org.mitre.mpf.wfm.service.component.TestAddComponentService,14,1,17,0,0,14,79,21,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\service\component\TestAddComponentService.java,class,false,431
ENTITY,org.mitre.mpf.mvc.SwaggerConfig,3,1,9,3,0,3,10,3,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\SwaggerConfig.java,class,false,83
WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionSplitter,2,2,10,1,0,2,15,7,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\mediainspection\MediaInspectionSplitter.java,class,false,76
UNDEFINED,org.mitre.mpf.password.Main,1,1,1,0,0,1,4,7,D:\Projetos\_Web\openmpf\trunk\mpf-password-generator\src\main\java\org\mitre\mpf\password\Main.java,class,false,63
UNDEFINED,org.mitre.mpf.mvc.model.DirectoryTreeNode,13,1,3,24,0,13,31,38,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\DirectoryTreeNode.java,class,false,169
[CLUSTERCHANGENOTIFIER],org.mitre.mpf.wfm.nodeManager.NodeManagerStatus,23,1,15,0,0,23,52,65,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\nodeManager\NodeManagerStatus.java,class,false,322
EXCEPTION,org.mitre.mpf.mvc.MpfServiceException,5,2,0,10,0,5,0,5,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\MpfServiceException.java,class,false,49
TEST,org.mitre.mpf.frameextractor.TestFrameExtractor,3,1,3,3,0,3,15,7,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\frameextractor\TestFrameExtractor.java,class,false,77
MODEL,org.mitre.mpf.mvc.model.ServerMediaFilteredListing,4,2,2,0,0,4,0,4,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\ServerMediaFilteredListing.java,class,false,59
BASEDETECTIONSTATUSPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.DetectionDeadLetterProcessor,1,2,4,0,0,1,1,1,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\detection\DetectionDeadLetterProcessor.java,class,false,43
EXCEPTION,org.mitre.mpf.wfm.exceptions.InvalidTaskWfmProcessingException,2,3,1,1,0,2,0,2,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\exceptions\InvalidTaskWfmProcessingException.java,class,false,40
UNDEFINED,org.mitre.mpf.mvc.model.FileTreeNode,15,1,2,53,0,15,11,30,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\FileTreeNode.java,class,false,190
VIEW,org.mitre.mpf.wfm.WfmStartup,5,1,23,0,0,5,42,22,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\WfmStartup.java,class,false,178
