DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,hashCode,3,1,2,0,0,3691,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,readResolve,6,2,2,0,0,4481,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,toString,3,1,2,0,0,4307,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getTaskRefs,3,1,1,0,0,2656,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,equals,13,5,5,1,0,3789,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getDescription,3,1,1,0,0,2519,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,isValid,23,7,4,0,0,2965,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getName,3,1,2,0,0,2441,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,setRed,3,1,2,1,0,2115,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,getBlue,3,1,1,0,0,2310,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,testSetColorUsingArgbNegativeGreenException,3,1,1,0,0,4904,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,setAlpha,3,1,2,1,0,2491,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,testSetColorUsingRgb,9,1,3,0,0,4003,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,testToString,9,1,1,0,0,5753,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,testSetColorUsingArgb,9,1,3,0,0,2884,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,setBlue,3,1,2,1,0,2365,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
