DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[SAVEHANDLER],org.openmrs.api.handler.UserSaveHandler,loadLazyHibernateCollections,5,2,1,1,0,1941,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\UserSaveHandler.java
[SAVEHANDLER],org.openmrs.api.handler.UserSaveHandler,handle,9,3,7,4,0,1174,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\UserSaveHandler.java
[VALIDATOR],org.openmrs.validator.ConceptNameTagValidator,validate,16,5,8,2,0,1468,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptNameTagValidator.java
[VALIDATOR],org.openmrs.validator.ConceptNameTagValidator,supports,3,1,4,1,0,1185,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptNameTagValidator.java
EXTENSION,org.openmrs.module.web.extension.LinkExt,getOverrideContent,3,1,1,1,0,985,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java
EXTENSION,org.openmrs.module.web.extension.LinkExt,getLabel,0,1,1,0,0,666,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java
EXTENSION,org.openmrs.module.web.extension.LinkExt,getMediaType,3,1,1,0,0,589,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java
EXTENSION,org.openmrs.module.web.extension.LinkExt,getRequiredPrivilege,0,1,1,0,0,863,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java
EXTENSION,org.openmrs.module.web.extension.LinkExt,getUrl,0,1,1,0,0,769,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java
TEST,org.openmrs.propertyeditor.ProgramWorkflowStateEditorTest,setAsText_shouldSetUsingUuid,5,1,2,0,0,977,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ProgramWorkflowStateEditorTest.java
TEST,org.openmrs.propertyeditor.ProgramWorkflowStateEditorTest,setAsText_shouldSetUsingId,5,1,2,0,0,673,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ProgramWorkflowStateEditorTest.java
TEST,org.openmrs.test.CreateCoreUuids,getUUIDs,35,6,10,0,0,1107,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateCoreUuids.java
TEST,org.openmrs.test.CreateCoreUuids,useInMemoryDatabase,3,1,1,0,0,4052,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateCoreUuids.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,saveOrderFrequency,4,1,2,1,0,14563,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,saveOrderType,4,1,2,1,0,17939,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrders,20,6,9,5,0,3544,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrders,3,1,5,5,0,4614,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getDiscontinuationOrder,4,1,3,1,0,5321,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getActiveOrders,12,1,9,4,0,8850,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderType,5,1,5,1,0,16574,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getRevisionOrder,5,1,4,1,0,5779,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,isOrderTypeInUse,5,1,5,1,0,18800,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderByOrderNumber,5,1,5,1,0,7122,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,createOrderCriteria,19,7,7,5,0,10023,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getCareSettingByName,3,1,4,1,0,11577,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderTypeByUuid,3,1,3,1,0,16910,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,setSessionFactory,3,1,2,1,0,2459,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderTypeByConceptClass,3,1,3,1,0,17538,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFrequencyByUuid,3,1,3,1,0,12727,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,deleteOrder,3,1,2,1,0,2947,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,isOrderFrequencyInUse,25,7,11,1,0,15078,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderTypes,7,2,5,1,0,17212,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getCareSettings,7,2,5,1,0,11859,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,saveOrder,4,1,2,1,0,2633,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getNextOrderNumberSeedSequenceValue,22,4,9,0,0,7494,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderSubtypes,8,2,6,2,0,18364,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getCareSetting,3,1,3,1,0,11038,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrder,6,2,4,1,0,3210,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFromDatabase,10,2,6,2,0,6143,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFrequencyByConcept,5,1,5,1,0,16195,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getCareSettingByUuid,3,1,3,1,0,11282,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderTypeByName,5,1,5,1,0,12174,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderByUuid,3,1,3,1,0,5045,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFrequencies,7,2,5,1,0,13027,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFrequencies,19,5,10,4,0,13377,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,deleteObsThatReference,5,2,2,1,0,6839,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,purgeOrderType,3,1,2,1,0,18166,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,getOrderFrequency,3,1,3,1,0,12490,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,purgeOrderFrequency,3,1,2,1,0,14840,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java
UNDEFINED,org.openmrs.web.dwr.DWRUserService,findUsers,30,8,16,3,0,1251,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\DWRUserService.java
UNDEFINED,org.openmrs.web.dwr.DWRUserService,getAllUsers,36,8,20,2,0,2667,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\DWRUserService.java
UNDEFINED,org.openmrs.web.dwr.DWRUserService,getUser,12,3,5,1,0,3905,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\DWRUserService.java
UNDEFINED,org.openmrs.web.dwr.DWRUserService,compare,5,1,3,2,0,4527,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\DWRUserService.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldNotGetDeadPerson,5,1,3,0,0,21550,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetSingleDeadPerson,6,1,3,0,0,21870,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByRandomCaseAttribute,8,1,5,0,0,6911,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldNotGetVoidedPerson,5,1,3,0,0,21226,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldObeyAttributeMatchMode,9,1,4,0,0,22843,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByMultipleNameParts,6,1,3,0,0,19717,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByNonexistingNameAndVoidedAttribute,6,1,4,0,0,13667,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByMultipleAttributes,11,1,5,0,0,9439,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByAttribute,8,1,5,0,0,6226,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByRandomCaseName,6,1,3,0,0,11124,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPersonDAO,7,1,4,0,0,1488,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,logPerson,5,1,3,1,0,2046,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByFamilyName,6,1,3,0,0,17799,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetEveryOneExceptVoidedByEmptyString,12,1,3,0,0,2766,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultipleDeadPeople,8,1,3,0,0,22264,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByGivenName,8,1,3,0,0,16301,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByNameAndVoidedAttribute,7,1,4,0,0,14651,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonBySearchingForAMixOfAttributeAndVoidedAttribute,10,1,5,0,0,7618,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByNameAndAttribute,7,1,4,0,0,14143,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByName,6,1,3,0,0,10737,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByMiddleName,6,1,3,0,0,16849,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByVoidedName,5,1,3,0,0,20515,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByVoidedAttribute,6,1,4,0,0,5795,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByFamilyName,8,1,3,0,0,18191,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldNotGetVoided,5,2,4,0,0,4294,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByNonexistingNameAndNonexistingAttribute,6,1,4,0,0,12696,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByNull,5,1,3,0,0,2459,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByMultipleNameParts,5,1,3,0,0,20135,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByGivenName,6,1,3,0,0,15910,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByFamilyName2,8,1,3,0,0,19132,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetEveryOneByEmptyStringIncludingVoided,12,1,2,0,0,3638,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,assertPeopleContainPersonID,8,3,4,2,0,4650,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetVoidedByVoidedNameWhenVoidedIsTrue,5,1,3,0,0,20845,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleBySingleName,8,1,3,0,0,11534,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByNameAndAttribute,8,1,3,0,0,15179,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,logPeople,5,2,2,1,0,1935,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetOnePersonByFamilyName2,6,1,3,0,0,18738,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByNonexistingName,5,1,3,0,0,10401,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByMultipleNames,8,1,3,0,0,12109,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleByMiddleName,8,1,3,0,0,17241,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,savePerson_shouldSavePersonWithBirthDateTime,12,1,4,0,0,23594,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetNoOneByNonexistingAttribute,6,1,4,0,0,4908,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,getPeople_shouldGetMultiplePeopleBySingleAttribute,10,1,5,0,0,8559,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java
