DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[SAVEHANDLER],org.openmrs.api.handler.UserSaveHandler,2,1,6,1,0,2,9,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\UserSaveHandler.java,class,false,60
[VALIDATOR],org.openmrs.validator.ConceptNameTagValidator,2,1,5,1,0,2,11,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptNameTagValidator.java,class,false,73
TEST,org.openmrs.propertyeditor.ProgramWorkflowStateEditorTest,1,3,3,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ProgramWorkflowStateEditorTest.java,class,false,28
TEST,org.openmrs.test.CreateCoreUuids,2,3,3,1,0,2,36,7,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateCoreUuids.java,class,false,104
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,40,1,22,0,0,40,64,95,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java,class,false,588
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,45,3,10,0,0,45,46,50,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java,class,false,680
TEST,org.openmrs.util.OpenmrsUtilTest,45,3,8,990,0,45,47,50,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\OpenmrsUtilTest.java,class,false,738
UNDEFINED,org.openmrs.web.test.WebTestHelper,8,1,16,22,0,8,15,16,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\test\WebTestHelper.java,class,false,159
BASEOPENMRSOBJECT,org.openmrs.EncounterType,11,3,2,45,0,11,4,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\EncounterType.java,class,false,119
[SAVEHANDLER],org.openmrs.api.handler.ConceptSaveHandler,1,1,5,0,0,1,16,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\ConceptSaveHandler.java,class,false,77
VIEW,org.openmrs.util.LocaleUtility,10,1,3,41,0,10,27,35,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\LocaleUtility.java,class,false,233
CONTEXTLOADER,org.openmrs.web.Listener,20,2,20,120,0,20,112,105,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\Listener.java,class,false,717
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.MoveDeletedHL7sChangeSet,5,1,7,10,0,5,17,12,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\MoveDeletedHL7sChangeSet.java,class,false,126
TEST,org.openmrs.UserTest,10,1,4,0,0,10,7,10,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\UserTest.java,class,false,98
BASEOPENMRSOBJECT,org.openmrs.Person,77,3,11,2740,0,77,101,194,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Person.java,class,false,1050
ENTITY,org.openmrs.propertyeditor.ProgramEditor,3,2,3,3,0,3,21,14,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\propertyeditor\ProgramEditor.java,class,false,85
TEST,org.openmrs.propertyeditor.ConceptDatatypeEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ConceptDatatypeEditorTest.java,class,false,39
JUNITSTORY,org.openmrs.stories.EditPatientAttributes,1,3,3,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\stories\EditPatientAttributes.java,class,false,33
BASEOPENMRSOBJECT,org.openmrs.ConceptMap,12,3,7,46,0,12,4,16,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\ConceptMap.java,class,false,130
BASEOPENMRSOBJECT,org.openmrs.Provider,12,4,5,46,0,12,12,15,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Provider.java,class,false,118
[METHODBEFOREADVICE],org.openmrs.aop.RequiredDataAdvice,7,1,9,21,0,7,44,68,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\aop\RequiredDataAdvice.java,class,false,392
BASEOPENMRSOBJECT,org.openmrs.LocationTag,8,3,1,22,0,8,5,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\LocationTag.java,class,false,81
[VALIDATOR],org.openmrs.validator.ConceptSourceValidator,2,1,4,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptSourceValidator.java,class,false,59
ABSTRACTTASK,org.openmrs.scheduler.tasks.AutoCloseVisitsTask,1,2,2,0,0,1,8,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\tasks\AutoCloseVisitsTask.java,class,false,52
