DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[SAVEHANDLER],org.openmrs.api.handler.UserSaveHandler,2,1,6,1,0,2,9,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\UserSaveHandler.java,class,false,63
[VALIDATOR],org.openmrs.validator.ConceptNameTagValidator,2,1,5,1,0,2,10,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptNameTagValidator.java,class,false,76
EXTENSION,org.openmrs.module.web.extension.LinkExt,5,2,3,10,0,5,0,5,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\LinkExt.java,class,false,46
TEST,org.openmrs.propertyeditor.ProgramWorkflowStateEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ProgramWorkflowStateEditorTest.java,class,false,30
TEST,org.openmrs.test.CreateCoreUuids,2,3,3,1,0,2,36,7,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateCoreUuids.java,class,false,108
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,37,1,20,0,0,37,64,92,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java,class,false,551
UNDEFINED,org.openmrs.web.dwr.DWRUserService,4,1,6,0,0,4,21,29,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\DWRUserService.java,class,false,175
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,44,3,10,0,0,44,36,49,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java,class,false,667
HTTPSERVLET,org.openmrs.web.servlet.SummaryServlet,4,2,12,6,0,4,47,31,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\servlet\SummaryServlet.java,class,false,209
TEST,org.openmrs.util.OpenmrsUtilTest,49,3,9,1176,0,49,49,59,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\OpenmrsUtilTest.java,class,false,805
UNDEFINED,org.openmrs.web.test.WebTestHelper,8,1,16,22,0,8,15,16,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\test\WebTestHelper.java,class,false,163
TEST,org.openmrs.web.servlet.LoginServletTest,3,4,5,3,0,3,10,4,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\servlet\LoginServletTest.java,class,false,114
BASEOPENMRSOBJECT,org.openmrs.EncounterType,11,3,2,45,0,11,4,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\EncounterType.java,class,false,123
[SAVEHANDLER],org.openmrs.api.handler.ConceptSaveHandler,1,1,4,0,0,1,10,16,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\ConceptSaveHandler.java,class,false,73
VIEW,org.openmrs.util.LocaleUtility,10,1,3,41,0,10,27,37,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\LocaleUtility.java,class,false,246
