DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
EXCEPTION,org.openmrs.api.InvalidCheckDigitException,5,4,2,10,0,5,0,5,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\api\InvalidCheckDigitException.java,class,false,27
HTTPSERVLET,org.openmrs.web.servlet.DisplayChartServlet,1,3,7,0,0,1,5,3,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\servlet\DisplayChartServlet.java,class,false,44
ENTITY,org.openmrs.web.propertyeditor.DrugEditor,3,2,3,3,0,3,12,8,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\DrugEditor.java,class,false,45
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,6,2,3,15,0,6,0,6,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java,class,false,50
TAGSUPPORT,org.openmrs.web.taglib.AuthTag,1,2,2,0,0,1,5,1,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\AuthTag.java,class,false,24
ENTITY,org.openmrs.web.propertyeditor.ConceptDatatypeEditor,3,2,3,3,0,3,13,8,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\ConceptDatatypeEditor.java,class,false,45
EXTENSION,org.openmrs.module.web.extension.AdministrationSectionExt,4,2,2,6,0,4,0,4,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\AdministrationSectionExt.java,class,false,49
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,16,1,5,50,0,16,34,65,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java,class,false,242
UNDEFINED,org.openmrs.DataEntryStatistic,13,1,5,50,0,13,19,30,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\DataEntryStatistic.java,class,false,133
SERVICE,org.openmrs.hl7.impl.HL7ServiceImpl,27,1,18,343,0,27,59,98,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\hl7\impl\HL7ServiceImpl.java,class,false,386
ENTITY,org.openmrs.Tribe,11,1,1,45,0,11,4,19,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\Tribe.java,class,false,96
CONTROLLER,org.openmrs.web.controller.patient.PatientDashboardController,2,2,12,0,0,2,34,30,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\patient\PatientDashboardController.java,class,false,161
ENTITY,org.openmrs.web.propertyeditor.WorkflowCollectionEditor,3,2,6,3,0,3,34,24,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\WorkflowCollectionEditor.java,class,false,105
[ARDENBASETREEPARSERTOKENTYPES],org.openmrs.arden.MLMObjectElement,30,1,3,319,0,30,41,134,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\arden\MLMObjectElement.java,class,false,512
TAGSUPPORT,org.openmrs.web.taglib.ContextPathTag,2,2,2,1,0,2,4,3,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\ContextPathTag.java,class,false,35
UNDEFINED,org.openmrs.web.taglib.functions.Filter,2,1,3,0,0,2,15,12,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\functions\Filter.java,class,false,56
HTTPSERVLET,org.openmrs.web.servlet.SampleFlowsheetServlet,5,2,11,8,0,5,40,16,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\servlet\SampleFlowsheetServlet.java,class,false,124
UNDEFINED,org.openmrs.notification.web.dwr.DWRAlertService,2,1,4,0,0,2,8,5,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\notification\web\dwr\DWRAlertService.java,class,false,57
CONTROLLER,org.openmrs.web.controller.form.FormListController,2,2,10,1,0,2,17,18,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\form\FormListController.java,class,false,102
UNDEFINED,org.openmrs.web.taglib.functions.Sort,3,1,2,3,0,3,7,7,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\functions\Sort.java,class,false,55
ABSTRACTREPORTOBJECT,org.openmrs.reporting.export.DataExportReportObject,20,2,9,130,0,20,27,43,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\export\DataExportReportObject.java,class,false,221
ENTITY,org.openmrs.web.dwr.PatientStateItem,14,1,1,55,0,14,11,14,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\dwr\PatientStateItem.java,class,false,76
CONTROLLER,org.openmrs.web.controller.order.OrderPlaceFormController,4,2,15,6,0,4,25,22,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\order\OrderPlaceFormController.java,class,false,156
HTTPSERVLET,org.openmrs.web.servlet.DownloadDictionaryServlet,2,2,5,1,0,2,28,23,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\servlet\DownloadDictionaryServlet.java,class,false,106
RULE,org.openmrs.logic.rule.ProblemListRule,1,2,4,0,0,1,9,8,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\logic\rule\ProblemListRule.java,class,false,34
CONTROLLER,org.openmrs.web.controller.report.export.DataExportListController,4,2,15,6,0,4,30,41,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\report\export\DataExportListController.java,class,false,199
ENTITY,org.openmrs.hl7.HL7InArchive,12,1,2,56,0,12,6,12,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\hl7\HL7InArchive.java,class,false,103
CONTROLLER,org.openmrs.web.controller.observation.MimeTypeListController,3,2,12,3,0,3,20,17,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\observation\MimeTypeListController.java,class,false,116
TAGSUPPORT,org.openmrs.web.taglib.UserPropertyTag,7,2,2,3,0,7,10,14,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\UserPropertyTag.java,class,false,66
ENTITY,org.openmrs.web.propertyeditor.ConceptAnswersEditor,4,2,6,6,0,4,28,38,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\ConceptAnswersEditor.java,class,false,138
TEST,org.openmrs.api.ObsServiceTest,3,3,18,1,0,3,80,7,D:\Projetos\_Web\openmrs-core\test\api\org\openmrs\api\ObsServiceTest.java,class,false,288
ENTITY,org.openmrs.web.OptionsForm,29,1,0,378,0,29,0,29,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\OptionsForm.java,class,false,151
CONTROLLER,org.openmrs.web.controller.order.OrderTypeListController,3,2,11,3,0,3,19,17,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\order\OrderTypeListController.java,class,false,114
CONTROLLER,org.openmrs.web.controller.SpringController,1,1,4,0,0,1,3,5,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\SpringController.java,class,false,25
CONTROLLER,org.openmrs.web.controller.order.OrderDrugListController,4,2,14,6,0,4,24,19,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\order\OrderDrugListController.java,class,false,133
UNDEFINED,org.openmrs.hl7.HL7Parser,3,1,2,3,0,3,5,3,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\hl7\HL7Parser.java,class,false,30
CONTROLLER,org.openmrs.notification.web.controller.AlertListController,4,2,12,6,0,4,20,9,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\notification\web\controller\AlertListController.java,class,false,116
ABSTRACTREPORTOBJECT,org.openmrs.reporting.PatientAnalysis,15,2,6,27,0,15,17,25,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\PatientAnalysis.java,class,false,122
PERSISTENCE,org.openmrs.logic.PatientCohortDataSource,7,1,11,21,0,7,10,9,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\logic\PatientCohortDataSource.java,class,false,52
UNDEFINED,org.openmrs.reporting.DataTable,12,1,3,0,0,12,20,35,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\DataTable.java,class,false,135
CONTROLLER,org.openmrs.web.controller.encounter.LocationFormController,3,2,10,3,0,3,14,11,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\controller\encounter\LocationFormController.java,class,false,86
