DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
HTTPSERVLET,org.openmrs.web.servlet.DisplayChartServlet,createChart,7,2,8,2,0,864,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\servlet\DisplayChartServlet.java
ENTITY,org.openmrs.web.propertyeditor.DrugEditor,getAsText,9,2,2,0,0,912,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\DrugEditor.java
ENTITY,org.openmrs.web.propertyeditor.DrugEditor,setAsText,15,3,8,1,0,477,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\DrugEditor.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getOverrideContent,3,1,1,1,0,943,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getRequiredPrivilege,0,1,1,0,0,586,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getTabId,0,1,1,0,0,417,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getPortletUrl,0,1,1,0,0,782,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getMediaType,3,1,1,0,0,155,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
EXTENSION,org.openmrs.module.web.extension.PatientDashboardTabExt,getTabName,0,1,1,0,0,246,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\PatientDashboardTabExt.java
TAGSUPPORT,org.openmrs.web.taglib.AuthTag,doStartTag,5,1,4,0,0,375,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\taglib\AuthTag.java
ENTITY,org.openmrs.web.propertyeditor.ConceptDatatypeEditor,setAsText,16,3,8,1,0,510,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\ConceptDatatypeEditor.java
ENTITY,org.openmrs.web.propertyeditor.ConceptDatatypeEditor,getAsText,9,2,2,0,0,1006,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\web\propertyeditor\ConceptDatatypeEditor.java
EXTENSION,org.openmrs.module.web.extension.AdministrationSectionExt,getTitle,0,1,1,0,0,273,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\AdministrationSectionExt.java
EXTENSION,org.openmrs.module.web.extension.AdministrationSectionExt,getMediaType,3,1,1,0,0,182,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\AdministrationSectionExt.java
EXTENSION,org.openmrs.module.web.extension.AdministrationSectionExt,getRequiredPrivilege,3,1,1,0,0,530,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\AdministrationSectionExt.java
EXTENSION,org.openmrs.module.web.extension.AdministrationSectionExt,getLinks,0,1,1,0,0,851,D:\Projetos\_Web\openmrs-core\src\web\org\openmrs\module\web\extension\AdministrationSectionExt.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,initInstance,42,9,11,2,0,4987,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,getReportObjectTypes,13,3,5,0,0,878,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,getDefaultValidator,3,1,1,0,0,6815,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,getModules,3,1,1,0,0,7122,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,isSubTypeOfType,11,3,3,2,0,1712,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
UNDEFINED,org.openmrs.reporting.ReportObjectFactory,getInstance,4,2,2,0,0,707,D:\Projetos\_Web\openmrs-core\src\api\org\openmrs\reporting\ReportObjectFactory.java
