DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,hashCode,3,1,2,0,0,1637,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,getKey,3,1,1,0,0,1177,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,equals,10,4,5,1,0,1290,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,getDistance,3,1,1,0,0,1231,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,id,3,1,1,0,0,965,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,toString,3,1,1,0,0,1585,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,hashCode,3,1,2,0,0,1503,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,equals,10,4,3,1,0,1221,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,name,3,1,1,0,0,1076,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,entrySet,3,1,2,0,0,3118,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,containsValue,3,1,3,1,0,1745,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,size,3,1,2,0,0,1439,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,clear,3,1,1,0,0,2795,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,values,3,1,2,0,0,3005,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,containsKey,3,1,3,1,0,1609,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,get,6,2,4,1,0,1866,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,keySet,3,1,2,0,0,2893,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,put,3,1,3,2,0,2410,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,isEmpty,3,1,2,0,0,1519,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
