DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidFolder,10,1,0,0,0,1395,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedSSLUrl,5,1,2,0,0,2210,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedTLSUrl,5,1,2,0,0,2920,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testAccountHasStoreUri,5,1,2,0,0,1932,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithStoreUriForLogging,4,1,1,0,0,4719,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithObfuscatedStoreURIWithPort,4,1,1,0,0,3943,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfPasswordIsMissing,3,1,1,0,0,4490,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfUsernameIsMissing,3,1,1,0,0,4272,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidUri,10,1,0,0,0,634,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustAllSSLUrl,5,1,2,0,0,2567,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithObfuscatedStoreURI,4,1,1,0,0,3630,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustAllTLSUrl,5,1,2,0,0,3277,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,14,2,8,1,0,2762,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,checkUserHasDonated,37,1,0,2,0,8628,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,22,7,6,1,0,9192,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,24,5,4,2,0,7060,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,log,5,2,2,1,0,8304,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,5,2,7,2,0,8853,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,showSelectDialog,49,6,0,1,0,4788,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onCancel,3,1,0,1,0,6901,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingServiceDisconnected,3,1,0,0,0,3524,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,queryAvailableSkus,4,2,3,0,0,4489,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingServiceDisconnected,2,1,0,0,0,10152,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
