DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
FRAGMENT,com.zegoggles.smssync.activity.SMSBackupPreferenceFragment,1,2,2,0,0,1,1,1,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\SMSBackupPreferenceFragment.java,class,false
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,12,1,4,66,0,12,11,12,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,11,2,17,147,0,11,50,69,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java,class,false
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,7,2,6,21,0,7,19,17,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java,class,false
COMMONSHTTPOAUTHCONSUMER,com.zegoggles.smssync.auth.XOAuthConsumer,19,2,28,143,0,19,58,45,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\auth\XOAuthConsumer.java,class,false
UNDEFINED,com.zegoggles.smssync.service.BackupConfig,3,1,6,0,0,3,1,9,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\BackupConfig.java,class,false
TEST,com.zegoggles.smssync.service.SmsBackupServiceTest,17,1,24,0,0,17,48,24,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\SmsBackupServiceTest.java,class,false
TEST,com.zegoggles.smssync.contacts.ContactAccessorPost20Test,5,1,11,0,0,5,21,5,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\contacts\ContactAccessorPost20Test.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.MessageConverter,7,1,22,15,0,7,44,37,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\MessageConverter.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.BackupDisabledException,0,2,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\exception\BackupDisabledException.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.PersonRecord,12,1,2,14,0,12,15,21,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\PersonRecord.java,class,false
[TRUSTEDSOCKETFACTORY],com.zegoggles.smssync.mail.AllTrustedSocketFactory,5,1,3,10,0,5,5,7,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\AllTrustedSocketFactory.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.RequiresBackgroundDataException,1,2,1,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\exception\RequiresBackgroundDataException.java,class,false
TEST,com.zegoggles.smssync.mail.PersonRecordTest,22,1,4,231,0,22,10,22,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\PersonRecordTest.java,class,false
TEST,com.zegoggles.smssync.mail.PersonLookupTest,7,1,10,1,0,7,21,9,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\PersonLookupTest.java,class,false
PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,16,2,18,124,0,16,60,54,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\BackupImapStore.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.ContactGroupIds,6,1,1,0,0,6,6,6,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\contacts\ContactGroupIds.java,class,false
SERVICE,com.zegoggles.smssync.compat.HeadlessSmsSendService,1,2,4,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\compat\HeadlessSmsSendService.java,class,false
TEST,com.zegoggles.smssync.preferences.AuthPreferencesTest,3,1,7,0,0,3,13,3,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\preferences\AuthPreferencesTest.java,class,false
TEST,com.zegoggles.smssync.contacts.ContactGroupdsTest,2,1,4,1,0,2,10,2,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\contacts\ContactGroupdsTest.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.Group,2,1,0,0,0,2,1,3,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\contacts\Group.java,class,false
TEST,com.zegoggles.smssync.service.AlarmManagerDriverTest,7,1,20,85,0,7,25,15,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\AlarmManagerDriverTest.java,class,false
UNDEFINED,com.zegoggles.smssync.utils.Sanitizer,3,1,0,3,0,3,3,5,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\utils\Sanitizer.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.Headers,2,1,3,1,0,2,1,4,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\Headers.java,class,false
ASYNCTASK,com.zegoggles.smssync.tasks.MigrateOAuth1TokenTask,3,2,7,0,0,3,8,8,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\tasks\MigrateOAuth1TokenTask.java,class,false
[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPost40,4,1,6,0,0,4,17,13,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\calendar\CalendarAccessorPost40.java,class,false
TEST,com.zegoggles.smssync.service.BackupCursorsTest,9,1,10,6,0,9,18,12,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\BackupCursorsTest.java,class,false
TEST,com.zegoggles.smssync.service.CalendarSyncerTest,5,1,10,0,0,5,22,5,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\CalendarSyncerTest.java,class,false
TEST,com.zegoggles.smssync.service.BackupConfigTest,3,1,3,3,0,3,3,3,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\BackupConfigTest.java,class,false
TEST,com.zegoggles.smssync.mail.MessageGeneratorTest,21,1,18,0,0,21,28,21,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\MessageGeneratorTest.java,class,false
[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPre40,4,1,5,0,0,4,14,11,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\calendar\CalendarAccessorPre40.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,7,1,1,15,0,7,12,23,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\CallFormatter.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.ServerPreferences,5,1,2,0,0,5,4,5,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\preferences\ServerPreferences.java,class,false
