DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidFolder,10,1,0,0,0,1390,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedSSLUrl,5,1,2,0,0,2205,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedTLSUrl,5,1,2,0,0,2915,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testAccountHasStoreUri,5,1,2,0,0,1927,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithStoreUriForLogging,4,1,1,0,0,4714,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithObfuscatedStoreURIWithPort,4,1,1,0,0,3938,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfPasswordIsMissing,3,1,1,0,0,4485,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfUsernameIsMissing,3,1,1,0,0,4267,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidUri,10,1,0,0,0,629,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustAllSSLUrl,5,1,2,0,0,2562,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithObfuscatedStoreURI,4,1,1,0,0,3625,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustAllTLSUrl,5,1,2,0,0,3272,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,13,2,7,1,0,3246,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,25,6,6,1,0,8295,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,checkUserDonationStatus,38,1,0,2,0,7705,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,24,5,4,2,0,4981,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,log,5,2,2,1,0,7596,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,3,1,6,2,0,7981,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,showSelectDialog,14,4,7,1,0,6957,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingServiceDisconnected,3,1,0,0,0,3922,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,queryAvailableSkus,4,2,3,0,0,6687,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingServiceDisconnected,2,1,0,0,0,9397,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,userHasDonated,10,4,4,1,0,9479,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onCreate,23,1,0,1,0,2985,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onDestroy,7,2,1,0,0,4086,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onSkuDetailsResponse,19,5,5,2,0,4291,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,selectedSku,7,3,4,1,0,6336,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,incomingSMS,8,2,2,1,0,1680,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,shouldSchedule,12,2,4,1,0,1923,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,getPreferences,3,1,2,1,0,3096,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,6,2,6,3,0,2742,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,onReceive,9,3,4,2,0,1348,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,getBackupJobs,3,1,2,1,0,2991,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,getAuthPreferences,3,1,2,1,0,3204,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onAttach,4,1,2,1,0,9796,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,requestDefaultSmsPackageChange,4,1,1,0,0,14115,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,3,1,3,1,0,12315,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,13,1,0,1,0,6320,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,shouldOverrideUrlLoading,4,1,1,2,0,6719,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,5,1,3,1,0,9363,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,11,1,0,1,0,4793,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,0,12892,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,createMessageDialog,3,1,4,3,0,3616,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,4,1,0,2,0,11570,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,instantiate,3,1,5,2,0,3355,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,6,2,4,1,0,4054,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,5,1,3,1,0,11930,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,8,1,0,1,0,12600,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,0,10714,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onOAuth2Callback,3,1,1,1,0,10068,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,8,1,0,1,0,10293,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onDetach,4,1,1,0,0,9942,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,0,8561,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,9,1,3,1,0,8822,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,8,1,0,1,0,7411,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,0,7736,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,8,1,0,1,0,8115,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,9,1,0,1,0,11163,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,0,13834,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,5,1,3,1,0,5912,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,3,3,2,0,4994,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onCreateDialog,8,1,0,1,0,13489,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java
UNDEFINED,com.zegoggles.smssync.service.BackupConfig,retryWithStore,3,1,2,1,0,1565,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\BackupConfig.java
UNDEFINED,com.zegoggles.smssync.service.BackupConfig,toString,3,1,1,0,0,1845,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\BackupConfig.java
TEST,com.zegoggles.smssync.service.SmsBackupServiceTest,getAuthPreferences,3,1,1,0,0,3041,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\SmsBackupServiceTest.java
TEST,com.zegoggles.smssync.service.SmsBackupServiceTest,notifyUser,3,1,5,4,0,3138,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\SmsBackupServiceTest.java
TEST,com.zegoggles.smssync.service.SmsBackupServiceTest,shouldScheduleNextRegularBackupAfterFinished,11,1,4,0,0,7994,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\SmsBackupServiceTest.java
