DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,11,1,4,55,0,11,11,11,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java,class,false
ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,12,3,18,100,0,12,45,58,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\donation\DonationActivity.java,class,false
BROADCASTRECEIVER,com.zegoggles.smssync.receiver.SmsBroadcastReceiver,7,2,6,21,0,7,18,17,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\receiver\SmsBroadcastReceiver.java,class,false
UNDEFINED,com.zegoggles.smssync.activity.Dialogs,20,1,21,358,0,20,38,31,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\Dialogs.java,class,false
TEST,com.zegoggles.smssync.contacts.ContactAccessorTest,5,1,11,0,0,5,21,5,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\contacts\ContactAccessorTest.java,class,false
UNDEFINED,com.zegoggles.smssync.service.BackupConfig,3,1,6,0,0,3,1,9,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\BackupConfig.java,class,false
TEST,com.zegoggles.smssync.service.SmsBackupServiceTest,15,1,25,25,0,15,47,23,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\SmsBackupServiceTest.java,class,false
UNDEFINED,com.zegoggles.smssync.activity.events.MissingPermissionsEvent,1,1,1,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\events\MissingPermissionsEvent.java,class,false
UNDEFINED,com.zegoggles.smssync.activity.events.AutoBackupSettingsChangedEvent,0,1,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\events\AutoBackupSettingsChangedEvent.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.MessageConverter,7,1,23,15,0,7,44,37,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\MessageConverter.java,class,false
EXCEPTION,com.zegoggles.smssync.service.exception.BackupDisabledException,0,2,0,0,0,0,0,0,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\service\exception\BackupDisabledException.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.PersonRecord,12,1,2,14,0,12,15,21,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\PersonRecord.java,class,false
[TRUSTEDSOCKETFACTORY],com.zegoggles.smssync.mail.AllTrustedSocketFactory,5,1,3,10,0,5,5,7,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\AllTrustedSocketFactory.java,class,false
TEST,com.zegoggles.smssync.mail.PersonRecordTest,22,1,4,231,0,22,10,22,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\PersonRecordTest.java,class,false
TEST,com.zegoggles.smssync.mail.PersonLookupTest,7,1,10,1,0,7,21,9,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\PersonLookupTest.java,class,false
PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,14,2,17,95,0,14,55,50,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\BackupImapStore.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.ContactGroupIds,6,1,1,0,0,6,6,6,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\contacts\ContactGroupIds.java,class,false
SERVICE,com.zegoggles.smssync.compat.HeadlessSmsSendService,1,2,4,0,0,1,0,1,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\compat\HeadlessSmsSendService.java,class,false
TEST,com.zegoggles.smssync.preferences.AuthPreferencesTest,3,1,4,0,0,3,11,3,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\preferences\AuthPreferencesTest.java,class,false
UNDEFINED,com.zegoggles.smssync.contacts.Group,2,1,0,0,0,2,1,3,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\contacts\Group.java,class,false
TEST,com.zegoggles.smssync.service.AlarmManagerDriverTest,7,1,20,85,0,7,24,15,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\AlarmManagerDriverTest.java,class,false
TEST,com.zegoggles.smssync.activity.donation.SkuTest,4,1,3,2,0,4,6,5,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\activity\donation\SkuTest.java,class,false
UNDEFINED,com.zegoggles.smssync.utils.Sanitizer,3,1,0,3,0,3,3,5,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\utils\Sanitizer.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.Headers,2,1,3,1,0,2,1,4,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\Headers.java,class,false
[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPost40,4,1,7,0,0,4,19,16,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\calendar\CalendarAccessorPost40.java,class,false
TEST,com.zegoggles.smssync.service.BackupCursorsTest,9,1,10,6,0,9,18,12,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\BackupCursorsTest.java,class,false
TEST,com.zegoggles.smssync.service.CalendarSyncerTest,5,1,10,0,0,5,22,5,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\CalendarSyncerTest.java,class,false
TEST,com.zegoggles.smssync.service.BackupConfigTest,3,1,3,3,0,3,3,3,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\BackupConfigTest.java,class,false
TEST,com.zegoggles.smssync.mail.MessageGeneratorTest,21,1,18,0,0,21,28,21,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\MessageGeneratorTest.java,class,false
[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPre40,4,1,5,0,0,4,14,11,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\calendar\CalendarAccessorPre40.java,class,false
FRAGMENT,com.zegoggles.smssync.activity.fragments.AutoBackupSettings,2,3,2,1,0,2,5,4,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\activity\fragments\AutoBackupSettings.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,7,1,1,15,0,7,12,23,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\CallFormatter.java,class,false
UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,9,1,11,0,0,9,28,28,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\mail\MmsSupport.java,class,false
UNDEFINED,com.zegoggles.smssync.utils.ThreadHelper,3,1,2,1,0,3,10,17,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\utils\ThreadHelper.java,class,false
TEST,com.zegoggles.smssync.service.state.StateTest,9,1,5,0,0,9,10,9,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\service\state\StateTest.java,class,false
UNDEFINED,com.zegoggles.smssync.preferences.Preferences,42,1,10,0,0,42,26,60,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\preferences\Preferences.java,class,false
BROADCASTRECEIVER,com.zegoggles.smssync.compat.SmsReceiver,2,2,10,1,0,2,21,12,D:\Projetos\_Android\sms-backup-plus\app\src\main\java\com\zegoggles\smssync\compat\SmsReceiver.java,class,false
