DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
MODEL,br.com.webbudget.application.component.chart.donut.DonutChartModel,4,2,2,0,0,4,3,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\chart\donut\DonutChartModel.java,class,false
UNDEFINED,br.com.webbudget.domain.model.service.EmailService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\EmailService.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.message.PrivateMessage,2,2,11,1,0,2,4,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\message\PrivateMessage.java,class,true
[CONVERTER],br.com.webbudget.application.converter.LocalTimeConverter,2,1,4,1,0,2,3,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\converter\LocalTimeConverter.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.movement.MovementRepository,13,2,19,78,0,13,41,38,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\movement\MovementRepository.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.movement.CostCenter,2,2,15,0,0,2,1,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\movement\CostCenter.java,class,true
ENTITY,br.com.webbudget.application.controller.financial.TransferenceBean,4,2,9,0,0,4,10,8,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\TransferenceBean.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.card.Card,2,2,14,0,0,2,4,7,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\card\Card.java,class,true
ABSTRACTBASECREDENTIALS,br.com.webbudget.infraestructure.picketlink.CustomCredentials,4,2,9,0,0,4,2,9,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\picketlink\CustomCredentials.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.security.PartitionTypeEntity,0,1,13,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\PartitionTypeEntity.java,class,true
DEFAULTPARTITIONMANAGER,br.com.webbudget.infraestructure.picketlink.CustomPartitionManager,2,2,4,1,0,2,0,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\picketlink\CustomPartitionManager.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.movement.MovementClassRepository,5,2,9,10,0,5,22,17,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\movement\MovementClassRepository.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.card.CardInvoiceRepository,2,2,9,1,0,2,22,8,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\card\CardInvoiceRepository.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.movement.FinancialPeriodRepository,6,2,8,15,0,6,25,14,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\movement\FinancialPeriodRepository.java,class,false
UNDEFINED,br.com.webbudget.infraestructure.mail.Postman,1,1,6,0,0,1,11,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\mail\Postman.java,class,false
ENTITY,br.com.webbudget.application.controller.financial.CardInvoiceBean,8,2,10,16,0,8,17,16,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\CardInvoiceBean.java,class,false
UNDEFINED,br.com.webbudget.application.producer.VelocityProducer,2,1,5,1,0,2,5,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\producer\VelocityProducer.java,class,false
UNDEFINED,br.com.webbudget.application.producer.BundleProducer,2,1,4,1,0,2,4,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\producer\BundleProducer.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.movement.ApportionmentRepository,4,2,8,6,0,4,13,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\movement\ApportionmentRepository.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.security.RoleTypeEntity,0,2,12,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\RoleTypeEntity.java,class,true
ENTITY,br.com.webbudget.domain.model.entity.movement.FinancialPeriod,7,2,15,9,0,7,8,15,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\movement\FinancialPeriod.java,class,true
ENTITY,br.com.webbudget.domain.model.entity.security.UserTypeEntity,1,2,13,0,0,1,2,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\UserTypeEntity.java,class,true
PERSISTENCE,br.com.webbudget.domain.model.repository.card.CardRepository,5,2,8,10,0,5,20,17,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\card\CardRepository.java,class,false
