DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
PERSISTENCE,br.com.webbudget.domain.repository.movement.PaymentRepository,0,2,4,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\PaymentRepository.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.movement.MovementClassRepository,4,2,7,6,0,4,11,10,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\MovementClassRepository.java,class,true
ENTITY,br.com.webbudget.application.controller.miscellany.PeriodDetailsDTO,5,1,4,4,0,5,5,5,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\miscellany\PeriodDetailsDTO.java,class,false
ENTITY,br.com.webbudget.domain.entity.closing.Closing,2,2,11,1,0,2,4,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\closing\Closing.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.movement.FinancialPeriodRepository,3,2,5,3,0,3,10,5,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\FinancialPeriodRepository.java,class,true
ENTITY,br.com.webbudget.application.controller.tools.PrivateMessageBean,11,2,13,31,0,11,24,27,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\tools\PrivateMessageBean.java,class,false
ENTITY,br.com.webbudget.application.components.MessagesFactory,2,1,3,0,0,2,6,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\components\MessagesFactory.java,class,false
ENTITY,br.com.webbudget.application.controller.financial.TransferenceBean,7,2,10,9,0,7,14,16,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\TransferenceBean.java,class,false
ENTITY,br.com.webbudget.domain.entity.PersistentEntity,4,1,11,6,8,4,1,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\PersistentEntity.java,class,false
ENTITY,br.com.webbudget.domain.entity.wallet.Wallet,3,2,14,3,0,3,2,5,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\wallet\Wallet.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.card.CardInvoiceRepository,1,2,6,0,0,1,8,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\card\CardInvoiceRepository.java,class,true
SERVICE,br.com.webbudget.domain.service.PrivateMessageService,10,1,9,0,0,10,14,13,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\PrivateMessageService.java,class,true
ENTITY,br.com.webbudget.domain.entity.movement.Movement,14,2,28,45,0,14,28,31,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\movement\Movement.java,class,true
ENTITY,br.com.webbudget.domain.entity.movement.MovementClass,1,2,16,0,0,1,0,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\movement\MovementClass.java,class,true
ENTITY,br.com.webbudget.domain.entity.wallet.WalletBalance,0,2,13,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\wallet\WalletBalance.java,class,true
ENTITY,br.com.webbudget.application.controller.miscellany.PeriodDetailBean,4,2,11,4,0,4,9,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\miscellany\PeriodDetailBean.java,class,false
ENTITY,br.com.webbudget.application.controller.financial.CardInvoiceBean,6,2,16,3,0,6,20,14,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\CardInvoiceBean.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.WalletBean,17,2,11,64,0,17,20,31,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\WalletBean.java,class,false
UNDEFINED,br.com.webbudget.infraestructure.Postman,7,1,19,15,0,7,32,10,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\Postman.java,class,false
ENTITY,br.com.webbudget.domain.entity.movement.FinancialPeriod,4,2,15,4,0,4,8,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\movement\FinancialPeriod.java,class,true
ENTITY,br.com.webbudget.domain.entity.movement.Payment,2,2,16,1,0,2,4,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\movement\Payment.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.user.UserPrivateMessageRepository,2,2,7,1,0,2,11,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\user\UserPrivateMessageRepository.java,class,true
SERVICE,br.com.webbudget.domain.service.CardService,10,1,17,0,0,10,46,21,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\CardService.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.movement.ClosingRepository,0,2,4,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\ClosingRepository.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.movement.CostCenterRepository,2,2,5,1,0,2,12,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\CostCenterRepository.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.wallet.WalletRepository,2,2,6,1,0,2,9,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\wallet\WalletRepository.java,class,true
ENTITY,br.com.webbudget.application.controller.AuthenticationBean,3,2,10,1,0,3,4,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\AuthenticationBean.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.CostCenterBean,11,2,9,25,0,11,16,21,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\CostCenterBean.java,class,false
ENTITY,br.com.webbudget.application.controller.miscellany.ClosingBean,8,2,11,16,0,8,18,20,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\miscellany\ClosingBean.java,class,false
ENTITY,br.com.webbudget.application.controller.tools.UserAccountBean,17,2,12,56,0,17,43,50,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\tools\UserAccountBean.java,class,false
ENTITY,br.com.webbudget.domain.entity.users.UserPrivateMessage,0,2,12,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\users\UserPrivateMessage.java,class,true
ENTITY,br.com.webbudget.domain.entity.users.User,6,2,16,3,0,6,0,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\users\User.java,class,true
SERVICE,br.com.webbudget.domain.service.AccountService,11,1,15,0,0,11,28,33,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\AccountService.java,class,true
SERVICE,br.com.webbudget.domain.service.FinancialPeriodService,7,1,11,0,0,7,24,15,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\FinancialPeriodService.java,class,true
ENTITY,br.com.webbudget.application.controller.financial.MovementBean,30,2,22,119,0,30,45,64,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\MovementBean.java,class,false
PERSISTENCE,br.com.webbudget.domain.repository.card.CardRepository,4,2,6,6,0,4,9,10,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\card\CardRepository.java,class,true
SERVICE,br.com.webbudget.domain.service.WalletService,12,1,10,0,0,12,31,21,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\WalletService.java,class,true
UNDEFINED,br.com.webbudget.infraestructure.Bootstrap,2,1,6,1,0,2,12,5,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\Bootstrap.java,class,false
ENTITY,br.com.webbudget.application.controller.miscellany.FinancialPeriodBean,9,2,10,26,0,9,13,17,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\miscellany\FinancialPeriodBean.java,class,false
UNDEFINED,br.com.webbudget.domain.components.MovementsCalculator,3,1,10,0,0,3,8,8,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\components\MovementsCalculator.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.MovementClassBean,12,2,11,36,0,12,18,22,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\MovementClassBean.java,class,false
ENTITY,br.com.webbudget.domain.entity.card.Card,2,2,14,0,0,2,4,5,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\card\Card.java,class,true
SERVICE,br.com.webbudget.domain.service.GraphModelService,7,1,19,19,0,7,36,29,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\GraphModelService.java,class,true
SERVICE,br.com.webbudget.domain.service.MovementService,22,1,21,101,0,22,68,59,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\service\MovementService.java,class,true
ENTITY,br.com.webbudget.domain.entity.users.PrivateMessage,3,2,13,3,0,3,6,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\users\PrivateMessage.java,class,true
ENTITY,br.com.webbudget.application.controller.entries.CardBean,12,2,12,36,0,12,17,21,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\CardBean.java,class,false
ENTITY,br.com.webbudget.domain.entity.users.Permission,1,2,12,0,0,1,0,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\users\Permission.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.user.PrivateMessageRepository,1,2,6,0,0,1,10,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\user\PrivateMessageRepository.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.movement.ApportionmentRepository,1,2,6,0,0,1,8,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\movement\ApportionmentRepository.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.user.UserRepository,3,2,5,3,0,3,9,7,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\user\UserRepository.java,class,true
UNDEFINED,br.com.webbudget.application.controller.PermissionsBean,1,1,4,0,0,1,0,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\PermissionsBean.java,class,false
ENTITY,br.com.webbudget.domain.entity.system.Configuration,0,2,11,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\entity\system\Configuration.java,class,true
PERSISTENCE,br.com.webbudget.domain.repository.GenericRepository,8,1,8,26,14,8,15,12,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\repository\GenericRepository.java,class,false
