DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,br.com.webbudget.domain.entities.PersistentEntityListener,3,1,4,3,0,3,12,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\PersistentEntityListener.java,class,false
ENTITY,br.com.webbudget.domain.entities.security.User,4,2,18,4,0,4,2,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\User.java,class,true
ENTITY,br.com.webbudget.application.controller.entries.MovementClassBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\entries\MovementClassBean.java,class,false
UNDEFINED,br.com.webbudget.domain.services.MovementService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\MovementService.java,class,false
ENTITY,br.com.webbudget.application.controller.tools.ConfigurationBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\tools\ConfigurationBean.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.utils.RandomCode,3,1,0,3,0,3,6,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\RandomCode.java,class,false
UNDEFINED,br.com.webbudget.domain.services.CardService,3,1,7,0,0,3,9,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\CardService.java,class,false
ENTITY,br.com.webbudget.domain.entities.security.Authorization,4,2,9,0,0,4,2,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\Authorization.java,class,true
ENTITY,br.com.webbudget.application.controller.tools.MessageSentBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\tools\MessageSentBean.java,class,false
ENTITY,br.com.webbudget.application.controller.UserSessionBean,6,1,9,15,0,6,10,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java,class,false
UNDEFINED,br.com.webbudget.domain.services.FinancialPeriodService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\FinancialPeriodService.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.utils.JsonUtils,3,1,3,3,0,3,2,3,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\JsonUtils.java,class,false
ENTITY,br.com.webbudget.application.controller.logbook.VehicleBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\logbook\VehicleBean.java,class,false
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,6,1,3,0,0,6,11,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.ContactBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\entries\ContactBean.java,class,false
ENTITY,br.com.webbudget.domain.entities.entries.MovementClass,3,2,16,0,0,3,5,8,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\MovementClass.java,class,true
UNDEFINED,br.com.webbudget.infrastructure.utils.Configurations,3,1,4,3,0,3,13,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\Configurations.java,class,false
UNDEFINED,br.com.webbudget.domain.services.WalletService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\WalletService.java,class,false
ENTITY,br.com.webbudget.domain.entities.entries.Wallet,4,2,14,4,0,4,3,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\Wallet.java,class,true
ENTITY,br.com.webbudget.domain.entities.tools.Configuration,2,2,13,1,0,2,0,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\tools\Configuration.java,class,true
UNDEFINED,br.com.webbudget.domain.services.MessagingService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\MessagingService.java,class,false
ENTITY,br.com.webbudget.domain.entities.miscellany.FinancialPeriod,10,2,14,23,0,10,10,19,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\miscellany\FinancialPeriod.java,class,true
ENTITY,br.com.webbudget.domain.entities.logbook.Refueling,14,2,19,29,0,14,29,21,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\logbook\Refueling.java,class,true
ENTITY,br.com.webbudget.domain.entities.security.Grant,1,2,12,0,0,1,0,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\Grant.java,class,true
ENTITY,br.com.webbudget.domain.entities.tools.UserMessage,0,2,5,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\tools\UserMessage.java,class,true
ENTITY,br.com.webbudget.domain.entities.financial.FixedMovement,9,2,20,2,0,9,26,29,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\FixedMovement.java,class,true
ENTITY,br.com.webbudget.domain.entities.entries.Telephone,0,2,15,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\Telephone.java,class,true
EXCEPTION,br.com.webbudget.infrastructure.jsf.exception.CustomExceptionHandler,7,2,9,15,0,7,31,17,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\exception\CustomExceptionHandler.java,class,false
ENTITY,br.com.webbudget.application.controller.AbstractBean,18,1,7,149,25,18,28,36,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\AbstractBean.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.CostCenterBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\entries\CostCenterBean.java,class,false
ENTITY,br.com.webbudget.application.controller.miscellany.ClosingBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\miscellany\ClosingBean.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.cdi.LoggerProducer,1,1,4,0,0,1,3,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\cdi\LoggerProducer.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.Movement,28,2,29,214,0,28,50,53,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\Movement.java,class,true
ENTITY,br.com.webbudget.application.controller.AppConfigBean,0,1,2,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\AppConfigBean.java,class,false
ENTITY,br.com.webbudget.domain.entities.PersistentEntity,3,1,10,3,7,3,2,3,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\PersistentEntity.java,class,false
UNDEFINED,br.com.webbudget.domain.misc.Builder,1,1,1,0,1,1,0,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\Builder.java,class,false
[HTTPSECURITYCONFIGURATION],br.com.webbudget.infrastructure.shiro.PathSecurityConfiguration,1,1,4,0,0,1,1,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\shiro\PathSecurityConfiguration.java,class,false
UNDEFINED,br.com.webbudget.application.components.chart.line.LineChartDatasetBuilder,11,1,4,0,0,11,9,11,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\chart\line\LineChartDatasetBuilder.java,class,false
[CONVERTER],br.com.webbudget.infrastructure.jsf.converters.LocalTimeConverter,2,1,4,1,0,2,3,3,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\converters\LocalTimeConverter.java,class,false
ENTITY,br.com.webbudget.application.controller.financial.FixedMovementBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\financial\FixedMovementBean.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.mail.Postman,1,1,6,0,0,1,11,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\mail\Postman.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.Apportionment,5,2,17,0,0,5,7,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\Apportionment.java,class,true
ENTITY,br.com.webbudget.domain.entities.entries.WalletBalance,7,2,13,21,0,7,6,9,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\WalletBalance.java,class,true
UNDEFINED,br.com.webbudget.application.channels.MessagesEndpoint,2,1,6,0,0,2,2,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\channels\MessagesEndpoint.java,class,false
UNDEFINED,br.com.webbudget.domain.services.ConfigurationService,2,1,5,0,0,2,2,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\ConfigurationService.java,class,false
UNDEFINED,br.com.webbudget.domain.services.LogbookService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\LogbookService.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.utils.MessageSource,1,1,2,0,0,1,8,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\MessageSource.java,class,false
[CONVERTER],br.com.webbudget.infrastructure.jsf.converters.LocalDateConverter,2,1,4,1,0,2,3,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\converters\LocalDateConverter.java,class,false
[MAILMESSAGE],br.com.webbudget.infrastructure.mail.AbstractMailMessage,9,1,4,24,0,9,2,9,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\mail\AbstractMailMessage.java,class,false
ENTITY,br.com.webbudget.application.controller.tools.GroupBean,17,2,15,86,0,17,43,40,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\tools\GroupBean.java,class,false
ENTITY,br.com.webbudget.application.controller.miscellany.PeriodDetailBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\miscellany\PeriodDetailBean.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.cdi.FacesContextProducer,2,1,5,1,0,2,1,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\cdi\FacesContextProducer.java,class,false
ENTITY,br.com.webbudget.domain.entities.miscellany.Closing,1,2,8,0,0,1,2,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\miscellany\Closing.java,class,true
ENTITY,br.com.webbudget.domain.entities.entries.CostCenter,2,2,17,0,0,2,2,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\CostCenter.java,class,true
ENTITY,br.com.webbudget.domain.entities.financial.Launch,3,2,14,3,0,3,4,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\Launch.java,class,true
[USERDETAILSPROVIDER],br.com.webbudget.domain.services.UserAccountService,15,1,13,33,0,15,17,15,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\UserAccountService.java,class,false
MODEL,br.com.webbudget.application.components.chart.donut.DonutChartModel,4,2,2,0,0,4,3,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\chart\donut\DonutChartModel.java,class,false
UNDEFINED,br.com.webbudget.domain.services.EmailService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\EmailService.java,class,false
ENTITY,br.com.webbudget.application.controller.MessagingBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\MessagingBean.java,class,false
ENTITY,br.com.webbudget.domain.entities.tools.Message,0,2,5,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\tools\Message.java,class,true
UNDEFINED,br.com.webbudget.domain.misc.MovementCalculator,10,1,1,0,0,10,11,10,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\MovementCalculator.java,class,false
[CONVERTER],br.com.webbudget.infrastructure.jsf.converters.RgbColorConverter,2,1,5,1,0,2,2,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\converters\RgbColorConverter.java,class,false
BUILDER,br.com.webbudget.domain.misc.ApportionmentBuilder,4,2,5,6,0,4,3,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\ApportionmentBuilder.java,class,false
ENTITY,br.com.webbudget.domain.entities.entries.Card,5,2,16,2,0,5,4,12,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\Card.java,class,true
UNDEFINED,br.com.webbudget.domain.services.ContactService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\ContactService.java,class,false
UNDEFINED,br.com.webbudget.application.components.Color,8,1,4,26,0,8,14,13,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\Color.java,class,false
ENTITY,br.com.webbudget.domain.entities.logbook.Fuel,4,2,13,0,0,4,1,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\logbook\Fuel.java,class,true
ENTITY,br.com.webbudget.application.controller.financial.InvoiceHistoricBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\financial\InvoiceHistoricBean.java,class,false
ENTITY,br.com.webbudget.application.controller.DashboardBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\DashboardBean.java,class,false
UNDEFINED,br.com.webbudget.domain.misc.MovementFilter,15,1,9,41,0,15,36,21,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\MovementFilter.java,class,false
UNDEFINED,br.com.webbudget.domain.services.ClosingService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\ClosingService.java,class,false
UNDEFINED,br.com.webbudget.application.components.table.LazyFilter,7,1,4,1,0,7,1,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\table\LazyFilter.java,class,false
ENTITY,br.com.webbudget.domain.entities.entries.CardInvoice,10,2,15,25,0,10,22,15,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\CardInvoice.java,class,true
ENTITY,br.com.webbudget.application.controller.financial.MovementBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\financial\MovementBean.java,class,false
ENTITY,br.com.webbudget.application.controller.tools.UserBean,12,2,12,36,0,12,16,20,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\tools\UserBean.java,class,false
CALENDARRENDERER,br.com.webbudget.infrastructure.jsf.primefaces.CustomCalendarRenderer,1,2,4,0,0,1,18,20,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\primefaces\CustomCalendarRenderer.java,class,false
MODEL,br.com.webbudget.application.components.chart.line.LineChartModel,5,2,2,2,0,5,7,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\chart\line\LineChartModel.java,class,false
