DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,br.com.webbudget.domain.entities.PersistentEntityListener,prePersist,6,2,2,1,0,1198,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\PersistentEntityListener.java
UNDEFINED,br.com.webbudget.domain.entities.PersistentEntityListener,preUpdate,6,2,2,1,0,1572,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\PersistentEntityListener.java
UNDEFINED,br.com.webbudget.domain.entities.PersistentEntityListener,getLoggedUser,3,1,2,0,0,1946,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\PersistentEntityListener.java
ENTITY,br.com.webbudget.domain.entities.security.User,getGroupName,3,2,2,0,0,2422,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\User.java
ENTITY,br.com.webbudget.domain.entities.security.User,filterProperties,3,1,1,0,0,2056,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\User.java
ENTITY,br.com.webbudget.domain.entities.security.User,isLdapBindAccount,3,1,1,0,0,1932,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\User.java
ENTITY,br.com.webbudget.domain.entities.security.User,getPermissions,3,2,3,0,0,2250,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\User.java
UNDEFINED,br.com.webbudget.infrastructure.utils.RandomCode,generate,13,2,5,2,0,1814,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\RandomCode.java
UNDEFINED,br.com.webbudget.infrastructure.utils.RandomCode,alphanumeric,3,1,3,1,0,1486,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\RandomCode.java
UNDEFINED,br.com.webbudget.infrastructure.utils.RandomCode,numeric,3,1,3,1,0,1178,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\RandomCode.java
UNDEFINED,br.com.webbudget.domain.services.CardService,save,8,2,4,1,0,1710,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\CardService.java
UNDEFINED,br.com.webbudget.domain.services.CardService,update,8,3,4,1,0,2156,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\CardService.java
UNDEFINED,br.com.webbudget.domain.services.CardService,delete,3,1,2,1,0,2655,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\CardService.java
ENTITY,br.com.webbudget.domain.entities.security.Authorization,isPermission,3,1,3,1,0,1470,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\Authorization.java
ENTITY,br.com.webbudget.domain.entities.security.Authorization,isFunctionality,3,1,3,1,0,1254,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\Authorization.java
ENTITY,br.com.webbudget.domain.entities.security.Authorization,getFullPermission,3,1,2,0,0,1079,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\security\Authorization.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,getSubject,3,1,2,0,0,2609,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,hasRole,3,1,2,1,0,2152,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,isValid,4,1,2,0,0,1943,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,initialize,4,1,3,0,0,1476,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,isPermitted,3,1,2,1,0,2312,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
ENTITY,br.com.webbudget.application.controller.UserSessionBean,getMenuStyle,3,1,1,0,0,2494,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\UserSessionBean.java
UNDEFINED,br.com.webbudget.infrastructure.utils.JsonUtils,serialize,3,1,3,1,0,1072,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\JsonUtils.java
UNDEFINED,br.com.webbudget.infrastructure.utils.JsonUtils,deserialize,3,1,4,2,0,1345,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\JsonUtils.java
UNDEFINED,br.com.webbudget.infrastructure.utils.JsonUtils,deserialize,3,1,4,2,0,1639,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\JsonUtils.java
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,getInvoicesTotal,3,1,2,0,0,1489,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,getLowerTotal,3,1,2,0,0,1752,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,getLastTotal,3,1,2,0,0,2466,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,getOrderedByInclusion,3,1,3,0,0,2829,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java
UNDEFINED,br.com.webbudget.domain.misc.InvoiceCalculator,getHigherTotal,3,1,2,0,0,2109,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\misc\InvoiceCalculator.java
ENTITY,br.com.webbudget.domain.entities.entries.MovementClass,isOverBudget,3,1,2,0,0,2603,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\entries\MovementClass.java
