DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,7,3,7,19,0,7,12,10,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java,class,false,106
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,16,1,13,88,0,16,3,31,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java,class,true,179
VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.ExportModalWindowPage,2,2,15,2,0,2,19,13,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\dialog\ExportModalWindowPage.java,class,false,172
ABSTRACTCOLUMN,de.tudarmstadt.ukp.clarin.webanno.webapp.support.DynamicColumnMetaData,2,2,9,1,0,2,5,3,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\support\DynamicColumnMetaData.java,class,false,66
ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.CrowdClient,12,1,11,0,0,12,34,25,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.crowdflower\src\main\java\de\tudarmstadt\ukp\clarin\webanno\crowdflower\CrowdClient.java,class,false,349
PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.component.AnnotationLayersModalPanel,4,2,6,0,0,4,17,12,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\page\annotation\component\AnnotationLayersModalPanel.java,class,false,136
TEST,de.tudarmstadt.ukp.clarin.webanno.brat.ajax.controller.CasToBratJsonTest,2,2,20,1,0,2,57,6,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\test\java\de\tudarmstadt\ukp\clarin\webanno\brat\ajax\controller\CasToBratJsonTest.java,class,false,267
MODEL,de.tudarmstadt.ukp.clarin.webanno.model.ModeType,1,2,2,0,0,1,0,1,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\ModeType.java,class,false,32
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,15,1,33,63,0,15,122,85,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\util\BratCuratorUtility.java,class,false,593
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationViewForSourceDocument,15,1,1,89,0,15,1,15,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\curation\component\model\CurationViewForSourceDocument.java,class,false,121
VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.login.LoginPage,1,3,4,0,0,1,12,3,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\page\login\LoginPage.java,class,false,63
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Offsets,7,1,8,0,0,7,4,15,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\display\model\Offsets.java,class,false,117
AJAXRESPONSE,de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,21,2,3,178,0,21,1,21,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\message\GetCollectionInformationResponse.java,class,false,179
TEST,de.tudarmstadt.ukp.clarin.webanno.tsv.ConllReaderWriterTest,1,1,3,0,0,1,7,1,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.tsv\src\test\java\de\tudarmstadt\ukp\clarin\webanno\tsv\ConllReaderWriterTest.java,class,false,59
VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.crowdsource.CrowdSourcePage,14,4,46,0,0,14,110,162,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\page\crowdsource\CrowdSourcePage.java,class,false,1369
TEST,de.tudarmstadt.ukp.clarin.webanno.brat.dao.DaoUtilsTest,1,1,2,0,0,1,17,8,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\test\java\de\tudarmstadt\ukp\clarin\webanno\brat\dao\DaoUtilsTest.java,class,false,90
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,16,2,38,154,0,16,97,79,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratAnnotator.java,class,false,588
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxCasUtil,23,1,14,253,0,23,31,92,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\controller\BratAjaxCasUtil.java,class,false,529
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.util.correctDependencyParser,1,1,5,0,0,1,14,3,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\test\java\de\tudarmstadt\ukp\clarin\webanno\util\correctDependencyParser.java,class,false,84
AJAXRESPONSE,de.tudarmstadt.ukp.clarin.webanno.brat.message.ImportDocumentResponse,3,2,1,1,0,3,0,3,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\message\ImportDocumentResponse.java,class,false,44
SERVICE,de.tudarmstadt.ukp.clarin.webanno.webapp.security.AnyUserDetailsService,1,1,7,0,0,1,6,2,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.webapp\src\main\java\de\tudarmstadt\ukp\clarin\webanno\webapp\security\AnyUserDetailsService.java,class,false,63
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.AnnotationTypeConstant,0,1,0,0,0,0,0,0,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\controller\AnnotationTypeConstant.java,class,false,56
