DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,onModelChanged,4,1,0,0,0,2303,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,setModel,3,1,1,1,0,1863,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,getDocumentData,16,3,7,0,0,2397,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,getModelObject,3,1,1,0,0,2195,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,setModelObject,3,1,1,1,0,1955,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratModelVisualizer,getModel,3,1,1,0,0,2051,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\annotation\BratModelVisualizer.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getFormat,3,1,1,0,0,2678,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,hashCode,7,2,2,0,0,3359,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getName,3,1,1,0,0,2388,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,equals,24,8,4,1,0,3623,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getId,3,1,1,0,0,2269,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getState,3,1,1,0,0,2825,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setId,3,1,1,1,0,2325,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getProject,3,1,1,0,0,2523,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getTimestamp,3,1,1,0,0,2992,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setProject,3,1,1,1,0,2592,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setState,3,1,1,1,0,2902,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setSentenceAccessed,3,1,2,1,0,3239,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setFormat,3,1,1,1,0,2744,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getSentenceAccessed,3,1,1,0,0,3156,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,setTimestamp,3,1,2,1,0,3062,D:\Projetos\_Web\webanno\de.tudarmstadt.ukp.clarin.webanno.model\src\main\java\de\tudarmstadt\ukp\clarin\webanno\model\SourceDocument.java
