DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
TEST,won.cryptography.rdfsign.ModelConverterTest,2,1,10,0,0,2,28,7,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java,class,false,134
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,9,1,6,0,0,9,23,35,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java,class,false,166
UNDEFINED,won.protocol.vocabulary.WXBUDDY,0,1,2,0,0,0,2,0,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\vocabulary\WXBUDDY.java,class,false,15
SERVICE,won.protocol.jms.MatcherActiveMQServiceImpl,2,2,8,0,0,2,6,6,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\jms\MatcherActiveMQServiceImpl.java,class,false,69
ABSTRACTCOMPOSITEATOMPRODUCER,won.bot.framework.component.atomproducer.impl.SimpleCompositeAtomProducer,1,2,3,0,0,1,4,3,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\component\atomproducer\impl\SimpleCompositeAtomProducer.java,class,false,25
UNDEFINED,won.bot.BotTests,0,1,0,0,0,0,0,0,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\test\java\won\bot\BotTests.java,class,false,147
ENTITY,won.owner.pojo.TextMessagePojo,2,1,0,0,0,2,0,2,D:\Projetos\_Web\webofneeds\webofneeds\won-owner-webapp\src\main\java\won\owner\pojo\TextMessagePojo.java,class,false,16
JMSCONFIGURATION,won.protocol.jms.WonJmsConfiguration,4,2,3,6,0,4,12,4,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\jms\WonJmsConfiguration.java,class,false,41
BASEEVENT,won.bot.framework.eventbot.event.impl.command.close.CloseCommandFailureEvent,5,4,5,10,0,5,0,5,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\event\impl\command\close\CloseCommandFailureEvent.java,class,false,48
BASEEVENT,won.bot.framework.eventbot.behaviour.BotBehaviourFailedEvent,3,3,2,0,0,3,0,3,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\behaviour\BotBehaviourFailedEvent.java,class,false,24
CONTROLLER,won.owner.web.rest.BridgeForLinkedDataController,11,1,26,74,0,11,63,38,D:\Projetos\_Web\webofneeds\webofneeds\won-owner-webapp\src\main\java\won\owner\web\rest\BridgeForLinkedDataController.java,class,true,287
EXCEPTION,won.protocol.message.processor.exception.MessageAlreadyProcessedException,4,3,1,6,0,4,0,4,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\message\processor\exception\MessageAlreadyProcessedException.java,class,false,23
