DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
TEST,won.cryptography.rdfsign.ModelConverterTest,2,1,9,0,0,2,28,7,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java,class,false,151
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,5,1,20,0,0,5,17,17,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java,class,false,127
UNDEFINED,won.protocol.util.PropertiesUtil,2,1,1,1,0,2,12,2,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\util\PropertiesUtil.java,class,false,54
UNDEFINED,won.node.facet.impl.FacetRegistry,5,1,5,4,0,5,6,5,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\facet\impl\FacetRegistry.java,class,false,46
ACTION,won.bot.framework.events.action.impl.IndexNeedAction,5,2,13,6,0,5,20,10,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\events\action\impl\IndexNeedAction.java,class,false,114
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,8,1,7,28,0,8,20,27,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java,class,false,139
BASEBOT,won.bot.impl.BAAtomicCCCompletingExitingBot,4,7,3,6,0,4,1,4,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\impl\BAAtomicCCCompletingExitingBot.java,class,false,74
SERVICE,won.protocol.jms.MatcherActiveMQServiceImpl,2,2,12,0,0,2,12,6,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\jms\MatcherActiveMQServiceImpl.java,class,false,93
TEST,won.bot.framework.events.listener.baStateBots.baCCMessagingBots.coordinationMessageAsTextBots.BACCStateCompensateBot,1,2,2,0,0,1,3,1,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\events\listener\baStateBots\baCCMessagingBots\coordinationMessageAsTextBots\BACCStateCompensateBot.java,class,false,33
EXCEPTION,won.protocol.ws.fault.IllegalNeedContentFault,4,3,3,6,0,4,2,4,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\ws\fault\IllegalNeedContentFault.java,class,false,51
