DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,won.cryptography.rdfsign.ModelConverterTest,namedGraphToModelTest,29,5,16,0,0,3283,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java
TEST,won.cryptography.rdfsign.ModelConverterTest,modelToGraphCollectionTest,24,2,16,0,0,918,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,close,15,4,10,3,0,4024,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,sendMessage,16,4,11,3,0,4902,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,setClientFactory,3,1,2,1,0,5838,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,open,15,4,10,3,0,3068,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java
[NEEDPROTOCOLNEEDCLIENTSIDE],won.node.ws.NeedProtocolNeedClientImplWSBased,connect,18,4,14,5,0,1817,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\ws\NeedProtocolNeedClientImplWSBased.java
UNDEFINED,won.protocol.util.PropertiesUtil,updateProperty,12,1,7,3,0,337,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\util\PropertiesUtil.java
UNDEFINED,won.protocol.util.PropertiesUtil,readProperty,8,1,3,2,0,1138,D:\Projetos\_Web\webofneeds\webofneeds\won-core\src\main\java\won\protocol\util\PropertiesUtil.java
UNDEFINED,won.node.facet.impl.FacetRegistry,setMap,3,1,2,1,0,1112,D:\Projetos\_Web\webofneeds\webofneeds\won-node\src\main\java\won\node\facet\impl\FacetRegistry.java
