DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,won.cryptography.rdfsign.ModelConverterTest,namedGraphToModelTest,29,5,16,0,0,3564,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java
TEST,won.cryptography.rdfsign.ModelConverterTest,modelToGraphCollectionTest,24,2,16,0,0,954,D:\Projetos\_Web\webofneeds\webofneeds\won-cryptography\src\test\java\won\cryptography\rdfsign\ModelConverterTest.java
ACTION,won.bot.framework.eventbot.action.impl.hokify.send.Message2HokifyAction,doRun,18,5,12,2,0,1192,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\send\Message2HokifyAction.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,onAtomActivated,14,1,0,2,0,4884,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,getBotForAtomUri,8,3,4,1,0,1615,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,run,12,3,1,0,0,2873,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,run,12,3,1,0,0,3595,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,run,9,2,1,0,0,4336,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,run,9,2,1,0,0,5029,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,run,9,2,1,0,0,5727,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,onAtomModified,14,1,0,2,0,4192,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,onAtomDeactivated,14,1,0,2,0,5580,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,onNewAtom,17,1,0,3,0,3433,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,getBotsForNodeUri,12,4,5,1,0,2102,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,setBotManager,3,1,4,1,0,1400,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,setTaskScheduler,3,1,2,1,0,1500,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
SERVICE,won.bot.integration.BotMatcherProtocolMatcherServiceCallback,onRegistered,17,1,0,1,0,2750,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\integration\BotMatcherProtocolMatcherServiceCallback.java
ACTION,won.bot.framework.eventbot.action.impl.debugbot.CreateDebugAtomWithSocketsAction,setIsInitialForConnect,3,1,2,1,0,9344,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\debugbot\CreateDebugAtomWithSocketsAction.java
ACTION,won.bot.framework.eventbot.action.impl.debugbot.CreateDebugAtomWithSocketsAction,setIsInitialForHint,3,1,2,1,0,9217,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\debugbot\CreateDebugAtomWithSocketsAction.java
ACTION,won.bot.framework.eventbot.action.impl.debugbot.CreateDebugAtomWithSocketsAction,doRun,104,11,0,2,0,2851,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\debugbot\CreateDebugAtomWithSocketsAction.java
ACTION,won.bot.framework.eventbot.action.impl.debugbot.CreateDebugAtomWithSocketsAction,onEvent,20,6,21,1,0,6507,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\debugbot\CreateDebugAtomWithSocketsAction.java
ACTION,won.bot.framework.eventbot.action.impl.debugbot.CreateDebugAtomWithSocketsAction,onEvent,6,1,2,1,0,8161,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\debugbot\CreateDebugAtomWithSocketsAction.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setReferencenumber,3,1,2,1,0,3134,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getTitle,3,1,1,0,0,2788,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getImage,3,1,1,0,0,3250,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setField,3,1,2,1,0,4456,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setSaved,3,1,2,1,0,6320,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getExternal,3,1,1,0,0,7902,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setApplied,3,1,2,1,0,6478,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getAppliedLast30Days,3,1,1,0,0,6571,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getField,3,1,1,0,0,4398,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setDescription,3,1,2,1,0,4008,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getSmslink,3,1,1,0,0,6797,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,toString,3,1,1,0,0,7400,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,setTitle,3,1,2,1,0,2848,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getApp,3,1,1,0,0,7736,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,toString,3,1,2,0,0,5617,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getDate,3,1,1,0,0,2924,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
UNDEFINED,won.bot.framework.eventbot.action.impl.hokify.HokifyJob,getUrl,3,1,1,0,0,3386,D:\Projetos\_Web\webofneeds\webofneeds\won-bot\src\main\java\won\bot\framework\eventbot\action\impl\hokify\HokifyJob.java
