DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,edu.stanford.bmir.protege.web.server.session.WebProtegeSessionAttribute,hashCode,3,1,2,0,0,777,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\session\WebProtegeSessionAttribute.java
UNDEFINED,edu.stanford.bmir.protege.web.server.session.WebProtegeSessionAttribute,getAttributeName,3,1,1,0,0,701,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\session\WebProtegeSessionAttribute.java
UNDEFINED,edu.stanford.bmir.protege.web.server.session.WebProtegeSessionAttribute,equals,10,3,4,1,0,874,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\session\WebProtegeSessionAttribute.java
UNDEFINED,edu.stanford.bmir.protege.web.server.session.WebProtegeSessionAttribute,toString,3,1,2,0,0,1233,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\session\WebProtegeSessionAttribute.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldHaveSameHashCodeAsOther,3,1,1,0,0,2024,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldReturnSuppliedChapResponse,3,1,1,0,0,2544,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldThrowNullPointerExceptionIf_ChapSessionId_IsNull,3,1,1,0,0,1312,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldNotBeEqualToNull,3,1,0,0,0,1800,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldBeEqualToOther,3,1,0,0,0,1912,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldReturnSuppliedUserId,3,1,1,0,0,2428,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,setUp,4,1,1,0,0,898,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldThrowNullPointerExceptionIf_UserId_IsNull,3,1,1,0,0,1121,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldGenerateToString,3,1,1,0,0,2158,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,shouldReturnSuppliedChapSessionId,3,1,1,0,0,2291,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java
