DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ACTION,edu.stanford.bmir.protege.web.shared.frame.UpdateDataPropertyFrameAction,2,3,6,1,0,2,0,2,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\frame\UpdateDataPropertyFrameAction.java,class,false,23
DIALOG,edu.stanford.bmir.protege.web.client.ui.library.dlg.NullWebProtegeDialogTextFieldValidator,4,1,5,6,0,4,1,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\dlg\NullWebProtegeDialogTextFieldValidator.java,class,false,33
ACTION,edu.stanford.bmir.protege.web.shared.app.GetClientApplicationPropertiesAction,1,1,2,0,0,1,0,1,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\app\GetClientApplicationPropertiesAction.java,class,false,15
ENTITY,edu.stanford.bmir.protege.web.shared.obo.OBORelationship,5,1,4,0,0,5,3,7,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBORelationship.java,class,false,45
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,31,2,39,590,0,31,58,47,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java,class,false,352
[SHOWSHARESETTINGSHANDLER],edu.stanford.bmir.protege.web.client.actionbar.project.ShareSettingsHandlerImpl,1,1,4,3,0,1,7,5,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\actionbar\project\ShareSettingsHandlerImpl.java,class,false,39
UNDEFINED,edu.stanford.bmir.protege.web.client.rpc.bioportal.BioportalProposalsManager,9,1,7,0,0,9,9,11,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\rpc\bioportal\BioportalProposalsManager.java,class,false,58
ENTITY,edu.stanford.bmir.protege.web.shared.entity.OWLLiteralData,12,3,11,66,0,12,11,16,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\entity\OWLLiteralData.java,class,false,88
EXCEPTION,edu.stanford.bmir.protege.web.shared.project.ProjectAlreadyRegisteredException,2,4,2,1,0,2,0,2,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\project\ProjectAlreadyRegisteredException.java,class,false,25
[CONVERTER],edu.stanford.bmir.protege.web.server.persistence.EmailAddressWriteConverter,1,1,4,0,0,1,1,1,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\persistence\EmailAddressWriteConverter.java,class,false,19
ABSTRACTSECTIONRENDERER,edu.stanford.bmir.protege.web.server.render.ObjectPropertySubPropertyChainSectionRenderer,4,3,6,6,0,4,6,7,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\render\ObjectPropertySubPropertyChainSectionRenderer.java,class,false,43
ENTITY,edu.stanford.bmir.protege.web.client.ui.frame.LabelledFrame,7,1,5,0,2,7,5,11,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\frame\LabelledFrame.java,class,false,63
UNDEFINED,edu.stanford.bmir.protege.web.server.dispatch.RequestContext,4,1,3,0,0,4,4,8,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\dispatch\RequestContext.java,class,false,55
[HASRESULT],edu.stanford.bmir.protege.web.server.change.OntologyChangeList,13,1,9,34,0,13,7,14,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\change\OntologyChangeList.java,class,false,119
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectfeed.NotePostedEventPanel,3,2,17,1,0,3,23,7,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectfeed\NotePostedEventPanel.java,class,false,77
FLOWPANEL,edu.stanford.bmir.protege.web.client.ui.ontology.entity.CreateEntityEditor,4,2,11,4,0,4,5,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\ontology\entity\CreateEntityEditor.java,class,false,45
PLACE,edu.stanford.bmir.protege.web.client.place.ProjectListPlace,7,2,10,0,0,7,18,13,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\place\ProjectListPlace.java,class,false,86
ENTITY,edu.stanford.bmir.protege.web.shared.entity.EntityLookupRequest,12,1,5,0,0,12,13,18,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\entity\EntityLookupRequest.java,class,false,140
EVENT,edu.stanford.bmir.protege.web.shared.hierarchy.ClassHierarchyParentRemovedEvent,4,6,8,6,0,4,1,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\hierarchy\ClassHierarchyParentRemovedEvent.java,class,false,32
TEST,edu.stanford.bmir.protege.web.server.pagination.PagerTestCase,9,1,3,36,0,9,12,9,D:\Projetos\_Web\webprotege\src\test\java\edu\stanford\bmir\protege\web\server\pagination\PagerTestCase.java,class,false,90
