DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
DIALOG,edu.stanford.bmir.protege.web.client.ui.library.dlg.NullWebProtegeDialogTextFieldValidator,shouldCheckOnValueChange,3,1,1,0,0,810,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\dlg\NullWebProtegeDialogTextFieldValidator.java
DIALOG,edu.stanford.bmir.protege.web.client.ui.library.dlg.NullWebProtegeDialogTextFieldValidator,shouldCheckOnKeyUp,3,1,1,0,0,725,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\dlg\NullWebProtegeDialogTextFieldValidator.java
DIALOG,edu.stanford.bmir.protege.web.client.ui.library.dlg.NullWebProtegeDialogTextFieldValidator,get,3,1,1,0,0,492,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\dlg\NullWebProtegeDialogTextFieldValidator.java
DIALOG,edu.stanford.bmir.protege.web.client.ui.library.dlg.NullWebProtegeDialogTextFieldValidator,getValidation,3,1,2,1,0,589,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\dlg\NullWebProtegeDialogTextFieldValidator.java
ENTITY,edu.stanford.bmir.protege.web.shared.obo.OBORelationship,compareTo,7,2,4,1,0,863,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBORelationship.java
ENTITY,edu.stanford.bmir.protege.web.shared.obo.OBORelationship,getRelation,3,1,1,0,0,715,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBORelationship.java
ENTITY,edu.stanford.bmir.protege.web.shared.obo.OBORelationship,getValue,3,1,1,0,0,796,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBORelationship.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,render,3,1,3,3,0,11376,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,onBrowserEvent,4,1,5,4,0,9618,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,render,6,1,4,3,0,8892,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,getKey,3,1,3,1,0,3554,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,handleMoveProjectToTrash,3,1,3,1,0,3064,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,onBrowserEvent,4,1,5,4,0,11071,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,onSelectionChange,3,1,4,1,0,6276,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,render,6,3,4,3,0,12756,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,getValue,3,1,2,1,0,8741,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.projectlist.ProjectListViewUIImpl,getValue,3,1,2,1,0,10782,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\projectlist\ProjectListViewUIImpl.java
