Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
56dde7c9b8b2756d545988b36a03f8a8f1834ca5,Change Variable Type,CHANGE_VARIABLE_TYPE,progress : ProgressDialog,progress : android.app.ProgressDialog,[com.zegoggles.smssync.activity.Dialogs.AccessTokenProgress],[com.zegoggles.smssync.activity.Dialogs.AccessTokenProgress]
b9c12b63eba96db7d309abd90a9befbb1ce3696a,Move Method,MOVE_OPERATION,private isSmsBackupDefaultSmsApp() : boolean,public isSmsBackupDefaultSmsApp(context Context) : boolean,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.compat.SmsReceiver]
70c9e6844522ae7e566f94486e0c46e0e0bce77d,Change Return Type,CHANGE_RETURN_TYPE,CharSequence,int,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Variable,RENAME_VARIABLE,mSyncDetails : View,syncDetails : View,[com.zegoggles.smssync.activity.StatusPreference],[com.zegoggles.smssync.activity.StatusPreference]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mResolver : ContentResolver,resolver : ContentResolver,[com.zegoggles.smssync.mail.Attachment.ResolverBody],[com.zegoggles.smssync.mail.Attachment.ResolverBody]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mUri : Uri,uri : Uri,[com.zegoggles.smssync.mail.Attachment.ResolverBody],[com.zegoggles.smssync.mail.Attachment.ResolverBody]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mResources : Resources,resources : Resources,[com.zegoggles.smssync.mail.CallFormatter],[com.zegoggles.smssync.mail.CallFormatter]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mContext : Context,context : Context,[com.zegoggles.smssync.mail.MessageConverter],[com.zegoggles.smssync.mail.MessageConverter]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mMarkAsReadType : MarkAsReadTypes,markAsReadType : MarkAsReadTypes,[com.zegoggles.smssync.mail.MessageConverter],[com.zegoggles.smssync.mail.MessageConverter]
717b2f1d01543839cad90efc35e1ffb45c082329,Rename Attribute,RENAME_ATTRIBUTE,mPersonLookup : PersonLookup,personLookup : PersonLookup,[com.zegoggles.smssync.mail.MessageConverter],[com.zegoggles.smssync.mail.MessageConverter]
