Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.weasis.dicom.codec.utils.DicomMediaUtils,buildSeriesReferences,null,10,3,6,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.JMVUtils,getBigIconButtonSize,null,12,4,3,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.area.EllipseGraphic,(static_block),null,0,1,0,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.DicomCodec,deactivate,null,5,1,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.util.CIELab,f,null,8,2,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.ScreenPrefView,paintComponent,null,5,2,1,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.AbstractKOSpecialElement,initLabel,null,9,2,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.explorer.gui.central.meta.panel.imp.AcquireSerieMetaPanel,getDisplayText,null,3,2,3,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.op.FormatBinaryDescriptor,validateSources,null,4,1,4,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.DefaultView2d,getSourceImage,null,4,2,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.launcher.LookAndFeels,setUIFont,null,9,3,4,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.dockable.components.actions.rectify.RectifyAction,cancel,null,5,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.ImageSectionIcon,getIconWidth,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.DefaultView2d,getEventManager,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.geometry.LocalizerPoster,validateDirectionCosines,null,11,4,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.layer.imp.RenderedImageLayer,addEventListener,null,5,3,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.JSliderW,isShowLabels,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.EventManager,actionPerformed,null,3,1,0,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.SimpleOpManager,copy,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.internal.Activator,registerSeriesViewerFactory,null,6,3,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.dockable.components.actions.annotate.comp.AnnotationOptionsPanel,createUnitPanel,null,12,2,6,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.ui.gui.WeasisWin,fillMenu,null,3,1,4,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.DropDownButton,getPopupMenu,null,0,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.AbstractItemDialogPage,selectPageAction,null,2,1,0,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.dockable.components.actions.AbstractAcquireAction,newCentralPanel,null,0,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.MimeSystemAppFactory,getLevel,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.macro.Code,setMappingResource,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.line.PolylineGraphic,buildShape,null,18,4,6,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.launcher.AutoProcessor,getLocation,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.openjpeg.cpp.openjpeg,data,null,0,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.ComboItemListener,createUnregisteredRadioMenu,null,9,2,4,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.op.ImageStatisticsDescriptor,validateSources,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.Monitor,getBounds,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.util.WtoolBar,installMouseHandler,null,3,1,1,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.AutoLevelsOp,copy,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.DicomMediaIO,replaceURI,null,6,2,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.explorer.gui.central.ImageGroupPane,getToolBar,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.MouseActions,setWheel,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.DefaultView2d,resetZoom,null,6,2,3,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.util.MouseEventDouble,getImageCoordinates,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.media.data.Thumbnail,getIconWidth,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.explorer.AcquireImageValues,setRatio,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.PRManager,deleteDicomLayers,null,7,3,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.media.data.Series,createConstant,null,9,2,5,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.DefaultMimeAppFactory,canReadMimeType,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.SynchView,toString,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.media.data.FileCache,isRequireTransformation,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.DicomImageElement,getModalityLookup,null,3,1,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.DropDownButton,popupMenuWillBecomeVisible,null,4,1,1,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.viewer2d.InfoLayer,findGeometricSuite,null,8,2,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.explorer.JIThumbnailCache,getModelList,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.image.jni.FileStreamSegment,getFileID,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.line.PolylineGraphicTest,getXmlFilePathCase1,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.image.jni.ImageParameters,setBytesPerLine,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.MimeSystemAppFactory,getPluginName,null,3,1,5,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.ViewButton,hashCode,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.GeneralSetting,getClassName,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.DicomExplorer,updateText,null,4,2,3,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.DicomExplorer,getDescription,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.area.RectangleGraphic,getUIName,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.pref.node.DefaultDicomNode,buildDicomNodeEx,null,5,1,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.AppProperties,buildAccessibleTempDirectory,null,18,4,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.MouseActionAdapter,isInverse,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
