Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,JCOMPONENT,org.weasis.dicom.viewer2d.View2d,componentResized,26,8,4,0,Metodo Longo
" A, V, X ",IMAGEWRITERSPI,org.weasis.openjpeg.NativeJ2kImageWriterSpi,canEncodeImage,34,10,6,1,Muitos Desvios
" A, R, D, V, X ",IMAGEWRITER,org.weasis.image.jni.NativeImageWriter,getSourceRegion,16,3,3,5,Muitos Parametros
" A, V ",JPANEL,org.weasis.dicom.explorer.DicomDirImport,actionPerformed,3,1,12,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.dicom.codec.geometry.LocalizerPoster,getCornersOfSourceCubeInSourceSpace,34,1,6,6,Metodo Longo
 V ,DIALOG,org.weasis.dicom.explorer.DicomImport,initializePages,26,6,15,0,Metodo Longo
" A, R, V, X ",JCOMPONENT,org.weasis.base.viewer2d.View2d,buildGraphicContextMenu,113,19,24,2,Alto Acoplamento Efferent
 V ,JPANEL,org.weasis.dicom.au.AuView,playSound,25,6,9,2,Metodo Longo
" A, V, X ",JLIST,org.weasis.base.explorer.list.AThumbnailList,openSelection,62,21,19,4,Metodo Longo
" A, D, V ",TEST,org.weasis.core.ui.model.imp.suite.SerializationSuite,test_with_mulitiple_graphics_and_multiple_layers,48,1,16,0,Metodo Longo
 V ,ACTION,org.weasis.acquire.explorer.gui.model.actions.ChangePathSelectionAction,actionPerformed,14,5,6,1,Muitos Desvios
 V ,JCOMPONENT,org.weasis.core.ui.editor.image.DefaultView2d,getChannelNames,16,5,4,1,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,addNewSubGraphic,9,3,3,3,Muitos Parametros
 V ,MODEL,org.weasis.core.ui.model.graphic.imp.area.RectangleGraphic,getVerticalMirror,18,7,1,0,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.explorer.DicomDirLoader,toFileName,18,6,5,2,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.au.AuView,saveAudioFile,31,8,9,1,Muitos Desvios
 V ,VIEW,org.weasis.core.ui.editor.image.ImageViewerEventManager,updateAllListeners,38,12,11,2,Alto Acoplamento Efferent
 V ,JLABEL,org.weasis.core.api.media.data.Thumbnail,setIcon,34,1,0,5,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.explorer.print.DicomPrint,initialize,32,5,8,1,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.image.op.MaxCollectionZprojection,computeRectByte,39,8,10,3,Muitos Parametros
 V ,UNDEFINED,org.weasis.core.api.service.BundlePreferences,putBooleanPreferences,12,6,4,3,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.explorer.DicomExplorer,isSeriesVisible,12,5,5,1,Muitos Desvios
 V ,JCOMPONENT,org.weasis.dicom.viewer2d.View2d,addCrosshairLine,23,5,9,4,Metodo Longo
