Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
39b862dc77a244c1f4208cc28c1b5363212fa5fb,Merge Parameter,MERGE_PARAMETER,urlName : String,data : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerun],[com.cognifide.aet.executor.SuiteRerun]
39b862dc77a244c1f4208cc28c1b5363212fa5fb,Rename Parameter,RENAME_PARAMETER,resultWrapper : HttpSuiteExecutionResultWrapper,objectToRunWrapper : Run,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
39b862dc77a244c1f4208cc28c1b5363212fa5fb,Change Parameter Type,CHANGE_PARAMETER_TYPE,resultWrapper : HttpSuiteExecutionResultWrapper,objectToRunWrapper : Run,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
39b862dc77a244c1f4208cc28c1b5363212fa5fb,Change Variable Type,CHANGE_VARIABLE_TYPE,suiteName : String,rerunDataWrapper : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
39b862dc77a244c1f4208cc28c1b5363212fa5fb,Rename Variable,RENAME_VARIABLE,suiteName : String,rerunDataWrapper : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
8a046d8685e6b8ca40805f844d81fd8a6e8221f6,Merge Parameter,MERGE_PARAMETER,urlName : String,data : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerun],[com.cognifide.aet.executor.SuiteRerun]
8a046d8685e6b8ca40805f844d81fd8a6e8221f6,Rename Parameter,RENAME_PARAMETER,resultWrapper : HttpSuiteExecutionResultWrapper,objectToRunWrapper : Run,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
8a046d8685e6b8ca40805f844d81fd8a6e8221f6,Change Parameter Type,CHANGE_PARAMETER_TYPE,resultWrapper : HttpSuiteExecutionResultWrapper,objectToRunWrapper : Run,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
8a046d8685e6b8ca40805f844d81fd8a6e8221f6,Change Variable Type,CHANGE_VARIABLE_TYPE,suiteName : String,rerunDataWrapper : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
8a046d8685e6b8ca40805f844d81fd8a6e8221f6,Rename Variable,RENAME_VARIABLE,suiteName : String,rerunDataWrapper : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerunServlet],[com.cognifide.aet.executor.SuiteRerunServlet]
3df4f835dae564c0a8cd660aa9359be6bfacb2b3,Extract Method,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String,[com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils],[com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils]
ec6d9db2ed398e6ba5296f61e0aa436305d7b417,Merge Parameter,MERGE_PARAMETER,urlName : String,data : RerunDataWrapper,[com.cognifide.aet.executor.SuiteRerun],[com.cognifide.aet.executor.SuiteRerun]
