Commit,NumberOfClasses,NumberOfMethods,SystemLOC
b787aa4d4342673e4195c7567d90895f15720cd3,402,2286,40472
c3698c0853264853f12e70238b95d2ac540beedc,458,2480,40923
e222fa03a643c8058a0deaa242aeb59e7f205a26,383,2079,35785
4d27b71de22ab47c25435adabf6916ee2c1adeea,382,2076,35714
f7bc0b3644f0e8a8da5fbc1d20eb0e0292f0f465,459,2490,41114
1a0ce0d517484826104563a4dc304b2dc203eaab,461,2492,41215
9f62c946f5bcdcf86a1db21559f10c2599409990,426,2264,38218
94d790b5348eef3b62b7bdeee18a0ee1940949dc,402,2286,40472
9b6808dade2a26771d8003159493b14d992e8d19,381,2058,35542
63de36c90a57b9d6ba2df2d909280c85ac960756,416,2230,37373
77e96a9775554238e5d313984dba66988f11422b,421,2272,37991
100e88998c79aeed118d4427d580d7a74a3589a0,418,2254,37441
ffdcd376b7d26ee783e6ad5ae768449132fe1b7c,425,2295,38056
b72e4d08ed1c3d1b9e486050912ebffb34ec0b31,466,2522,41594
597d913aefab08b2a95f52fd3d6b12d145a7876e,428,2304,38247
40714782838d043b9f46892f5915065d852805ed,427,2307,38166
8663f9207cf6b3b56af1560e469047adde46504b,459,2490,41114
2b1fd8fe09357c05e9e4d623469f2fde61e57b30,463,2506,41387
b3e7b2ac5f5e5139a36d42d46135f83c691b6238,458,2483,40952
228cab3783658b84ed56d6131cae92ca5f3e7ada,381,2059,35575
78fa3daeee68a56e7d4555d4b07286a9ede97485,382,2074,35680
95afbe072a78ee03c3efb064192b165c687037a3,417,2240,37550
c0b277b5e2a5e8e16b4d3ece19bc36af32a5ea8b,417,2241,37404
efa183023a7b7704b32960dd90f163a2ae24ad6a,418,2261,37876
f7c1d59faa2dbdddffbc7f341635c3c9ee3c3614,423,2282,37848
3c39c22116c34ca53ad048fa768227708d0ff985,381,2059,35575
ef6985794788cc54740547450ecdfa8288cb44f2,381,2059,35578
764eb5243d629c72b60a57ba21b58976f54b6c36,426,2259,38146
df43e4306f363a358cfafab15232a8be25439f1b,426,2264,38218
864f783241d689fa835e8bc34635c7ba9aa3c188,416,2233,37395
f013b933d3e7a386be9362a6ccebe6c452621712,418,2270,37917
f68d894414efaf16127f260b1c20f8c4f3133c63,417,2239,37191
60f320568eca70ec6dedfdae3953d82c413b0743,417,2264,37774
16fd11df671b34bb8436451f975da94beeb70ae6,466,2548,42094
d8a9cec275eea8a0a72ab2c9ba3797f0448e2014,387,2105,36153
c89a93752907b83ee9737b5bab0f1729b3d2312d,411,2219,38135
792d5eec5488d2eb269c7bd65a543199a32befdb,425,2294,38034
17d9c7172895acf33fbbaead9ab343678961f783,453,2455,40567
16d944fa35bc43891f4dba9c3fb93279211d5ed2,428,2302,38235
80da189eb6d50f2fb3bccf5b2430788b17a4ee48,416,2233,37395
0669e2ffdb54fff6d98a60c4e9518fccde43af53,417,2241,37534
ad2a9a4fd4eec00858a06ace9c456c4e4ec5d583,381,2072,35649
1a55885cf62adfdb121c0408a766b430074b8f82,422,2232,37744
