Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.cognifide.aet.worker.impl.JobRegistryImplTest,setUp,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.testsuitescope.TestSuiteScope,get,null,3,1,3,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.modifiers.hide.HideModifierFactory,getName,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.xmlparser.xml.models.ModelConverterUtilsTest,extendUrlsList_whenUrlsFromTheSameDomain_expectDifferentNamesForConvertedUrls,null,10,1,7,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.report.ReportResourceRegistryImpl,getResource,null,11,1,0,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.SuiteExecutionSettingsTest,shouldExecute_whenRunningInOnlineModeAndExecutingMaintenanceMessage_expectFalse,null,4,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.proxy.EmbeddedProxyServer,addHeader,null,3,1,2,2,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.cookie.CookieCompareComparatorResult,getFoundCookies,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.cookie.CookieComparator,listCookies,null,4,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.ReportsDispatcherTest,createTested,null,3,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.rest.params.ArtifactTypesParamTest,testGetArtifactTypesInvalidEntry,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.report.xml.models.Testsuites,getName,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
