Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,SERVICE,org.jbei.ice.services.blazeds.RegistryAMFAPI,createVectorEditorProject,34,6,10,2,Metodo Longo
" A, V, X ",PERSISTENCE,org.jbei.ice.lib.permissions.PermissionDAO,upgradePermissions,82,10,20,0,Muitos Desvios
 V ,UNDEFINED,org.jbei.ice.lib.utils.FileUtils,writeFile,16,5,6,3,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.server.ModelToInfoFactory,getTipViewCommon,30,5,8,2,Muitos Desvios
 V ,PERSISTENCE,org.jbei.ice.lib.entry.sequence.SequenceDAO,normalizeAnnotationLocations,22,6,6,1,Metodo Longo
 X ,ENTITY,org.jbei.ice.lib.permissions.model.WriteUser,setAccount,3,1,2,1,Muitos Parametros
 V ,HTTPSERVLET,org.jbei.ice.server.servlet.SequenceDownloadServlet,getGenbank,40,8,12,2,Metodo Longo
 X ,ENTITY,org.jbei.ice.lib.entry.sample.model.Sample,setLabel,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.permissions.PermissionsController,addEntryPermissionNoCheck,22,5,9,2,Muitos Desvios
 X ,ENTITY,org.jbei.ice.lib.entry.model.Entry,setVisibility,4,2,3,1,Muitos Parametros
 V ,SERVICE,org.jbei.ice.server.RegistryServiceImpl,retrieveAllUserAccounts,17,3,9,3,Muitos Parametros
" A, V ",PERSISTENCE,org.jbei.ice.lib.permissions.PermissionDAO,retrieveAccountPermissions,11,2,12,3,Alto Acoplamento Efferent
 V ,UNDEFINED,org.jbei.ice.server.InfoToModelFactory,infoToStrainForField,17,5,4,3,Muitos Parametros
" A, R, V, X ",SERVICE,org.jbei.ice.server.RegistryServiceImpl,retrieveUserEntries,22,3,17,6,Muitos Parametros
 V ,ABSTRACTPRESENTER,org.jbei.ice.client.collection.presenter.CollectionsPresenter,initExportAsHandler,31,1,0,0,Metodo Longo
 V ,[SUBMITHANDLER],org.jbei.ice.client.collection.presenter.AddToHandler,addEntriesToFolder,32,1,0,2,Metodo Longo
 V ,SERVICE,org.jbei.ice.services.blazeds.RegistryAMFAPI,getUserRestrictionEnzymes,26,7,10,1,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.lib.account.model.Account,setIp,3,1,2,1,Muitos Parametros
" A, R, V, X ",SERVICE,org.jbei.ice.server.RegistryServiceImpl,login,27,4,13,2,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.lib.models.Feature,setSequence,5,2,2,1,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.server.ModelToInfoFactory,getInfo,46,10,18,6,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.folder.FolderController,retrieveFoldersForUser,40,6,10,1,Muitos Desvios
 V ,[IREGISTRYAPI],org.jbei.ice.services.webservices.RegistryAPI,getGenBankSequence,29,6,14,2,Muitos Desvios
 V ,COMPOSITE,org.jbei.ice.client.bulkupload.BulkUploadView,setDraftMenuVisibility,17,5,5,2,Muitos Desvios
 V ,PERSISTENCE,org.jbei.ice.lib.permissions.PermissionDAO,retrieveAccountPermissions,11,2,12,3,Muitos Parametros
" A, R, V, X ",ABSTRACTFORMATTER,org.jbei.ice.lib.composers.formatters.SbolFormatter,addAnnotations,37,11,14,3,Alto Acoplamento Efferent
 V ,PANELPRESENTER,org.jbei.ice.client.profile.group.UserGroupPresenter,addGroupSaveHandler,26,1,0,0,Metodo Longo
 V ,WIDGET,org.jbei.ice.client.bulkupload.widget.HeaderLockWidget,onClick,23,2,7,1,Metodo Longo
 X ,ENTITY,org.jbei.ice.lib.entry.attachment.Attachment,setEntry,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.search.blast.Blast,rebuildDatabase,23,7,8,1,Muitos Desvios
 X ,ENTITY,org.jbei.ice.lib.account.model.Account,toDTO,13,2,2,1,Muitos Parametros
 V ,[IREGISTRYAPI],org.jbei.ice.services.webservices.RegistryAPI,hasReadPermissions,20,3,11,2,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.lib.models.TraceSequenceAlignment,setSequenceHash,3,1,2,1,Muitos Parametros
 X ,ENTITY,org.jbei.ice.lib.models.TraceSequenceAlignment,setModificationTime,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.entry.EntryController,delete,23,5,12,3,Muitos Desvios
