Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,SERVICE,com.netsteadfast.greenstep.service.impl.SysMailHelperServiceImpl,findForMaxMailIdComplete,14,5,7,1,Muitos Desvios
 V ,CONTROLLER,com.netsteadfast.greenstep.bsc.action.TsaManagementAction,initData,10,5,2,1,Muitos Desvios
 V ,BASECHAINCOMMANDSUPPORT,com.netsteadfast.greenstep.bsc.command.PdcaReportExcelCommand,createPdcaItem,42,5,15,6,Muitos Desvios
 V ,SERVICE,com.netsteadfast.greenstep.bsc.service.logic.impl.StrategyMapLogicServiceImpl,delete,33,7,17,1,Muitos Desvios
 X ,ENTITY,com.netsteadfast.greenstep.po.hbm.BbPdca,setConfirmFlag,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,com.netsteadfast.greenstep.bsc.util.AggregationMethod,min,35,7,11,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,com.netsteadfast.greenstep.util.JFreeChartDataMapperUtils,createMeterData,4,1,4,6,Muitos Parametros
" A, R, V, X ",BASECHAINCOMMANDSUPPORT,com.netsteadfast.greenstep.bsc.command.KpisDashboardExcelCommand,putDateRange,145,13,24,3,Metodo Longo
 V ,CONTROLLER,com.netsteadfast.greenstep.base.action.ConfigJsAction,putImagePreload,23,5,4,1,Muitos Desvios
 X ,ENTITY,com.netsteadfast.greenstep.po.hbm.BbVision,setOid,3,1,2,1,Muitos Parametros
 V ,BASECHAINCOMMANDSUPPORT,com.netsteadfast.greenstep.bsc.command.KpiReportPdfCommand,putCharts,25,1,9,2,Alto Acoplamento Efferent
 X ,ENTITY,com.netsteadfast.greenstep.po.hbm.BbStrategyMapConns,setSourceId,3,1,2,1,Muitos Parametros
 X ,ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setOid,3,1,2,1,Muitos Parametros
 V ,SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemFormLogicServiceImpl,deleteTemplate,15,5,8,1,Muitos Desvios
 V ,CONTROLLER,com.netsteadfast.greenstep.bsc.action.ObjectiveManagementAction,loadObjectiveData,25,4,7,0,Metodo Longo
 X ,ENTITY,com.netsteadfast.greenstep.po.hbm.TbSysMultiName,setCuserid,3,1,2,1,Muitos Parametros
