Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.red5.app.sip.AudioStream,removeStreamListener,null,4,1,3,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacv.FFmpegFrameGrabber,getImageWidth,null,3,2,2,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.api.domain.Recording,setPlaybackSize,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.dialog.InviteDialog,isTerminated,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.app.screenshare.red5.SharedObjectClientMessage,getMessage,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacv.Parallel,setNumThreads,null,3,1,3,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.deskshare.client.net.NetworkHttpStreamSender,notifyNetworkStreamListener,null,3,2,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.header.ViaHeader,getPort,null,6,2,2,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.voiceconf.sip.AudioConferenceProvider,getStopAudioPort,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
local.ua.VICLauncher,printLog,null,4,2,3,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.api.domain.RegisteredUser,setGuestStatus,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacv.FrameGrabber,setMetadata,null,3,1,2,2,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.app.video.ConnectionInvokerService,getConnectionWithConnId,null,10,4,4,2,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.presentation.imp.ThumbnailCreatorImp,setBlankThumbnail,null,3,1,1,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacv.FrameGrabber,start,null,0,1,0,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.core.util.jhotdraw.BezierPath,addPolyline,null,5,2,3,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.app.video.VideoApplication,removeH263User,null,6,2,3,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.presentation.imp.ImageToSwfSlidesGenerationService,setSwfSlidesGenerationProgressNotifier,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.freeswitch.esl.client.transport.message.EslFrameDecoderTest,simpleMessage,null,12,1,4,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.deskshare.client.frame.WindowlessFrame,changeOn,null,4,1,0,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.tools.Mangle,bytesToInt,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacpp.indexer.LongIndexer,release,null,4,1,0,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.dialog.DialogInfo,getRemoteTag,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.freeswitch.voice.events.ScreenshareRTMPBroadcastEvent,setTimestamp,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacpp.FloatPointer,asBuffer,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.deskshare.client.frame.CaptureRegionFrame,setLocation,null,3,1,2,2,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.dialog.InviteDialog,refuse,null,4,1,2,2,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.header.AllowEventsHeader,getEvents,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bytedeco.javacv.FrameGrabber,getDelayedTime,null,7,2,2,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.voiceconf.sip.CallAgent,startTalkStream,null,8,2,4,2,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.header.SubscriptionStateHeader,isPending,null,3,1,1,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.header.ViaHeader,getSentBy,null,7,2,2,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.zoolu.sip.header.NameAddressHeader,getNameAddress,null,4,1,2,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.red5.server.webapp.sip.VoiceConferenceApplication,setStartRTPPort,null,3,1,2,1,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
org.bigbluebutton.api.domain.Poll,store,null,2,1,0,0,null,73db36bc9d8ede10e531265809cda62b0e59ae5b,,,,
