Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
1099c152cf3188268f6522634d6a55fac2c13f48,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,crawledBatch : List<String>,crawledBatch : List<Object[]>,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.modules.postprocessor.TroughCrawlLogFeed]
1099c152cf3188268f6522634d6a55fac2c13f48,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,uncrawledBatch : List<String>,uncrawledBatch : List<Object[]>,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.modules.postprocessor.TroughCrawlLogFeed]
1099c152cf3188268f6522634d6a55fac2c13f48,Extract Class,EXTRACT_CLASS,org.archive.modules.postprocessor.TroughCrawlLogFeed,org.archive.trough.TroughClient,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.trough.TroughClient]
1099c152cf3188268f6522634d6a55fac2c13f48,Move Method,MOVE_OPERATION,protected sqlValue(o Object) : String,public sqlValue(o Object) : String,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.trough.TroughClient]
c4ec9d31fe6d08b3ccbc4bd2927d707bf000b661,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,crawledBatch : List<String>,crawledBatch : List<Object[]>,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.modules.postprocessor.TroughCrawlLogFeed]
c4ec9d31fe6d08b3ccbc4bd2927d707bf000b661,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,uncrawledBatch : List<String>,uncrawledBatch : List<Object[]>,[org.archive.modules.postprocessor.TroughCrawlLogFeed],[org.archive.modules.postprocessor.TroughCrawlLogFeed]
af1a325319152fb9c794e64e6b3416ec6f0c9b2f,Extract Method,EXTRACT_OPERATION,public promote(segmentId String) : void,protected segmentManagerUrl(subpath String) : String,[org.archive.trough.TroughClient],[org.archive.trough.TroughClient]
af1a325319152fb9c794e64e6b3416ec6f0c9b2f,Rename Variable,RENAME_VARIABLE,segmentManagerUrl : String,base : String,[org.archive.trough.TroughClient],[org.archive.trough.TroughClient]
af1a325319152fb9c794e64e6b3416ec6f0c9b2f,Extract Method,EXTRACT_OPERATION,"public registerSchema(schemaId String, schemaSql String) : void",protected segmentManagerUrl(subpath String) : String,[org.archive.trough.TroughClient],[org.archive.trough.TroughClient]
af1a325319152fb9c794e64e6b3416ec6f0c9b2f,Rename Variable,RENAME_VARIABLE,segmentManagerUrl : String,base : String,[org.archive.trough.TroughClient],[org.archive.trough.TroughClient]
