Commit,NumberOfClasses,NumberOfMethods,SystemLOC
484b3574d751173439fe0ee0426c051fcec98101,511,4544,87858
420452195c0c42efc5f7144e03aa33a7088ced59,504,4291,81388
ee52f48be9681dc39300423d20b1288e6bd35054,513,4388,83341
19e8cd5b663c77f78392be4e5a7e7a67f8ac8987,508,4348,82726
1fe4781cf5f3788bd0b5e90dc66697019d7f8358,583,5515,107500
d4c5bd6e987e72197e0c327e90ef8a25359cf64d,573,5192,100729
37442104cc31c780661a083b2de26bd6f9cfdb7a,519,4439,83921
d1c41d624f754da9d6e183b061ff1d177f1cfa28,568,5127,99460
f1b0633a3d329a7b52f72f0773a48722606d614e,514,4399,83285
a27dbd182d2db9b191166eb9e45480113ca16815,520,4456,84119
0eaf1c1d3e36b3c270b0964403713f4015006846,582,5446,106524
f072dfc83c74c6d9090dc495fea3fc486a6bae9d,573,5322,104500
793d733f1e82295f4c57379209fef4ba3e03258c,574,5327,104668
01a9c89088270e353e0c227ea0749000b0350dde,567,5126,99397
7afe03540acd2589738e64be2afeb11d228ae707,519,4563,85378
bf2a8876882210e888fc9a84367494b0199cc594,526,4712,87055
