Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.archive.modules.deciderules.DecideRuleSequence,stop,null,3,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.UriUtilsTest,testRelatives,null,3,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.recrawl.PersistOnlineProcessor,getHistoryDbName,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.CrawlURI,setPrerequisite,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.WorkQueue,deleteItem,null,0,1,2,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.writer.WriterPoolProcessor,getMetadataProvider,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.writer.WriterPoolProcessor,setServerCache,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.WorkQueueFrontier,createInactiveQueueForPrecedence,null,0,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.net.s3.S3URLConnection,connect,null,12,2,6,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.fetcher.FetchStats,getNotModifiedUrls,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.checkpointing.Checkpoint,writeValidity,null,12,3,5,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.Histotable,getEntryByFrequencySortedSet,null,19,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.monitor.DiskSpaceMonitor,setConfigPathConfigurer,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.framework.CrawlController,setupToePool,null,5,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
