Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, V, X ",UNDEFINED,org.archive.util.JavaLiterals,unescape,68,16,8,1,Muitos Desvios
" A, V ",PROCESSOR,org.archive.modules.recrawl.PersistProcessor,populatePersistEnv,29,3,12,2,Alto Acoplamento Efferent
" A, V, X ",UNDEFINED,org.archive.crawler.frontier.BdbMultipleWorkQueues,getFrom,54,9,17,4,Metodo Longo
" A, D, V, X ",PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeMetadata,55,16,15,5,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorURI,extractQueryStringLinks,37,8,10,1,Alto Acoplamento Efferent
 V ,PROCESSOR,org.archive.crawler.prefetch.QuotaEnforcer,checkQuotas,17,5,8,3,Muitos Parametros
 V ,RESOURCE,org.archive.crawler.restlet.BaseResource,getPreferredVariant,19,5,4,0,Muitos Desvios
 V ,UNDEFINED,org.archive.crawler.reporting.CrawlStatSnapshot,collect,25,2,5,2,Metodo Longo
 V ,APPLICATION,org.archive.crawler.restlet.EngineApplication,createRoot,44,1,0,0,Metodo Longo
 V ,UNDEFINED,org.archive.io.ArchiveTest,printInfo,9,6,2,0,Muitos Desvios
 V ,RESOURCE,org.archive.crawler.restlet.ScriptResource,makePresentableMap,25,6,4,0,Muitos Desvios
 V ,TEST,org.archive.modules.extractor.ExtractorSWFTest,xestHer1509,25,4,10,0,Alto Acoplamento Efferent
" A, R, D, V, X ",PROCESSOR,org.archive.modules.extractor.ExtractorPDF,innerExtract,54,8,19,1,Alto Acoplamento Efferent
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorXML,innerExtract,28,6,7,1,Muitos Desvios
" A, R, D, V, X ",RESOURCE,org.archive.crawler.restlet.JobResource,writeHtml,205,39,19,1,Alto Acoplamento Efferent
 V ,TEST,org.archive.bdb.StoredQueueTest,setUp,17,2,9,0,Alto Acoplamento Efferent
 V ,TEST,org.archive.crawler.selftest.SelfTestBase,open,34,4,7,0,Metodo Longo
" A, V, X ",[IOFILEFILTER],org.archive.util.FileUtils,copyFile,60,14,9,4,Metodo Longo
 V ,[ARCHIVEFILECONSTANTS| ITERABLE],org.archive.io.ArchiveReader,exceptionNext,22,5,4,0,Metodo Longo
 V ,[ARCCONSTANTS],org.archive.io.arc.ARCUtils,testUncompressedARCFile,25,5,7,1,Metodo Longo
 V ,APPLICATION,org.archive.crawler.restlet.EngineApplication,getRepresentation,20,3,7,3,Muitos Parametros
 V ,PERSISTENCE,org.archive.io.RecordingOutputStream,write,19,5,4,3,Muitos Desvios
" A, V, X ",[REPLAYCHARSEQUENCE],org.archive.io.GenericReplayCharSequence,decode,40,7,19,4,Muitos Parametros
 V ,UNDEFINED,org.archive.net.PublicSuffixes,addBranch,17,5,4,1,Muitos Desvios
" A, R, D, V, X ",PROCESSOR,org.archive.modules.writer.MirrorWriterProcessor,uriToFile,52,6,11,17,Muitos Parametros
 V ,RESOURCE,org.archive.crawler.restlet.EngineResource,makePresentableMap,38,5,11,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.util.InetAddressUtil,getAllLocalHostNames,32,9,8,0,Muitos Desvios
 V ,ABSTRACTLONGFPSET,org.archive.util.fingerprint.MemLongFPSet,relocate,5,1,1,3,Muitos Parametros
 V ,UNDEFINED,org.apache.hadoop.examples.PageRank,map,24,4,9,4,Metodo Longo
 V ,PROCESSOR,org.archive.crawler.postprocessor.SupplementaryLinksScoper,innerProcess,13,5,2,1,Muitos Desvios
 V ,UNDEFINED,org.archive.crawler.util.LogReader,tail,77,16,9,2,Alto Acoplamento Efferent
 V ,FPMERGEURIUNIQFILTER,org.archive.crawler.util.DiskFPMergeUriUniqFilter,beginFpMerge,23,5,12,0,Muitos Desvios
 V ,BASERULE,org.archive.modules.canonicalize.FixupQueryString,canonicalize,23,10,2,1,Metodo Longo
 V ,PROCESSOR,org.archive.modules.fetcher.FetchHTTP,doAbort,5,1,3,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorJS,considerString,26,5,11,4,Muitos Desvios
 V ,ENTITY,org.archive.crawler.frontier.WorkQueue,shortReportLineTo,41,3,4,1,Metodo Longo
 V ,TEST,org.archive.modules.extractor.ExtractorSWFTest,xestNonAsciiLink,26,5,10,0,Alto Acoplamento Efferent
 V ,TEST,org.archive.net.UURIFactoryTest,testSameAsNutchURLFilterBasic,24,1,1,0,Metodo Longo
 V ,PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,addIfNotBlank,5,2,3,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorHTML,getContentDeclaredCharset,38,7,7,2,Metodo Longo
" A, V, X ",WRITERPOOLMEMBER,org.archive.io.warc.WARCWriter,subtally,26,5,2,4,Muitos Parametros
 V ,VIEW,org.archive.crawler.frontier.AbstractFrontier,isDisregarded,14,8,2,1,Muitos Desvios
" A, R, D, V, X ",[REPLAYCHARSEQUENCE],org.archive.io.GenericReplayCharSequence,decode,40,7,19,4,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.util.anvl.SubElement,checkCRLF,5,2,6,3,Muitos Parametros
 V ,URI,org.archive.net.UURIFactory,fixup,85,32,10,3,Alto Acoplamento Efferent
 V ,KRYO,org.archive.bdb.AutoKryo,newInstance,38,9,15,1,Muitos Desvios
" A, D, V, X ",ASYNCTASK,org.archive.crawler.framework.ToeThread,run,90,15,18,0,Muitos Desvios
 V ,URLCODEC,org.archive.net.LaxURLCodec,decodeUrlLoose,27,8,4,1,Muitos Desvios
 V ,PROCESSOR,org.archive.crawler.processor.CrawlMapper,innerProcessResult,34,9,5,1,Metodo Longo
 V ,TEST,org.archive.util.TransformTest,randomTest,17,3,10,0,Alto Acoplamento Efferent
 V ,ENTITY,org.archive.crawler.framework.CrawlJob,scanJobLog,28,6,10,0,Muitos Desvios
 V ,PERSISTENCE,org.archive.io.RandomAccessOutputStream,write,3,1,3,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorImpliedURI,extract,35,6,15,1,Metodo Longo
