Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,HASENTRY,org.jbei.ice.lib.entry.EntryCreator,createEntry,52,17,18,3,Muitos Parametros
 V ,PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceFeatureDAO,getEntryIdsByFeature,14,2,9,1,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.storage.model.ApiKey,setAllowDelegate,3,1,2,1,Muitos Parametros
 X ,ENTITY,org.jbei.ice.storage.model.TraceSequenceAlignment,setTraceSequence,3,1,2,1,Muitos Parametros
 V ,SBOLBASEVISITOR,org.jbei.ice.lib.parsers.sbol.ICESBOLParserVisitor,visit,42,10,12,1,Metodo Longo
 X ,ENTITY,org.jbei.ice.storage.model.Attachment,setId,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.bulkupload.BulkUploadController,deleteEntry,13,2,10,3,Alto Acoplamento Efferent
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.services.rest.RestClient,post,0,1,5,5,Muitos Parametros
" A, D, V, X ",TEST,org.jbei.ice.lib.entry.sample.SampleServiceTest,testRetrieveEntrySamples,31,5,13,0,Alto Acoplamento Efferent
 V ,PERSISTENCE,org.jbei.ice.storage.hibernate.dao.EntryDAO,retrieveVisibleEntries,27,7,17,7,Muitos Desvios
 X ,ENTITY,org.jbei.ice.storage.model.Sequence,setUri,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.common.logging.Logger,sendEmail,27,6,7,2,Metodo Longo
 X ,ENTITY,org.jbei.ice.storage.model.Sample,setModificationTime,3,1,2,1,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.lib.entry.EntryHistory,get,17,4,15,4,Alto Acoplamento Efferent
 V ,UNDEFINED,org.jbei.ice.lib.folder.FolderContents,getContents,25,6,17,4,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.lib.folder.FolderContents,getRemotelySharedContents,36,6,19,6,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.storage.model.Entry,setAlias,3,1,2,1,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,generate,39,13,21,2,Muitos Desvios
 V ,UNDEFINED,org.jbei.ice.lib.bulkupload.BulkEntryCreator,createEntryForUpload,43,8,12,3,Muitos Desvios
 V ,SERVICE,org.jbei.ice.services.rest.PartResource,deleteTrace,7,2,5,3,Muitos Parametros
 V ,HASENTRY,org.jbei.ice.lib.entry.EntryCreator,copyPart,27,5,15,2,Metodo Longo
" A, R, D, V, X ",MODEL,org.jbei.ice.services.rest.PartDataJSONHandler,getSize,3,1,6,5,Muitos Parametros
 X ,ENTITY,org.jbei.ice.storage.model.Entry,setSelectionMarkers,13,3,1,1,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.jbei.auth.hmac.HmacSignatureFactory,buildSignature,15,3,9,6,Muitos Parametros
 X ,ENTITY,org.jbei.ice.storage.model.SequenceHistoryModel,setSequence,3,1,2,1,Muitos Parametros
" A, D, V ",TEST,org.jbei.ice.lib.account.PreferencesControllerTest,testRetrieveAccountPreferences,23,1,12,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,getHeadersForType,21,6,2,1,Muitos Desvios
" A, R, D, V, X ",HASENTRY,org.jbei.ice.lib.entry.EntryController,getRequestedEntry,21,6,13,5,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.bulkupload.BulkUploadController,create,34,6,15,2,Metodo Longo
 V ,UNDEFINED,org.jbei.ice.storage.hibernate.search.HibernateSearch,getSort,14,6,5,2,Muitos Desvios
" A, V, X ",UNDEFINED,org.jbei.ice.lib.entry.EntryUtil,setPartDataFromField,100,39,9,4,Muitos Parametros
" A, V, X ",PERSISTENCE,org.jbei.ice.storage.hibernate.dao.FeatureDAO,getFeaturesGroupBy,23,3,13,2,Alto Acoplamento Efferent
 X ,ENTITY,org.jbei.ice.storage.model.Entry,setStatus,3,1,2,1,Muitos Parametros
 V ,HASENTRY,org.jbei.ice.lib.entry.sample.SampleService,retrievePlate,8,3,6,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.jbei.ice.lib.parsers.abi.ABITrace,setTraces,55,18,8,0,Metodo Longo
 X ,ENTITY,org.jbei.ice.storage.model.CustomEntryFieldModel,setRequired,3,1,2,1,Muitos Parametros
 V ,SERVICE,org.jbei.ice.services.rest.PartResource,getTooltipDetails,12,3,8,3,Muitos Parametros
 X ,ENTITY,org.jbei.ice.storage.model.Request,setEntry,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.jbei.ice.lib.entry.sample.RequestRetriever,updateStatus,12,5,10,3,Muitos Desvios
 X ,ENTITY,org.jbei.ice.storage.model.Folder,setType,3,1,2,1,Muitos Parametros
" A, V ",UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,get,19,5,12,3,Alto Acoplamento Efferent
 V ,UNDEFINED,org.jbei.ice.lib.net.RemoteEntries,getPublicAttachment,3,1,3,3,Muitos Parametros
 X ,ENTITY,org.jbei.ice.storage.model.Parameter,setValue,3,1,2,1,Muitos Parametros
