Commit,NumberOfClasses,NumberOfMethods,SystemLOC
0f107b60a55532a890b03afed7bcb3a81cde261b,943,16906,217635
9498f508b2fa7db30e48086955a1ee5bc1fa5333,1032,18356,237769
0b35f7dd5eea71f931582e95af27335400d6f906,945,17022,219328
e91faa776bd033c94e39ae6e9a93184cd657a486,1032,18357,237795
52111b50e7707f9a985ad2075f60bf3c4634ba9c,943,16876,217298
a8ca548493fdf534918aa869ad645cfb4668bbb3,956,17042,219242
a8c08b08eb9a426ce22a0f349631efea7cbeced7,943,16946,218188
c5e6bbe8c46e031fd9f8339ab7c158f9ee2608f6,944,16941,218341
7d2f6f3a195632925fa18a8eafd1fd8fd4fbdc06,1048,18564,241092
33f39407bfaf5bbf778a8175bf1f4023cb2c3a2d,1027,18306,236799
d4fa4017e54eab086d5123adfd9cc05709aac4bf,1037,18439,239094
839d72d639ea661655e812e0450dc4c4e117cefe,1115,19350,253769
24f926b6ccacdc11bc6363af22a9fcd104e7759b,1005,18062,232549
62d9221e6ffcbe2df227ae3f61d0452e4f5894b5,1040,18588,241064
215d8cb395c2b9dccc0769b577ad4616b074acce,1028,18317,236975
f0ab50f78f6a3dc4a3990475a4b8bd1364887158,961,17335,223277
dfb0090666d7f9fe5a0f8e8b56cd2eef2dafcd06,947,17047,219755
65fea45d021eb3280fa10a5a4e752ef3224ccffb,962,17339,223377
5e2ad5092b540adba3585ff8fb48fb0f18c5c7ca,1009,18076,233139
de6b8dbf7229a6d18f1556d0ff1bbc9f2c5692f4,1034,18388,238254
e1fbcd6ac9120ea1e5c54847c6d10b4319df6f86,1050,18644,242157
c52aedb4b64ffaf1e9516c6e0efd6e6a7cfc6abe,1005,18084,232824
81684c9f7368ee62caf5280a74391d648d9ed37a,944,16864,217221
5f2d97e0b14613678159202875794932509386de,1018,18243,235284
894f818ad8dc890872511b4075946bf971f2b7a2,1034,18396,238337
af5d2b27764fe7396870debb13cfda5798dfc542,1048,18564,241092
c775cd952b296fcd36317dd1c590299f51727e81,1004,18045,232293
4cbd9c9221b658699621a6ed9308701eb3fc3837,944,16923,218008
5e5df4e16878b307901154f23a2a2b87b249d3b1,944,16925,218016
36b03ea1e73bbda0a7981fa67f000c5e56eed11a,960,17327,223213
b9b7a482ee7435e78bddfea020121173905d5e8e,941,16884,217040
5250199fdfe1f86b9cf7a303fc4f998fdf238f82,1129,19431,257017
0f548e6e737eedb148aadae434fbabb20053edc1,1052,18802,244194
bd6b581b0e60cf060df9e9aebd927e944129ac11,1129,19432,257002
bd29c64fe5b76db9ea15989ba52bb8f90f9c02b1,1050,18648,242182
beba51c1eb5797c63ab29be272c4b87cec61f5bc,957,17293,222794
213e68c36e951d9916b562a54cacc37521b21853,945,16995,218911
828326e0e483567eb6b8443f1ba1bb9a6bf365f7,944,16878,217472
f3ada1bea4b5365fa3aecd8c3f62e5486462b8e9,1031,18324,237223
65d13f4d6f159edbdd6f042da36ace3d6f0454da,960,17326,223190
5a76e6281ed705bdc29a888c2bdf3263d818f3d8,1051,18686,242636
f06a44d6e92e6e61d938fed5b888b5526cccf6a1,1051,18694,242725
2b4be85656349fd9228fc2eeb63204abaaaa8d21,1051,18686,242634
eaabc609c57de8b2ea282413df4831a5f3285695,943,16912,217773
2664999c4d72b0e352c821450e0752398ac52178,944,16917,217935
26d5638b410ae7039e6a9d9152d46cce248b860e,1032,18357,237762
b772c694fba071c39c7cf92e0b91a93a3d55875c,1040,18408,239340
8a10614cc070e3679546513c6dd65f6d2a89ced3,1028,18315,236940
97da322b9c9c3608e7fd551183ac2609ca615988,1024,18308,236545
7c9ae55ce55c394441bbb0133596a675732799f5,1129,19431,256994
b286c261d71858497e092a543afec0632de8bb62,1129,19437,256991
88920249ec650761685134b0cffc184be2ed444e,1004,18039,232219
0b0b7fbda0ae6af783e8d054c9e345e8bc42e03c,1038,18525,240295
2706a716592761c08614053ac9ade713c810a839,1029,18313,236978
fc29bfeae47597b0673cf1654c0a36135424b03d,979,17655,227289
7c6733e57942f760040d13e62e530039f33fc2e4,1051,18746,243287
1bf09abeafea9b3bdf347db49350d91ec78b767a,1052,18808,244255
02993b55eadeca352f2f378474372bdb7e380326,943,16868,217204
2c59394cc86628f2daba014de2ff13366f20766c,1129,19431,256997
30988f309f3405b622cce5e874e926bcd6c244a9,1069,19012,247124
dbc24f0833ff9e8a7803f6adfd449e60b74a6427,1051,18769,243925
a7505d7be9666bac034f0594c36bfa65e6e3acda,1129,19417,256924
5b8e3ea3908fea057122a3f282500c35249afeaf,1129,19431,257006
c8129cd292dcbb854bc7a7f58983aa42ca841f80,1051,18696,242748
fe601fd6403a84eede925bb7054367498e44b19a,1034,18361,238049
2da6a83a6119aec5c6d9d1d657b32b7f024ce1ca,1051,18759,243767
065acc4a2969e9995c9e8e7e0dbbd147274e69ba,945,17034,219465
398aab26ba57898d620ab931785709c7d4191897,943,16942,218166
14e2cc4209d18c3fc1fb294a5a6d600c3f151286,1050,18660,242288
abe2313b6953d1a969b88ea22f0aeff454ea8b88,1051,18767,243908
c075e4434afd990e4d7ffbea484a140df96adefe,962,17164,221527
b4200e84d357164c0b3b9f666858077e5108ed59,947,17054,219980
ee7c6d708a0c9a99c6678420fcdae4503138330d,1051,18770,243935
e72948516ca5f25e30d45b959dc237fe1c1ddbb7,1068,18865,245431
8be20340bf53a661f7dbec7f2a42d827655c53b1,1051,18685,242628
519ac2a5aa8845052d9c279451a6b39808cef24f,1037,18433,238957
