Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,[INEWOBJECT],org.libreplan.web.resources.worker.CriterionSatisfactionDTO,isPreviousStartDate,12,5,2,1,Muitos Desvios
 V ,SERVICE,org.libreplan.web.planner.allocation.ResourceAllocationModel,addDefaultAllocations,15,3,9,0,Alto Acoplamento Efferent
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.scenarios.TransferOrdersController,doAfterCompose,29,1,0,1,Metodo Longo
 V ,SERVICE,org.libreplan.web.workreports.WorkReportModel,getIndex,16,5,3,1,Muitos Desvios
 V ,UNDEFINED,org.zkoss.ganttz.util.LongOperationFeedback,withAsyncUpates,24,1,0,2,Metodo Longo
 V ,[IDETAILITEMMODIFICATOR],org.libreplan.web.planner.order.BankHolidaysMarker,applyModificationsTo,24,10,7,2,Metodo Longo
 V ,UNDEFINED,org.libreplan.business.calendars.entities.AvailabilityTimeLine,or,22,6,7,1,Metodo Longo
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.materials.MaterialsController,doAfterCompose,23,1,0,1,Metodo Longo
" A, D, V, X ",GENERICFORWARDCOMPOSER,org.libreplan.web.tree.TreeController,checkInvalidValues,6,2,6,4,Muitos Parametros
" D, V ",TEST,org.libreplan.business.test.planner.daos.TaskElementDAOTest,savingTaskElementSavesAssociatedDependencies,33,1,0,0,Metodo Longo
 V ,ENTITY,org.libreplan.business.planner.entities.GenericResourceAllocation,create,8,1,6,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.users.dashboard.PersonalTimesheetRow,updateSummary,22,4,4,0,Metodo Longo
" A, R, D, V, X ",ENTITY,org.libreplan.business.common.LibrePlanClassValidator,getInvalidValues,82,26,21,2,Alto Acoplamento Efferent
 V ,UNDEFINED,org.libreplan.web.users.PasswordUtil,checkIfChangeDefaultPasswd,34,9,10,2,Metodo Longo
" A, V, X ",UNDEFINED,org.libreplan.business.planner.entities.DerivedAllocationGenerator,generate,12,1,9,4,Muitos Parametros
 V ,ENTITY,org.libreplan.business.advance.entities.AdvanceMeasurement,setValue,12,6,3,1,Muitos Desvios
" A, D, V, X ",TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenExampleEndEnd,23,1,7,4,Muitos Parametros
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.costcategories.CostCategoryCRUDController,setHoursType,16,5,7,2,Muitos Desvios
 V ,ENTITY,org.libreplan.business.calendars.entities.BaseCalendar,newIntervalIncludeAnotherWorkWeek,13,6,5,4,Muitos Desvios
