Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Parameter Type,CHANGE_PARAMETER_TYPE,event : TextChangeEvent,event : HasValue.ValueChangeEvent<String>,[org.jumpmind.metl.ui.views.design.EditXsltPanel.StylesheetChangeListener],[org.jumpmind.metl.ui.views.design.EditXsltPanel.StylesheetChangeListener]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Rename Method,RENAME_METHOD,public textChange(event TextChangeEvent) : void,public valueChange(event HasValue.ValueChangeEvent<String>) : void,[org.jumpmind.metl.ui.views.design.EditXsltPanel.StylesheetChangeListener],[org.jumpmind.metl.ui.views.design.EditXsltPanel.StylesheetChangeListener]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Variable Type,CHANGE_VARIABLE_TYPE,"map : ConcurrentHashMap<String,ConcurrentHashSet<String>>",map : ConcurrentHashMap,[org.jumpmind.metl.Develop],[org.jumpmind.metl.Develop]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Return Type,CHANGE_RETURN_TYPE,MenuItem,MenuBar.MenuItem,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Parameter Type,CHANGE_PARAMETER_TYPE,items : List<com.vaadin.addon.contextmenu.MenuItem>,items : List<com.vaadin.ui.MenuBar.MenuItem>,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Return Type,CHANGE_RETURN_TYPE,MenuItem,MenuBar.MenuItem,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Parameter Type,CHANGE_PARAMETER_TYPE,parent : MenuItem,parent : MenuBar.MenuItem,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Parameter Type,CHANGE_PARAMETER_TYPE,items : List<com.vaadin.addon.contextmenu.MenuItem>,items : List<com.vaadin.ui.MenuBar.MenuItem>,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Variable Type,CHANGE_VARIABLE_TYPE,contextItem : MenuItem,contextItem : MenuBar.MenuItem,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
dd43dbafd7e7ee3b4e8856dd5a575a2687aebcc4,Change Variable Type,CHANGE_VARIABLE_TYPE,item : MenuItem,item : MenuBar.MenuItem,[org.jumpmind.metl.ui.common.AbstractMenuBar],[org.jumpmind.metl.ui.common.AbstractMenuBar]
