Commit,NumberOfClasses,NumberOfMethods,SystemLOC
e93109a94bf069776ee422657be1bc825c163017,310,2808,46040
fa9f461e91d183bc6c07cc2d4fdc232ca1b15485,376,3701,59817
3e4cdcad81f5539fd10b089ee207cb6cbd348c74,390,3897,63251
7bf016575c74a8e7a85063e490eb5fc0104b7e5c,376,3696,59754
76575f0c96a640bb4b4782e4f084269c17a00d32,395,4101,67017
a96f05e5e74ef9b4f12d36c2524350332aaa77b9,385,3854,62464
cf87354a22e78b47e74426f5b54539c0838e3d3a,383,3824,61870
f75ef4c4cea3752d8cfb9fbf023615926375d146,421,4385,73013
96cf0e1ca840755c8c00e289ebc65fc91eed9d80,376,3703,59830
687f40ff921d5ef4f6a65988555acd1c61fc3b50,407,4201,68013
6f4697192dd276fa1d689b478bf24ada18e9ebf0,420,4339,72384
d8b09e9f239e8c89c78a01299adf629de60b24d4,421,4362,72792
cfd1cc501cc424cf626d9e428b44ea85abfc1490,407,4207,68115
3cc8787c923078ebf0a23ba965b94e501de1f89d,391,3976,63973
37ec35cd08dd76edf06b996c924dbaf9ac3b5341,395,4098,66951
cc23271141a5ee63adb4c7a6151c0f0614bc1ee6,399,4079,65907
457a81e508c4397069f3404afa802dc4509b625a,399,4088,66116
96866b8ef5ab24703375befa32f375c9c4f640e7,399,4093,66234
89506aec45665de63d9f14f463b4a13b44e7254a,394,3994,64420
fc92a6a62ac75b738ff8da391e39054f18461a16,390,3966,63823
