Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.mitre.mpf.wfm.service.component.TestComponentStateService,canAddUploadErrorEntry,null,5,1,2,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.StreamingJobCreationRequest,setStallAlertRate,null,3,1,2,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.util.IoUtils,createTemporaryFile,null,5,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.nms.xml.NodeManager,getTarget,null,3,1,2,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.videooverlay.BoundingBox,getHeight,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.interop.JsonOutputObject,getSiteId,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.businessrules.impl.StreamingJobRequestBoImpl,buildTransientStream,null,6,1,3,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.access.hibernate.AbstractHibernateDao,findAll,null,10,1,5,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.AlgorithmDefinition,getName,null,3,1,2,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.interop.JsonMediaOutputObject,getPath,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.ActionDefinition,getProperties,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.StartupComponentRegistrationServiceImpl,getDescriptor,null,15,4,3,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.TestComponentStateService,canReplacePackageState,null,5,1,3,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.CustomPipelineValidatorImpl,getExistingActionProcessingType,null,7,2,6,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.TestStartupComponentServiceStarter,doesNotAddServicesWhenThisMpfHostIsNull,null,7,1,2,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.StreamingJobCreationRequest,getStallAlertRate,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.mst.TestSystemNightly,testNonUri,null,8,1,6,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.StreamingJobCreationRequest,setPriority,null,3,1,2,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.StreamingJobCreationRequest,setAlgorithmProperties,null,3,1,2,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.util.Tuple,getSecond,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.RequiresCollection,isValid,null,9,4,3,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.CustomPipelineValidatorImpl,getPropNames,null,7,2,5,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.videooverlay.TestBoundingBoxMap,testPutAllWithNegativeKey,null,6,1,4,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.component.RegisterComponentModel,setPackageFileName,null,3,1,1,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.mvc.model.ComponentUpdateMessage,getName,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.interop.JsonStreamingInputObject,addProperty,null,3,1,2,2,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.mvc.model.FileTreeNodeState,isSelected,null,3,1,2,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.mvc.controller.NodeController,saveNodeManagerConfig,null,9,2,4,2,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.interop.JsonMediaOutputObject,getMediaMetadata,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.StreamingJobInfo,isTerminal,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.segmenting.SegmentingPlan,getMinGapBetweenSegments,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.PropertyDefinition,getType,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
